_identifiers-1,_parent_digital_objects-1.identifier,_digital_object_type.string_key,note-1:note_type,note-1:note_value,note-2:note_type,note-2:note_value,title-1:title_non_sort_portion,title-1:title_sort_portion,omeka_identifier-1:omeka_identifier_value,location-1:location_term.value,location-1:location_term.uri,location-1:location_shelf_location-1.location_shelf_location_box_number,location-1:location_shelf_location-1.location_shelf_location_folder_number,location-1:location_shelf_location-1:location_shelf_location_free_text,clio_identifier-1:clio_identifier_value,date_created_textual-1:date_created_textual_value,date_created-1:date_created_start_value,date_created-1:date_created_end_value,date_created-1:date_created_key_date,date_created-1:date_created_type,language-1:language_term.value,language-1:language_term.uri,language-1:language_term.authority,language-2:language_term.value,language-2:language_term.uri,language-2:language_term.authority,place_of_origin-1:place_of_origin_value,collection-1:collection_term.value,collection-1:collection_term.uri,collection-1:collection_archival_series-1:collection_archival_series_part-1:collection_archival_series_part_title,collection-1:collection_archival_series-1:collection_archival_series_part-1:collection_archival_series_part_type,collection-1:collection_archival_series-1:collection_archival_series_part-1:collection_archival_series_part_level,collection-1:collection_archival_series-1:collection_archival_series_part-2:collection_archival_series_part_title,collection-1:collection_archival_series-1:collection_archival_series_part-2:collection_archival_series_part_type,collection-1:collection_archival_series-1:collection_archival_series_part-2:collection_archival_series_part_level,internal_note-1:internal_note_value,genre-1:genre_term.value,genre-1:genre_term.uri,genre-1:genre_term.authority,type_of_resource-1:type_of_resource_value,type_of_resource-2:type_of_resource_value,form-1:form_term.value,form-1:form_term.uri,form-1:form_term.authority,name-1:name_term.value,name-1:name_term.name_type,name-1:name_term.uri,name-1:name_term.authority,name-1:name_role-1.name_role_term.value,name-1:name_role-1.name_role_term.uri,name-1:name_role-1.name_role_term.authority,name-1:name_usage_primary,name-2:name_term.value,name-2:name_term.name_type,name-2:name_term.uri,name-2:name_term.authority,name-2:name_role-2.name_role_term.value,name-2:name_role-2.name_role_term.uri,name-2:name_role-2.name_role_term.authority,object_in_context_url-1:object_in_context_url_value,subject_name-1:subject_name_term.value,subject_name-1:subject_name_term.name_type,subject_name-1:subject_name_term.uri,subject_name-1:subject_name_term.authority,subject_name-2:subject_name_term.value,subject_name-2:subject_name_term.name_type,subject_name-2:subject_name_term.uri,subject_name-2:subject_name.authority,subject_title-1:subject_title_term.value,subject_title-1:subject_title_term.uri,subject_title-1:subject_title_term.authority,subject_topic-1:subject_topic_term.value,subject_topic-1:subject_topic_term.uri,subject_topic-1:subject_topic_term.authority,subject_topic-2:subject_topic_term.value,subject_topic-2:subject_topic_term.uri,subject_topic-2:subject_topic_term.authority,subject_geographic-1:subject_geographic_term.value,subject_geographic-1:subject_geographic_term.uri,subject_geographic-1:subject_geographic_term.authority,digital_origin-1:digital_origin_value,use_and_reproduction-1:use_and_reproduction_value,use_and_reproduction-1:use_and_reproduction_term.authority,use_and_reproduction-1:use_and_reproduction_term.uri,restriction_on_access-1:restriction_on_access_value,_project.string_key
rbml_global_1968_231,,item,,,,,,Letter to Marshall Berman,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,24,30,,,"March 27, 1967",1967-03-27,,TRUE,,English,http://id.loc.gov/vocabulary/iso639-2/eng,iso639-2b,,,,Boston (Mass.),Marshall Berman Papers,http://id.library.columbia.edu/term/502f6ae8-3ae3-450e-ac5b-8414a29740e3,,,,,,,,,,,text,,correspondence,http://vocab.getty.edu/aat/300026877,aat,"Whitmore, Howard, 1905-1998",personal,http://id.loc.gov/authorities/names/n2003074769,naf,Author,http://id.loc.gov/vocabulary/relators/aut,marcrelator,TRUE,"Berman, Marshall, 1940-2013",personal,http://id.loc.gov/authorities/names/n81104675,naf,Addressee,http://id.loc.gov/vocabulary/relators/rcp,marcrelator,,,,,,,,,,,,,Public lands--Recreational use,http://id.worldcat.org/fast/1082602,fast,,,,Cambridge (Mass.),http://id.loc.gov/authorities/names/n79061258,naf,reformatted digital,In Copyright,rightsstatements,http://rightsstatements.org/vocab/InC/1.0/,,
rbml_global_1968_231_01,rbml_global_1968_231,asset,original filename,1968_231_01.tif,filename,https://exhibitions-dev.library.columbia.edu/1968_231_01.jpg,,Letter to Marshall Berman,11905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In Copyright,rightsstatements,http://rightsstatements.org/vocab/InC/1.0/,On-site Access,
rbml_global_1968_230,,item,,,,,,Speech to the Emergency Civil Liberties Committee,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,32,F. Bob Dylan,,,1963,1963,,TRUE,,English,http://id.loc.gov/vocabulary/iso639-2/eng,iso639-2b,,,,,National Emergency Civil Liberties Committee (U.S.) Records,http://id.library.columbia.edu/term/15cd2f3f-b0d7-4348-a6ce-34c3c0bb35a3,Series III: Correspondence,series,1,,,,Aeon Slip No.: 146481,,,,text,,correspondence,http://vocab.getty.edu/aat/300026877,aat,"Dylan, Bob, 1941-",personal,http://id.loc.gov/authorities/names/n50030190,naf,Author,http://id.loc.gov/vocabulary/relators/aut,marcrelator,TRUE,,,,,,,,,,,,,,,,,,,,Civil rights movements,http://id.worldcat.org/fast/862708,fast,,,,,,,reformatted digital,In Copyright,rightsstatements,http://rightsstatements.org/vocab/InC/1.0/,,
rbml_global_1968_230_01,rbml_global_1968_230,asset,original filename,1968_230_01.tif,filename,https://exhibitions-dev.library.columbia.edu/1968_230_01.jpg,,Page 1,11902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In Copyright,rightsstatements,http://rightsstatements.org/vocab/InC/1.0/,On-site Access,
rbml_global_1968_230_02,rbml_global_1968_230,asset,original filename,1968_230_02.tif,filename,https://exhibitions-dev.library.columbia.edu/1968_230_02.jpg,,Page 2,11903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In Copyright,rightsstatements,http://rightsstatements.org/vocab/InC/1.0/,On-site Access,
rbml_global_1968_230_03,rbml_global_1968_230,asset,original filename,1968_230_03.tif,filename,https://exhibitions-dev.library.columbia.edu/1968_230_03.jpg,,Page 3,11904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In Copyright,rightsstatements,http://rightsstatements.org/vocab/InC/1.0/,On-site Access,
rbml_global_1968_229,,item,,,,,,Letter to the Emergency Civil Liberties Committee,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,32,F. Bob Dylan,,,1963,1963,,TRUE,,English,http://id.loc.gov/vocabulary/iso639-2/eng,iso639-2b,,,,,National Emergency Civil Liberties Committee (U.S.) Records,http://id.library.columbia.edu/term/15cd2f3f-b0d7-4348-a6ce-34c3c0bb35a3,Series III: Correspondence,series,1,,,,Aeon Slip No.: 146474,Political poetry,http://id.loc.gov/authorities/genreForms/gf2016026085,lcgft,text,,correspondence,http://vocab.getty.edu/aat/300026877,aat,"Dylan, Bob, 1941-",personal,http://id.loc.gov/authorities/names/n50030190,naf,Author,http://id.loc.gov/vocabulary/relators/aut,marcrelator,TRUE,Emergency Civil Liberties Committee,corporate,http://id.loc.gov/authorities/names/no00017222,naf,Addressee,http://id.loc.gov/vocabulary/relators/rcp,marcrelator,,,,,,,,,,,,,Celebrities--Political activity,http://id.worldcat.org/fast/850096,fast,,,,,,,reformatted digital,In Copyright,rightsstatements,http://rightsstatements.org/vocab/InC/1.0/,,
rbml_global_1968_229_01,rbml_global_1968_229,asset,original filename,1968_229_01.tif,filename,https://exhibitions-dev.library.columbia.edu/1968_229_01.jpg,,Page 1,11896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In Copyright,rightsstatements,http://rightsstatements.org/vocab/InC/1.0/,On-site Access,
rbml_global_1968_229_02,rbml_global_1968_229,asset,original filename,1968_229_02.tif,filename,https://exhibitions-dev.library.columbia.edu/1968_229_02.jpg,,Page 2,11897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In Copyright,rightsstatements,http://rightsstatements.org/vocab/InC/1.0/,On-site Access,
rbml_global_1968_229_03,rbml_global_1968_229,asset,original filename,1968_229_03.tif,filename,https://exhibitions-dev.library.columbia.edu/1968_229_03.jpg,,Page 3,11898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In Copyright,rightsstatements,http://rightsstatements.org/vocab/InC/1.0/,On-site Access,
rbml_global_1968_229_04,rbml_global_1968_229,asset,original filename,1968_229_04.tif,filename,https://exhibitions-dev.library.columbia.edu/1968_229_04.jpg,,Page 4,11899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In Copyright,rightsstatements,http://rightsstatements.org/vocab/InC/1.0/,On-site Access,
rbml_global_1968_229_05,rbml_global_1968_229,asset,original filename,1968_229_05.tif,filename,https://exhibitions-dev.library.columbia.edu/1968_229_05.jpg,,Page 5,11900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In Copyright,rightsstatements,http://rightsstatements.org/vocab/InC/1.0/,On-site Access,
rbml_global_1968_229_06,rbml_global_1968_229,asset,original filename,1968_229_06.tif,filename,https://exhibitions-dev.library.columbia.edu/1968_229_06.jpg,,Page 6,11901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In Copyright,rightsstatements,http://rightsstatements.org/vocab/InC/1.0/,On-site Access,
rbml_global_1968_228,,item,,,,,,Rhoda Seidel Letter,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,32,F. Bob Dylan,,,1963,1963,,TRUE,,English,http://id.loc.gov/vocabulary/iso639-2/eng,iso639-2b,,,,Hempstead (N.Y.),National Emergency Civil Liberties Committee (U.S.) Records,http://id.library.columbia.edu/term/15cd2f3f-b0d7-4348-a6ce-34c3c0bb35a3,Series III: Correspondence,series,1,,,,Aeon Slip No.: 146478,,,,text,,correspondence,http://vocab.getty.edu/aat/300026877,aat,"Seidel, Rhoda",personal,,,Author,http://id.loc.gov/vocabulary/relators/aut,marcrelator,TRUE,,,,,,,,,"Dylan, Bob, 1941-",personal,http://id.loc.gov/authorities/names/n50030190,naf,,,,,,,,,,,,,,,,,reformatted digital,In Copyright,rightsstatements,http://rightsstatements.org/vocab/InC/1.0/,,
rbml_global_1968_228_01,rbml_global_1968_228,asset,original filename,1968_228_01.tif,filename,https://exhibitions-dev.library.columbia.edu/1968_228_01.jpg,,"Page 3, Recto",11895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In Copyright,rightsstatements,http://rightsstatements.org/vocab/InC/1.0/,On-site Access,
rbml_global_1968_227,,item,,,,,,Bob Dylan photo,,"University Archives, Columbia University",http://id.library.columbia.edu/term/993db1bc-2347-4b0d-ab1c-d5714ec82683,6,33,,,1960s,1960,1969,TRUE,,,,,,,,,Columbia Spectator Photograph Collection,http://id.library.columbia.edu/term/e6e96a9a-2d4b-42cb-9c0b-256cb233cf14,Series I: Personal Names,series,1,,,,Aeon Slip No.: 146467,,,,still image,,photographs,http://vocab.getty.edu/aat/300046300,aat,Columbia University Spectator,corporate,http://id.loc.gov/authorities/names/no2014069868,naf,Publisher,http://id.loc.gov/vocabulary/relators/pbl,marcrelator,,,,,,,,,,"Dylan, Bob, 1941-",personal,http://id.loc.gov/authorities/names/n50030190,naf,,,,,,,,,,,,,,,,,reformatted digital,In Copyright,rightsstatements,http://rightsstatements.org/vocab/InC/1.0/,,
rbml_global_1968_227_01,rbml_global_1968_227,asset,original filename,1968_227_01.tif,filename,https://exhibitions-dev.library.columbia.edu/1968_227_01.jpg,,Bob Dylan photo,11894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In Copyright,rightsstatements,http://rightsstatements.org/vocab/InC/1.0/,On-site Access,
rbml_global_1968_226,,item,,,,,,Nigeria drawing,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,151,1,,,"January 1, 1968",1968-01-01,,TRUE,,,,,,,,,New Leader Records,http://id.library.columbia.edu/term/c982c6e7-dc92-4aca-a344-5ca8e35283eb,"Series V: Artwork, 1928-2006, undated",series,1,"Subseries V. 1: Artwork by Subject, 1961-2006, undated",subseries,2,Aeon Slip No.: 130352,,,,still image,,drawings,http://id.loc.gov/vocabulary/graphicMaterials/tgm003279,gmgpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nigeria,http://id.loc.gov/authorities/names/n79056412,naf,reformatted digital,In Copyright,rightsstatements,http://rightsstatements.org/vocab/InC/1.0/,,
rbml_global_1968_226_01,rbml_global_1968_226,asset,original filename,1968_226_01.tif,filename,https://exhibitions-dev.library.columbia.edu/1968_226_01.jpg,,Nigeria,11893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In Copyright,rightsstatements,http://rightsstatements.org/vocab/InC/1.0/,On-site Access,
rbml_global_1968_225,,item,,,,,,Vive Patrice Emery Lumumba,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,,,,,"January 18, 1969",1969-01-18,,TRUE,,French,http://id.loc.gov/vocabulary/iso639-2/fre,iso639-2b,,,,Marseille (France),European Protest and Activism Collection,http://id.library.columbia.edu/term/ae80ed1f-9f3a-4d0e-b43a-3bf4bf632d08,,,,,,,Aeon Slip No.: 131682,,,,text,,printed ephemera,http://vocab.getty.edu/aat/300264821,aat,Union générale des étudiants congolais,corporate,http://id.loc.gov/authorities/names/no2012112612,naf,Creator,http://id.loc.gov/vocabulary/relators/cre,marcrelator,TRUE,,,,,,,,,"Lumumba, Patrice, 1925-1961",personal,http://id.loc.gov/authorities/names/n79053648,naf,,,,,,,,Student movements,http://id.worldcat.org/fast/1135954,fast,,,,Congo (Democratic Republic),http://id.loc.gov/authorities/names/n80061022,naf,reformatted digital,In Copyright,rightsstatements,http://rightsstatements.org/vocab/InC/1.0/,,
rbml_global_1968_225_01,rbml_global_1968_225,asset,original filename,1968_225_01.tif,filename,https://exhibitions-dev.library.columbia.edu/1968_225_01.jpg,,event announcement,11892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In Copyright,rightsstatements,http://rightsstatements.org/vocab/InC/1.0/,On-site Access,
rbml_global_1968_224,,item,,,,,,Lumumba Memorial Rally,,"University Archives, Columbia University",http://id.library.columbia.edu/term/993db1bc-2347-4b0d-ab1c-d5714ec82683,39,1,,,"September 24, 1968",1968-09-24,,TRUE,,English,http://id.loc.gov/vocabulary/iso639-2/eng,iso639-2b,,,,,University Protest and Activism Collection,http://id.library.columbia.edu/term/71b876e3-e9fe-4e60-8403-e3f68dc1f112,"Series XIII: The Office of the President Records, 1958-1974",series,1,"Subseries XIII.1: Subject Files, 1958-1973",subseries,2,Aeon Slip No.: 130498,,,,text,,printed ephemera,http://vocab.getty.edu/aat/300264821,aat,Students for a Democratic Society (U.S.). Columbia University Chapter,corporate,http://id.loc.gov/authorities/names/no2008058186,naf,Creator,http://id.loc.gov/vocabulary/relators/cre,marcrelator,TRUE,,,,,,,,,"Lumumba, Patrice, 1925-1961",personal,http://id.loc.gov/authorities/names/n79053648,naf,,,,,,,,College students--Political activity,http://id.worldcat.org/fast/868026,fast,,,,,,,reformatted digital,In Copyright,rightsstatements,http://rightsstatements.org/vocab/InC/1.0/,,
rbml_global_1968_224_01,rbml_global_1968_224,asset,original filename,1968_224_01.tif,filename,https://exhibitions-dev.library.columbia.edu/1968_224_01.jpg,,Lumumba Memorial Rally,11891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In Copyright,rightsstatements,http://rightsstatements.org/vocab/InC/1.0/,On-site Access,
rbml_global_1968_223,,item,,,,,A,New Gay Survey,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,60s Files,,,,November 1974,1974-11,,TRUE,,English,http://id.loc.gov/vocabulary/iso639-2/eng,iso639-2b,,,,,Rick X Shur Papers,http://id.library.columbia.edu/term/b89a7d01-eed5-4dc5-a8e7-4521a123da22,,,,,,,Aeon Slip No.: 137204,,,,text,,printed ephemera,http://vocab.getty.edu/aat/300264821,aat,Gay People at Columbia-Barnard,corporate,,,Creator,http://id.loc.gov/vocabulary/relators/cre,marcrelator,TRUE,,,,,,,,,Columbia University,corporate,http://id.loc.gov/authorities/names/n81024714,naf,,,,,,,,Gay rights,http://id.worldcat.org/fast/939213,fast,,,,,,,reformatted digital,In Copyright,rightsstatements,http://rightsstatements.org/vocab/InC/1.0/,,
