item - public,item - itemId,item - featured,item - MODS - FormGenre 1,item - MODS - FormGenre 2,item - MODS - FormGenre 3,item - MODS - KeyDate - Single/Start,item - MODS - KeyDate - End,item - MODS - TypeofDate,item - MODS - DigitalOrigin,item - MODS - RepositoryName,item - MODS - RepositoryName - code,item - MODS - LanguageofCataloging,item - MODS - PlaceofOrigin 1,item - MODS - PlaceofOrigin 2,item - MODS - Notes,item - MODS - PublicationPlace,item - MODS - PhysicalDescription,item - MODS - Collection,item - MODS - Subrepository,item - DublinCore - Creator 1,item - DublinCore - Creator 2,item - DublinCore - Creator 3,item - DublinCore - Title,item - DublinCore - Title - Whole,item - DublinCore - Title - Part,item - DublinCore - Title 2,item - DublinCore - Title 2 - Whole,item - DublinCore - Title 2 - Part,item - DublinCore - Title 2 - Attribute,item - DublinCore - Language 1,item - DublinCore - Language 2,item - DublinCore - Date,item - DublinCore - Description,item - DublinCore - Subject 1,item - DublinCore - Subject 2,item - DublinCore - Subject 3,item - DublinCore - Subject 4,item - DublinCore - Subject 5,item - DublinCore - Subject 6,item - DublinCore - Publisher,item - DublinCore - Source,item - OriginalFileLoadedIntoOmeka,item - OmekaCollection,project URL,item - AdditionalItemMetadata - Provenance,item - ItemType,item in context 1,item in context 2
1,1848,0,printed ephemera,,,1926,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,Paris (France),,,,,,,"Théâtre de la gaîté (Paris, France)",,,Ballets Russes de Monte-Carlo: Event Seating Price List,Ballets Russes de Monte-Carlo: Event Seating Price List,,,,,,fre,,1926,,Ballets russes de Monte Carlo,,,,,,,,original filename: ballet_russe_07-06-01.jpg,Sergei Diaghilev and Beyond: Les Ballets Russes,http://www.columbia.edu/cgi-bin/cul/resolve?clio10379406,,still image,https://exhibitions.cul.columbia.edu/exhibits/show/diaghilev/case7/beyond,
1,1847,0,printed ephemera,,,1926-05-06,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,Monte-Carlo (Monaco),,,,,,,Théâtre de Monte-Carlo,,,Theatre de Monte Carlo: Ballets Russes de Serge de Diaghilew ticket,Theatre de Monte Carlo: Ballets Russes de Serge de Diaghilew ticket,,,,,,fre,,Jeudi 6 Mai 1926,,Ballets russes,,,,,,,,original filename: ballet_russe_07-05-01.jpg,Sergei Diaghilev and Beyond: Les Ballets Russes,http://www.columbia.edu/cgi-bin/cul/resolve?clio10379406,,still image,https://exhibitions.cul.columbia.edu/exhibits/show/diaghilev/case7/beyond,
1,1846,0,printed ephemera,,,1919,1922,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,Paris (France),,,,,,,Opéra de Paris,,,"Théâtre National de l'Opéra 1919 - 1920 Saison des Ballets Russes, Serge de Diaghilew, Carte d'Entrée for M. le Prince Schervachidze","Théâtre National de l'Opéra 1919 - 1920 Saison des Ballets Russes, Serge de Diaghilew, Carte d'Entrée for M. le Prince Schervachidze",,,,,,fre,,between 1919 and 1922,"Ballet Russes, carte d'entree or entrance card belonging to Prince ""Schervachidze"" (Shervashidze)",Ballets russes,"Shervashidze, Aleksandr, 1867-1968",,,,,,,original filename: ballet_russe_07-04-01.jpg,Sergei Diaghilev and Beyond: Les Ballets Russes,http://www.columbia.edu/cgi-bin/cul/resolve?clio10379406,,still image,https://exhibitions.cul.columbia.edu/exhibits/show/diaghilev/case7/beyond,
1,1845,0,printed ephemera,,,1915,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,New York (N.Y.),,,,,,,"Metropolitan Opera (New York, N.Y.)",,,Metropolitan Opera Company Presents Serge de Diaghileff's Ballet Russe: Prospectus. Front cover,Metropolitan Opera Company Presents Serge de Diaghileff's Ballet Russe: Prospectus,Front cover,,,,,eng,,1915,"Prospectus, ""The Metropolitan Opera Company presents Serge de Diaghileff's Ballet Russe.""",Ballets russes,,,,,,,,original filename: ballet_russe_07-01-01.jpg,Sergei Diaghilev and Beyond: Les Ballets Russes,http://www.columbia.edu/cgi-bin/cul/resolve?clio10379406,,still image,https://exhibitions.cul.columbia.edu/exhibits/show/diaghilev/case7/beyond,
1,1844,0,printed ephemera,photographs,,1978,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,,,,,,,,"Vollmer, Jurgen",,,Calendar '79 Nureyev. Front cover,Calendar '79 Nureyev,Front cover,,,,,eng,,published in 1978,"Wall Calendar for 1979; ""International dance superstar Rudolf Nureyev in thirteen previously unpublished photographs by Jurgen Vollmer."" Two photographs of Rudolf Nureyev on front cover.","Nureyev, Rudolf, 1938-1993",,,,,,,,original filename: ballet_russe_06-08-01.jpg,Sergei Diaghilev and Beyond: Les Ballets Russes,http://www.columbia.edu/cgi-bin/cul/resolve?clio10379406,,still image,https://exhibitions.cul.columbia.edu/exhibits/show/diaghilev/case6/nureyev,
1,1843,0,photographs,,,1963,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,,,,,,,,,,,Rudolf Nureyev with Merle Park in La Bayadère,Rudolf Nureyev with Merle Park in La Bayadère,,,,,,eng,,1963,Production photograph/portrait,"Nureyev, Rudolf, 1938-1993","Park, Merle",,,,,,,original filename: ballet_russe_06-07-01.jpg,Sergei Diaghilev and Beyond: Les Ballets Russes,http://www.columbia.edu/cgi-bin/cul/resolve?clio10379406,,still image,https://exhibitions.cul.columbia.edu/exhibits/show/diaghilev/case6/intro,https://exhibitions.cul.columbia.edu/exhibits/show/diaghilev/case6/nureyev
1,1842,0,photographs,,,1958,1993,inferred,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,,,Date inferred from subject's life dates.,,,,,,,,Rudolf Nureyev in Romeo and Juliet,Rudolf Nureyev in Romeo and Juliet,,,,,,eng,,Between 1958 and 1993,Production photograph of Rudolf Nureyev with others in Romeo and Juliet,"Nureyev, Rudolf, 1938-1993",,,,,,,,original filename: ballet_russe_06-06-01.jpg,Sergei Diaghilev and Beyond: Les Ballets Russes,http://www.columbia.edu/cgi-bin/cul/resolve?clio10379406,,still image,https://exhibitions.cul.columbia.edu/exhibits/show/diaghilev/case6/nureyev,
1,1841,0,printed ephemera,,,1963,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,London (England),,,,,,,"Royal Opera House (London, England)",,,"Royal Opera House, Convent Garden, LTD. Presents the Royal Ballet. Front cover","Royal Opera House, Convent Garden, LTD. Presents the Royal Ballet",Front cover,,,,,eng,,1963,The Royal Ballet program commemorating the 50th Anniversary of The Rite of Spring by Igor Stravinsky.,"Stravinsky, Igor, 1882-1971","Nureyev, Rudolf, 1938-1993",Rite of spring (Choreographic work),,,,,,original filename: ballet_russe_06-05-01.jpg,Sergei Diaghilev and Beyond: Les Ballets Russes,http://www.columbia.edu/cgi-bin/cul/resolve?clio10379406,,still image,https://exhibitions.cul.columbia.edu/exhibits/show/diaghilev/case6/nureyev,
1,1840,0,photographs,,,1912,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,,,,,,,,,,,Anna Udal'tsova in Ballet Pose and Outfit,Anna Udal'tsova in Ballet Pose and Outfit,,,,,,eng,,1912,Portrait of Anna Udal'tsova as ballerina,"Udal'tsova, Anna",,,,,,,,original filename: ballet_russe_06-04-01.jpg,Sergei Diaghilev and Beyond: Les Ballets Russes,http://www.columbia.edu/cgi-bin/cul/resolve?clio10379406,,still image,https://exhibitions.cul.columbia.edu/exhibits/show/diaghilev/case6/udaltsova,
1,1839,0,printed ephemera,photographs,manuscripts,1978,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,,,,,,,,Nationale Ballet (Netherlands),"Nureyev, Rudolf, 1938-1993",,Dutch National Ballet and Rudolf Nureyev Program. Unnumbered page,Dutch National Ballet and Rudolf Nureyev Program,Unnumbered page,,,,,eng,,1978,"This page of the program includes photograph of Rudolf Nureyev dancing, with his autograph on the image.","Nureyev, Rudolf, 1938-1993",,,,,,,,original filename: ballet_russe_06-03-01.jpg,Sergei Diaghilev and Beyond: Les Ballets Russes,http://www.columbia.edu/cgi-bin/cul/resolve?clio10379406,,still image,https://exhibitions.cul.columbia.edu/exhibits/show/diaghilev/case6/nureyev,
1,1838,0,photographs,,,1979,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,,,,,,,,,,,Anna Udal'tsova at Kitchen Table,Anna Udal'tsova at Kitchen Table,,,,,,eng,,1979,,"Udal'tsova, Anna",,,,,,,,original filename: ballet_russe_06-02-01.jpg,Sergei Diaghilev and Beyond: Les Ballets Russes,http://www.columbia.edu/cgi-bin/cul/resolve?clio10379406,,still image,https://exhibitions.cul.columbia.edu/exhibits/show/diaghilev/case6/udaltsova,
1,1837,0,printed ephemera,photographs,,1979,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,,,,,,,,"Foundation for the Joffrey Ballet, Inc.","Nederlander, James","Gorlinsky, S. A.",Nureyev and the Joffrey Ballet in Homage to Diaghilev. Cover,Nureyev and the Joffrey Ballet in Homage to Diaghilev,Cover,,,,,eng,,1979,Souvenir Program of Rudolf Nureyev and the Joffrey Ballet in Homage to Diaghilev. Includes production photograph on front cover.,"Nureyev, Rudolf, 1938-1993",Joffrey Ballet,"Diaghilev, Serge, 1872-1929",,,,,,original filename: ballet_russe_06-01-01.jpg,Sergei Diaghilev and Beyond: Les Ballets Russes,http://www.columbia.edu/cgi-bin/cul/resolve?clio10379406,,still image,https://exhibitions.cul.columbia.edu/exhibits/show/diaghilev/case6/nureyev,
1,1836,0,correspondence,,,1933-01-10,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,Paris (France),Paris (France),,,,,,"Basil, W. de","Shervashidze, Aleksandr, 1867-1968",,Letter from Colonel W. de Basil to Prince Alexander Shervashidze,Letter from Colonel W. de Basil to Prince Alexander Shervashidze,,,,,,rus,fre,"10-go Janvara 1933 g ; January 10th, 1933","Colonel W. de Basil, typed and signed, letter to Prince Alexander Shervashidze in Neuilly in Russian and on Ballets Russes de Monte-Carlo letterhead.",,,,,,,,,original filename: ballet_russe_05-25-01.jpg,Sergei Diaghilev and Beyond: Les Ballets Russes,http://www.columbia.edu/cgi-bin/cul/resolve?clio10379406,,still image,https://exhibitions.cul.columbia.edu/exhibits/show/diaghilev/case5/basil,
1,1835,0,printed ephemera,photographs,manuscripts,1947,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,London (England),,,,,,,"Seymour, Maurice, 1904-","Basil, W. de",,Colonel W. de Basil Autographed Program. Page 3,Colonel W. de Basil Autographed Program,Page 3,,,,,eng,,1947,"Colonel W. de Basil, inscribed photograph in an unnamed program. Page 3 has portrait and autograph of Colonel W. de Basil.","Basil, W. de",,,,,,,,original filename: ballet_russe_05-24-01.jpg,Sergei Diaghilev and Beyond: Les Ballets Russes,http://www.columbia.edu/cgi-bin/cul/resolve?clio10379406,,still image,https://exhibitions.cul.columbia.edu/exhibits/show/diaghilev/case5/basil,
1,1834,0,printed ephemera,,,1900,1951,inferred,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,New York (N.Y.),,Date inferred from the life dates of Col. W. de Basil (general director of the production for which the program was created),,,,,"Hurok, Sol, 1888-1974",51st Street Theatre on Broadway,,"Ballet Russe, Col. W. de Basil, General Director: Program. Front page","Ballet Russe, Col. W. de Basil, General Director: Program",Front page,,,,,eng,,Between 1900 and 1951,"Program of Ballet Russe, Colonel W. de Basil.","Basil, W. de",Ballets russes du Col. W. de Basil,,,,,,,original filename: ballet_russe_05-23-01.jpg,Sergei Diaghilev and Beyond: Les Ballets Russes,http://www.columbia.edu/cgi-bin/cul/resolve?clio10379406,,still image,https://exhibitions.cul.columbia.edu/exhibits/show/diaghilev/case5/basil,
1,1833,0,correspondence,,,1967-02-18,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,"Hôtel de Paris, Monte-Carlo (Monaco)",,,,,,,"Massine, Leonide, 1896-1979","Steegmuller, Francis, 1906-1994",,Letter from Leonide Massine to Francis Steegmüller Concerning an Interview,Letter from Leonide Massine to Francis Steegmüller Concerning an Interview,,,,,,eng,,"February 18th, 1967","Dictated, typed and then signed letter from Leonide Massine to Francis Steegmüller.",,,,,,,,,original filename: ballet_russe_05-19-01.jpg,Sergei Diaghilev and Beyond: Les Ballets Russes,http://www.columbia.edu/cgi-bin/cul/resolve?clio10379406,,still image,https://exhibitions.cul.columbia.edu/exhibits/show/diaghilev/case5/massine,
1,1832,0,printed ephemera,prints,,1937,1938,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,New York (N.Y.),,,,,,,Briand?,,,Basil's Ballets Russes program. Front cover,Basil's Ballets Russes program,Front cover,,,,,eng,,1937 to 1938,Program of Colonel W. de Basil's Ballets Russes. Front cover includes print of art by Briand? - artist's signature is unclear.,Ballets russes du Col. W. de Basil,,,,,,,,original filename: ballet_russe_05-18-01.jpg,Sergei Diaghilev and Beyond: Les Ballets Russes,http://www.columbia.edu/cgi-bin/cul/resolve?clio10379406,,still image,https://exhibitions.cul.columbia.edu/exhibits/show/diaghilev/case5/basil,
1,1831,0,prints,,,1916,,inferred,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,,,"Date inferred from date of original work of art, held by the Wadsworth Atheneum Museum of Art in Hartford, Connecticut",,,,,"Bakst, Léon, 1866-1924",,,"Faun in ""L'Après-Midi d'un Faune""","Faun in ""L'Après-Midi d'un Faune""",,,,,,fre,,1916,"Costume design for Vaslav Nijinsky as the Faun from ""The Afternoon of a Faun""","Nijinsky, Waslaw, 1890-1950",Afternoon of a faun (Choreographic work : Nijinsky),,,,,,,original filename: ballet_russe_05-16-01.jpg,Sergei Diaghilev and Beyond: Les Ballets Russes,http://www.columbia.edu/cgi-bin/cul/resolve?clio10379406,,still image,https://exhibitions.cul.columbia.edu/exhibits/show/demo/structure/layouts/text-image-right,https://exhibitions.cul.columbia.edu/exhibits/show/diaghilev/case5/nijinsky
1,1830,0,photographs,,,1909,1929,inferred,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,New York (N.Y.),,Date inferred from Flore Revalles' life and performance dates.,,,,,"Strelecki, Jean de, count",,,"Serge De Diaghileff's Ballet Russe: Mme. F. Revalles, M. Grigoriew, Sheherazade","Serge De Diaghileff's Ballet Russe: Mme. F. Revalles, M. Grigoriew, Sheherazade",,,,,,eng,fre,between 1909 and 1929,"Production photograph of F. Revalles and Grigoriew (unknown first name), dancers in Schéhérazade of the Ballets Russes.","Revalles, Flore",Grigoriew,Schéhérazade (Choreographic work),Ballets russes,,,,,original filename: ballet_russe_05-14-01.jpg,Sergei Diaghilev and Beyond: Les Ballets Russes,http://www.columbia.edu/cgi-bin/cul/resolve?clio10379406,,still image,https://exhibitions.cul.columbia.edu/exhibits/show/diaghilev/case5/intro,
1,1829,0,photographs,,,1905,1920,inferred,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,Paris (France),,Date inferred from subject's life dates.,,,,,Phot. Bert. Paris,,,Nijinsky: Kaiserl. russischer Ballett Tänzer,Nijinsky: Kaiserl. russischer Ballett Tänzer,,Nijinsky: Imperial Russian Ballet Dancer,Nijinsky: Imperial Russian Ballet Dancer,,translated,ger,,between 1905 and 1920,Dance portrait of Nijinsky in costume,"Nijinsky, Waslaw, 1890-1950",,,,,,Verl. Herm. Leiser,,original filename: ballet_russe_05-12-01.jpg,Sergei Diaghilev and Beyond: Les Ballets Russes,http://www.columbia.edu/cgi-bin/cul/resolve?clio10379406,,still image,https://exhibitions.cul.columbia.edu/exhibits/show/diaghilev/case5/nijinsky,
1,1828,0,correspondence,,,1944-11,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,,,,,,,,"Nijinska, Bronislava, 1891-1972","Dobuzhinskiĭ, Mstislav Valerianovich, 1875-1957",,Postcard from Bronislava Nijinska to M. Doboujinsky,Postcard from Bronislava Nijinska to M. Doboujinsky,,,,,,eng,rus,November 1944,"Holograph postcard to ""M. Doboujinsky"" (Mstislav Dobuzhinskiĭ)",,,,,,,,,original filename: ballet_russe_05-11-01.jpg,Sergei Diaghilev and Beyond: Les Ballets Russes,http://www.columbia.edu/cgi-bin/cul/resolve?clio10379406,,still image,https://exhibitions.cul.columbia.edu/exhibits/show/diaghilev/case5/nijinska,
1,1827,0,printed ephemera,,,1933-12-21,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,"16e Arrondissement (Paris, France)",,,,,,,Archives internationales de la danse,,,"Réception que Donneront Les Archives Internationales de la Danse (A.I.D.) en l'Honneur de l'Éminent Créateur de la Chorégraphie Moderne, M. Michel Fokine: Invitation","Réception que Donneront Les Archives Internationales de la Danse (A.I.D.) en l'Honneur de l'Éminent Créateur de la Chorégraphie Moderne, M. Michel Fokine: Invitation",,,,,,fre,,Jeudi 21 Décembre 1933,Invitation to a reception,"Fokine, Michel, 1880-1942",,,,,,,,original filename: ballet_russe_05-09-01.jpg,Sergei Diaghilev and Beyond: Les Ballets Russes,http://www.columbia.edu/cgi-bin/cul/resolve?clio10379406,,still image,https://exhibitions.cul.columbia.edu/exhibits/show/diaghilev/case5/fokine,
1,1826,0,photographs,manuscripts,,1937,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,Paris (France),,,,,,,"Fokine, Michel, 1880-1942",,,Portrait of Mikhail Fokine inscribed to Vladimir Zeeler,Portrait of Mikhail Fokine inscribed to Vladimir Zeeler,,,,,,rus,,1937,,"Fokine, Michel, 1880-1942","Zeeler, Vladimir Feofilovich, 1874-1954",,,,,,,original filename: ballet_russe_05-08-01.jpg,Sergei Diaghilev and Beyond: Les Ballets Russes,http://www.columbia.edu/cgi-bin/cul/resolve?clio10379406,,still image,https://exhibitions.cul.columbia.edu/exhibits/show/diaghilev/case5/fokine,
1,1825,0,correspondence,,,1900,1978,inferred,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,Paris (France),,Date inferred from writer's life dates.,,,,,"Karsavina, Tamara","Brussel, Robert",,Holograph letter from Tamara Karsavina to Robert Brussel. Page 2,Holograph letter from Tamara Karsavina to Robert Brussel,Page 2,,,,,fre,,between 1900 and 1978,,,,,,,,,,original filename: ballet_russe_05-06-02.jpg,Sergei Diaghilev and Beyond: Les Ballets Russes,http://www.columbia.edu/cgi-bin/cul/resolve?clio10379406,,still image,https://exhibitions.cul.columbia.edu/exhibits/show/diaghilev/case5/karsavina,
1,1824,0,correspondence,,,1900,1978,inferred,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,Paris (France),,Date inferred from writer's life dates.,,,,,"Karsavina, Tamara","Brussel, Robert",,Holograph letter from Tamara Karsavina to Robert Brussel. Page 1,Holograph letter from Tamara Karsavina to Robert Brussel,Page 1,,,,,fre,,between 1900 and 1978,,,,,,,,,,original filename: ballet_russe_05-06-01.jpg,Sergei Diaghilev and Beyond: Les Ballets Russes,http://www.columbia.edu/cgi-bin/cul/resolve?clio10379406,,still image,https://exhibitions.cul.columbia.edu/exhibits/show/diaghilev/case5/karsavina,
