identifier_omeka,subject_topic,dateCreated,title,publisher,abstract,keyDate_start,form,physicalLocation,place,digitalOrigin,languageofCataloging,note_filename,typeOfResource,relatedItem_Project
9360,"Women--China--Periodicals|Temple, Shirley, 1928-2014",1936,"Ling long. Vol. 6, issue 230 (1936), page 841",Hua shang san he gong si chu ban bu,Front cover of an issue featuring Shirley Temple.,1936,periodicals,"C.V. Starr East Asian Library, Columbia University",Shanghai,,,1936_issue230_page841.jpeg,Still Image,Ling long Women's Magazine
9359,Women--China--Periodicals,1932,"Ling long. Vol. 2, issue 52 (1932), page 50",Hua shang san he gong si chu ban bu,Caption: “To succeed in becoming a photographer one must practice like this.”,1932,periodicals,"C.V. Starr East Asian Library, Columbia University",Shanghai,,,1932_issue52_page50.jpeg,Still Image,Ling long Women's Magazine
9358,Women--China--Periodicals,1932,"Ling long. Vol. 2, issue 66 (1932), page 740",Hua shang san he gong si chu ban bu,"Caption: “New autumn fashion: The autumn winds have risen. Short sleeves are already out of fashion. Now the new style is the popular long sleeves and long skirt. As for material, you can still use patterned cotton. This style is both graceful and nice looking.”",1932,periodicals,"C.V. Starr East Asian Library, Columbia University",Shanghai,,,1932_issue66_page740.jpeg,Still Image,Ling long Women's Magazine
9357,"Women--China--Periodicals|Ruan, Lingyu, 1910-1935 ",1935,"Ling long. Vol. 5, issue 177 (1935), page 644",Hua shang san he gong si chu ban bu,Caption: “Ruan Lingyu autographing photographs for fans.” Ruan Lingyu was the diva of Shanghai silent cinema. She committed suicide in 1935.,1935,periodicals,"C.V. Starr East Asian Library, Columbia University",Shanghai,,,1935_issue177_page644.jpeg,Still Image,Ling long Women's Magazine
9355,Women--China--Periodicals,1933,"Ling long. Vol. 3, issue 99 (1933), page 882


",Hua shang san he gong si chu ban bu,"Article by Shi Lili: The Modern Girl's Outward Appearance and Essence, pages 882-883",1933,periodicals,"C.V. Starr East Asian Library, Columbia University",Shanghai,,,1933_issue99_page882.gif,Still Image,Ling long Women's Magazine
9354,Women--China--Periodicals,1933,"Ling long. Vol. 3, issue 99 (1933), page 883",Hua shang san he gong si chu ban bu,"Article by Shi Lili: The Modern Girl's Outward Appearance and Essence, pages 882-883",1933,periodicals,"C.V. Starr East Asian Library, Columbia University",Shanghai,,,1933_issue99_page883.gif,Still Image,Ling long Women's Magazine
9353,Women--China--Periodicals|Motion picture actors and actresses--China,1933,"Ling long. Vol. 3, issue 91 (1933), page 450",Hua shang san he gong si chu ban bu,Article titled: Nationally Produced Female Stars and Foreign Female Stars,1933,periodicals,"C.V. Starr East Asian Library, Columbia University",Shanghai,,,1933_issue91_page450.gif,Still Image,Ling long Women's Magazine
9352,Women--China--Periodicals,1934,"Ling long. Vol. 4, issue 135 (1934), page 583",Hua shang san he gong si chu ban bu,Article by Miss Li Ying: Being a Contemporary Girl,1934,periodicals,"C.V. Starr East Asian Library, Columbia University",Shanghai,,,1934_issue135_page583.gif,Still Image,Ling long Women's Magazine
9351,Women--China--Periodicals,1931,"Ling long. Vol. 1, issue 30 (1931), page 1138",Hua shang san he gong si chu ban bu,Article by Miss Liang Aibao: A Corner Dressing Table,1931,periodicals,"C.V. Starr East Asian Library, Columbia University",Shanghai,,,1931_issue30_page1138.jpeg,Still Image,Ling long Women's Magazine
9350,Women--China--Periodicals,1931,"Ling long. Vol. 1, issue 30 (1931), page 1097",Hua shang san he gong si chu ban bu,,1931,periodicals,"C.V. Starr East Asian Library, Columbia University",Shanghai,,,1931_issue30_page1097.jpeg,Still Image,Ling long Women's Magazine
9349,Women--China--Periodicals,1933,"Ling long. Vol. 3, issue 119 (1933), page 2162","Hua shang san he gong si chu ban bu
",Caption: “Rural life: a country girl in front of thatched hut; women pull the boat together. This really is so-called male-female equality.,1933,periodicals,"C.V. Starr East Asian Library, Columbia University",Shanghai,,,1933_issue119_page2162jpeg.jpeg,Still Image,Ling long Women's Magazine
9348,Women--China--Periodicals,1932,"Ling long. Vol. 2, issue 55 (1932), page 215",Hua shang san he gong si chu ban bu,"Caption: “Modern rooms: a bathroom, a small bedroom with makeup table.”",1932,periodicals,"C.V. Starr East Asian Library, Columbia University",Shanghai,,,1932_issue55_page215_.jpg,Still Image,Ling long Women's Magazine
9347,Women--China--Periodicals,1936,"Ling long. Vol. 6, issue 246 (1936), page 2141",Hua shang san he gong si chu ban bu,Caption: “Decoration of a contemporary home; a parlor.”,1936,periodicals,"C.V. Starr East Asian Library, Columbia University",Shanghai,,,1936_issue246_page2141.jpg,Still Image,Ling long Women's Magazine
9346,Women--China--Periodicals|Shanghai (China),1932,"Ling long. Vol. 2, issue 55 (1932), pages 216-217",Hua shang san he gong si chu ban bu,Caption: “Beautiful photographs from the street.” These snapshots of women on the street appear to have been taken in Shanghai.,1932,periodicals,"C.V. Starr East Asian Library, Columbia University",Shanghai,reformatted digital,eng,1932_issue55_page216-17_.jpg,Still Image,Ling long Women's Magazine
9345,Women--China--Periodicals|Friendship--China,1932,"Ling long. Vol. 2, issue 56 (1932), page 263",Hua shang san he gong si chu ban bu,Caption: “From these few pictures you can see female sentiment. There is absolutely no way men can express this. These so-called good friends are inseparable. The unfortunate thing is that after marriage they suddenly become cold and indifferent.”,1934,periodicals,"C.V. Starr East Asian Library, Columbia University",Shanghai,,,1932_issue56_page263.jpg,Still Image,Ling long Women's Magazine
9344,"Women--China--Periodicals|Hu, Die",1934,"Ling long. Vol. 4, issue 129 (1934), page 225",Hua shang san he gong si chu ban bu,"Caption: “Our empress of the cinema, Miss Hu Die.” 
Hu starred in the 1934 film Zi mei hua (Twin Sisters).",1934,periodicals,"C.V. Starr East Asian Library, Columbia University",Shanghai,,,1934_issue129_page225.jpg,Still Image,Ling long Women's Magazine
9340,Women--China--Periodicals|Cooking--China,1932,"Ling long. Vol. 2, issue 73 (1932), page 1066a",Hua shang san he gong si chu ban bu,A Shanghai housewife attempts to cook dinner as her befuddled husband and mother-in-law look on. ,1932,periodicals,"C.V. Starr East Asian Library, Columbia University",Shanghai,,,1932_issue73_page1066a_.jpg,Still Image,Ling long Women's Magazine
9339,"Women--China--Periodicals|Smoking--China|Xu, Ling",1937,"Ling long. Vol. 7 issue 268 (1937), page 1",Hua shang san he gong si chu ban bu,Xu Ling on the front cover,1937,periodicals,"C.V. Starr East Asian Library, Columbia University",Shanghai,,,1937_issue268_page1.jpg,Still Image,Ling long Women's Magazine
9338,Women--China--Periodicals|Automobiles,1935,"Ling long. Vol. 5 issue 168 (1935), page 109",Hua shang san he gong si chu ban bu,Most photographs of women in Ling long were taken outdoors. Posing with an automobile was a favored stance.,1935,periodicals,"C.V. Starr East Asian Library, Columbia University",Shanghai,,,1935_issue168_page109.jpeg,Still Image,Ling long Women's Magazine
9337,Women--China--Periodicals|Swimming,1936,"Ling long. Vol. 6, issue 243 (1936), page 1881",Hua shang san he gong si chu ban bu,Front cover of a special issue on swimming.,1936,periodicals,"C.V. Starr East Asian Library, Columbia University",Shanghai,,,1936_issue243_page1881.jpeg,Still Image,Ling long Women's Magazine
9336,Women--China--Periodicals,1934,"Ling long. Vol. 4, issue 138 (1934), page 832",Hua shang san he gong si chu ban bu,"Back cover of Ling long with the title ""Movies"" and an unusual Chinese transliteration mu wei 幕味 (screen flavor), instead of the common term for movie, dian ying (electric shadow).",1934,periodicals,"C.V. Starr East Asian Library, Columbia University",Shanghai,,,1934_issue138_page832.jpeg,Still Image,Ling long Women's Magazine
9335,"Women--China--Periodicals|Brent, Evelyn, 1899-1975|Brook, Clive, 1887-1974",1931,"Ling long. Vol. 1, issue 1 (1931), page 36",Hua shang san he gong si chu ban bu,Movie stars Evelyn Brent and Clive Brook,1931,periodicals,"C.V. Starr East Asian Library, Columbia University",Shanghai,,,1931_issue1_page36_.jpg,Still Image,Ling long Women's Magazine
9334,"Women--China--Periodicals|Liang, Sai Zhen",1936,"Ling long. Vol. 6, issue 249 (1936), page 2361",Hua shang san he gong si chu ban bu,Actress Liang Sai Zhen on the cover of Ling long magazine,1936,periodicals,"C.V. Starr East Asian Library, Columbia University",Shanghai,,,1936_issue249_page2361.jpg,Still Image,Ling long Women's Magazine
9333,"Women--China--Periodicals|Advertising, Magazine",1933,"Ling long. Vol. 3 (1933), issue 108, page. 1523",Hua shang san he gong si chu ban bu,Advertisement for Cutex,1933,periodicals,"C.V. Starr East Asian Library, Columbia University",Shanghai ,,,cutex.gif,Still Image,Ling long Women's Magazine
9332,"Women--China--Periodicals|Zhou, Shuheng",1931,"Ling long. Vol. 1, issue 1 (1931), page 1",Hua shang san he gong si chu ban bu,Shanghai socialite Zhou Shuheng on the front cover of Ling long magazine,1931,periodicals,"C.V. Starr East Asian Library, Columbia University",Shanghai,,,001002.24.jpeg,Still Image,Ling long Women's Magazine
