relatedItem_collection,name_primary,name_primary_type,name_primaryRelator,name_primaryRelator_authority,name_primaryRelator_authority_identifier,name_primary_authority,name_primary_authority_identifier,keyDate_start,keyDate_end,dateQualifier,dateCreated,note,name_primary_description,item - featured,item - public,identifier_clio,identifier_omeka,language,language_authority,language_authority_identifier,location_url_ObjectInContext,physicalLocation,physicalLocation_authority,physicalLocation_authority_identifier,note 2,note 3,note_filename,note_filename 2,note_filename 3,digitalOrigin,form,form_authority,form_authority_identifer,form_originalFormat,place,place_authority_identifier,relatedItem_Project,projectURL,languageOfCataloging,subject_topic,subject_topic_authority,subject_topic_authority_identifier,genre,genre_authority,genre_authority_identifier 2,subject_topic 2,subject_topic _authority 2,subject_topic_authority_identifier 23,title,title_type,title_nonSort,title2,title2_nonSort,identifier_title,partName
Spanish Children's Drawings of the Civil War Collection,"Vergara Garcia, Luis",personal,art,marcrelator,http://id.loc.gov/vocabulary/relators/art,,,1936,1939,inferred,between 1936 and 1939,"On facades: ""farmacia,"" ""hueveria,"" ""taberna,"" ""vinos,"" ""pescados"". (A commercial street:  Pharmacy, Egg Store, Tavern, Wines, Fish.)  Stamp: Ministerio de Instrucción Pública. Colony: Colonia Escolar #1, Torrente",Age 11.,0,1,,omeka_8232,spa,iso639-2,http://id.loc.gov/vocabulary/iso639-2/spa,,NNC-A,marcorg,http://id.loc.gov/authorities/names/n80087582,Date range based on the dates of the Spanish Civil War.,Drawing no: 147,original filename: 147.tif,original filename: 147.jpg,,reformatted digital,drawings,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm003279,still image,"Torrente (Valencia, Spain)",http://id.loc.gov/authorities/names/n80040690,Children's Drawings of the Spanish Civil War,http://www.columbia.edu/cgi-bin/cul/resolve?clio4278351 ,eng,War in art,lcsh,http://id.loc.gov/authorities/subjects/sh85145181,Children's drawings,lcsh,http://id.loc.gov/authorities/subjects/sh88005179,"Spain--History--Civil War, 1936-1939",lcsh,http://id.loc.gov/authorities/subjects/sh85126106,Drawing Of A Commercial Street,,,,,childrensdrawings_bqt,
Spanish Children's Drawings of the Civil War Collection,"Vergara Garcia, Luis",personal,art,marcrelator,http://id.loc.gov/vocabulary/relators/art,,,1936,1939,inferred,between 1936 and 1939,"On facades: ""farmacia,"" ""hueveria,"" ""taberna,"" ""vinos,"" ""pescados"". (A commercial street:  Pharmacy, Egg Store, Tavern, Wines, Fish.)  Stamp: Ministerio de Instrucción Pública. Colony: Colonia Escolar #1, Torrente",Age 11.,0,1,,omeka_8232,spa,iso639-2,http://id.loc.gov/vocabulary/iso639-2/spa,https://exhibitions.cul.columbia.edu/exhibits/show/children/spain/valencia/valencia_3,NNC-A,marcorg,http://id.loc.gov/authorities/names/n80087582,Date range based on the dates of the Spanish Civil War.,Drawing no: 147,original filename: 147.tif,original filename: 147.jpg,,reformatted digital,drawings,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm003279,still image,"Torrente (Valencia, Spain)",http://id.loc.gov/authorities/names/n80040690,Children's Drawings of the Spanish Civil War,http://www.columbia.edu/cgi-bin/cul/resolve?clio4278351 ,eng,War in art,lcsh,http://id.loc.gov/authorities/subjects/sh85145181,Children's drawings,lcsh,http://id.loc.gov/authorities/subjects/sh88005179,"Spain--History--Civil War, 1936-1939",lcsh,http://id.loc.gov/authorities/subjects/sh85126106,Drawing Of A Commercial Street,,,,,childrensdrawings_bqt_000,
Spanish Children's Drawings of the Civil War Collection,,,,,,,,1936,1939,inferred,between 1936 and 1939,"Colony: Colonia Escolar, Estadilla, Spain",,0,1,,omeka_8125,spa,iso639-2,http://id.loc.gov/vocabulary/iso639-2/spa,,NNC-A,marcorg,http://id.loc.gov/authorities/names/n80087582,Date range based on the dates of the Spanish Civil War.,Drawing no: 39,original filename: 39.tif,original filename: 39.jpg,,reformatted digital,drawings,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm003279,still image,Estadilla (Spain),http://id.loc.gov/authorities/names/n88056913,Children's Drawings of the Spanish Civil War,http://www.columbia.edu/cgi-bin/cul/resolve?clio4278351 ,eng,War in art,lcsh,http://id.loc.gov/authorities/subjects/sh85145181,Children's drawings,lcsh,http://id.loc.gov/authorities/subjects/sh88005179,"Spain--History--Civil War, 1936-1939",lcsh,http://id.loc.gov/authorities/subjects/sh85126106,Girls With Books (or Sewing) Outdoors,,,,,childrensdrawings_buj,
Spanish Children's Drawings of the Civil War Collection,,,,,,,,1936,1939,inferred,between 1936 and 1939,"Colony: Colonia Escolar, Estadilla, Spain",,0,1,,omeka_8125,spa,iso639-2,http://id.loc.gov/vocabulary/iso639-2/spa,https://exhibitions.cul.columbia.edu/exhibits/show/children/spain/huesca,NNC-A,marcorg,http://id.loc.gov/authorities/names/n80087582,Date range based on the dates of the Spanish Civil War.,Drawing no: 39,original filename: 39.tif,original filename: 39.jpg,,reformatted digital,drawings,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm003279,still image,Estadilla (Spain),http://id.loc.gov/authorities/names/n88056913,Children's Drawings of the Spanish Civil War,http://www.columbia.edu/cgi-bin/cul/resolve?clio4278351 ,eng,War in art,lcsh,http://id.loc.gov/authorities/subjects/sh85145181,Children's drawings,lcsh,http://id.loc.gov/authorities/subjects/sh88005179,"Spain--History--Civil War, 1936-1939",lcsh,http://id.loc.gov/authorities/subjects/sh85126106,Girls With Books (or Sewing) Outdoors,,,,,childrensdrawings_buj_000,
Spanish Children's Drawings of the Civil War Collection,"Perdiguero, Juan",personal,art,marcrelator,http://id.loc.gov/vocabulary/relators/art,,,1938-01-14,,,"January 14, 1938","Dated January 14, 1938. Colony: Bellús",Age 11.,0,1,,omeka_8146,spa,iso639-2,http://id.loc.gov/vocabulary/iso639-2/spa,,NNC-A,marcorg,http://id.loc.gov/authorities/names/n80087582,,Drawing no: 60,original filename: 60.tif,original filename: 60.jpg,,reformatted digital,drawings,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm003279,still image,Valencia (Spain : Region),http://id.loc.gov/authorities/names/n82020875,Children's Drawings of the Spanish Civil War,http://www.columbia.edu/cgi-bin/cul/resolve?clio4278351 ,eng,War in art,lcsh,http://id.loc.gov/authorities/subjects/sh85145181,Children's drawings,lcsh,http://id.loc.gov/authorities/subjects/sh88005179,"Spain--History--Civil War, 1936-1939",lcsh,http://id.loc.gov/authorities/subjects/sh85126106,Drawing Of Air Combat,,,,,childrensdrawings_bxo,
Spanish Children's Drawings of the Civil War Collection,"Perdiguero, Juan",personal,art,marcrelator,http://id.loc.gov/vocabulary/relators/art,,,1938-01-14,,,"January 14, 1938","Dated January 14, 1938. Colony: Bellús",Age 11.,0,1,,omeka_8146,spa,iso639-2,http://id.loc.gov/vocabulary/iso639-2/spa,https://exhibitions.cul.columbia.edu/exhibits/show/children/spain/valencia/valencia_3,NNC-A,marcorg,http://id.loc.gov/authorities/names/n80087582,,Drawing no: 60,original filename: 60.tif,original filename: 60.jpg,,reformatted digital,drawings,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm003279,still image,Valencia (Spain : Region),http://id.loc.gov/authorities/names/n82020875,Children's Drawings of the Spanish Civil War,http://www.columbia.edu/cgi-bin/cul/resolve?clio4278351 ,eng,War in art,lcsh,http://id.loc.gov/authorities/subjects/sh85145181,Children's drawings,lcsh,http://id.loc.gov/authorities/subjects/sh88005179,"Spain--History--Civil War, 1936-1939",lcsh,http://id.loc.gov/authorities/subjects/sh85126106,Drawing Of Air Combat,,,,,childrensdrawings_bxo_000,
Spanish Children's Drawings of the Civil War Collection,"Duna, Pilar",personal,art,marcrelator,http://id.loc.gov/vocabulary/relators/art,,,1936,1939,inferred,between 1936 and 1939,"Colony: Bayonne, France. ""De Zaragoza pero la guerra me hapillado en Zarvuz""",Age 14. Origin: Zaragoza.,0,1,,omeka_8208,spa,iso639-2,http://id.loc.gov/vocabulary/iso639-2/spa,,NNC-A,marcorg,http://id.loc.gov/authorities/names/n80087582,Date range based on the dates of the Spanish Civil War.,Drawing no: 122,original filename: 122.tif,original filename: 122.jpg,,reformatted digital,drawings,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm003279,still image,Bayonne (France),http://id.loc.gov/authorities/names/n81072078,Children's Drawings of the Spanish Civil War,http://www.columbia.edu/cgi-bin/cul/resolve?clio4278351 ,eng,War in art,lcsh,http://id.loc.gov/authorities/subjects/sh85145181,Children's drawings,lcsh,http://id.loc.gov/authorities/subjects/sh88005179,"Spain--History--Civil War, 1936-1939",lcsh,http://id.loc.gov/authorities/subjects/sh85126106,"This Drawing Is Of A Day When I Went To The Breadline, And Since There Were Many People I Began To Skip Rope With My Friends.",translated,,Este Dibujo Lo He Presenciado Yo Un Dia Que Fui A La Cola De Los Comestibles Y Como Habia Much Gente Me Puse A Saltar A La Comba Con Mis Amigos.  ,,childrensdrawings_byz,
Spanish Children's Drawings of the Civil War Collection,"Duna, Pilar",personal,art,marcrelator,http://id.loc.gov/vocabulary/relators/art,,,1936,1939,inferred,between 1936 and 1939,"Colony: Bayonne, France. ""De Zaragoza pero la guerra me hapillado en Zarvuz""",Age 14. Origin: Zaragoza.,0,1,,omeka_8208,spa,iso639-2,http://id.loc.gov/vocabulary/iso639-2/spa,https://exhibitions.cul.columbia.edu/exhibits/show/children/france/pyrenees_atlantiques,NNC-A,marcorg,http://id.loc.gov/authorities/names/n80087582,Date range based on the dates of the Spanish Civil War.,Drawing no: 122,original filename: 122.tif,original filename: 122.jpg,,reformatted digital,drawings,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm003279,still image,Bayonne (France),http://id.loc.gov/authorities/names/n81072078,Children's Drawings of the Spanish Civil War,http://www.columbia.edu/cgi-bin/cul/resolve?clio4278351 ,eng,War in art,lcsh,http://id.loc.gov/authorities/subjects/sh85145181,Children's drawings,lcsh,http://id.loc.gov/authorities/subjects/sh88005179,"Spain--History--Civil War, 1936-1939",lcsh,http://id.loc.gov/authorities/subjects/sh85126106,"This Drawing Is Of A Day When I Went To The Breadline, And Since There Were Many People I Began To Skip Rope With My Friends.",translated,,Este Dibujo Lo He Presenciado Yo Un Dia Que Fui A La Cola De Los Comestibles Y Como Habia Much Gente Me Puse A Saltar A La Comba Con Mis Amigos.  ,,childrensdrawings_byz_000,
Spanish Children's Drawings of the Civil War Collection,"Buaños, Josefa",personal,art,marcrelator,http://id.loc.gov/vocabulary/relators/art,,,1936,1939,inferred,between 1936 and 1939,Colony: Masarrochos,Age 8.,0,1,,omeka_8122,spa,iso639-2,http://id.loc.gov/vocabulary/iso639-2/spa,,NNC-A,marcorg,http://id.loc.gov/authorities/names/n80087582,Date range based on the dates of the Spanish Civil War.,Drawing no: 36,original filename: 36.tif,original filename: 36.jpg,,reformatted digital,drawings,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm003279,still image,Valencia (Spain : Region),http://id.loc.gov/authorities/names/n82020875,Children's Drawings of the Spanish Civil War,http://www.columbia.edu/cgi-bin/cul/resolve?clio4278351 ,eng,War in art,lcsh,http://id.loc.gov/authorities/subjects/sh85145181,Children's drawings,lcsh,http://id.loc.gov/authorities/subjects/sh88005179,"Spain--History--Civil War, 1936-1939",lcsh,http://id.loc.gov/authorities/subjects/sh85126106,Seeking Shelter In The Trees,translated,,Refugiados En Los Árboles  ,,childrensdrawings_cap,
Spanish Children's Drawings of the Civil War Collection,"Buaños, Josefa",personal,art,marcrelator,http://id.loc.gov/vocabulary/relators/art,,,1936,1939,inferred,between 1936 and 1939,Colony: Masarrochos,Age 8.,0,1,,omeka_8122,spa,iso639-2,http://id.loc.gov/vocabulary/iso639-2/spa,https://exhibitions.cul.columbia.edu/exhibits/show/children/spain/valencia/valencia_1,NNC-A,marcorg,http://id.loc.gov/authorities/names/n80087582,Date range based on the dates of the Spanish Civil War.,Drawing no: 36,original filename: 36.tif,original filename: 36.jpg,,reformatted digital,drawings,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm003279,still image,Valencia (Spain : Region),http://id.loc.gov/authorities/names/n82020875,Children's Drawings of the Spanish Civil War,http://www.columbia.edu/cgi-bin/cul/resolve?clio4278351 ,eng,War in art,lcsh,http://id.loc.gov/authorities/subjects/sh85145181,Children's drawings,lcsh,http://id.loc.gov/authorities/subjects/sh88005179,"Spain--History--Civil War, 1936-1939",lcsh,http://id.loc.gov/authorities/subjects/sh85126106,Seeking Shelter In The Trees,translated,,Refugiados En Los Árboles  ,,childrensdrawings_cap_000,
Spanish Children's Drawings of the Civil War Collection,"Diaz Luna, Manolo",personal,art,marcrelator,http://id.loc.gov/vocabulary/relators/art,,,1936,1939,inferred,between 1936 and 1939,,Age 12.,0,1,,omeka_8101,spa,iso639-2,http://id.loc.gov/vocabulary/iso639-2/spa,,NNC-A,marcorg,http://id.loc.gov/authorities/names/n80087582,Date range based on the dates of the Spanish Civil War.,Drawing no: 15,original filename: 15.tif,original filename: 15.jpg,,reformatted digital,drawings,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm003279,still image,,,Children's Drawings of the Spanish Civil War,http://www.columbia.edu/cgi-bin/cul/resolve?clio4278351 ,eng,War in art,lcsh,http://id.loc.gov/authorities/subjects/sh85145181,Children's drawings,lcsh,http://id.loc.gov/authorities/subjects/sh88005179,"Spain--History--Civil War, 1936-1939",lcsh,http://id.loc.gov/authorities/subjects/sh85126106,Fleeing From Death,translated,,Huyendo De La Muerte  ,,childrensdrawings_cfa,
Spanish Children's Drawings of the Civil War Collection,"Diaz Luna, Manolo",personal,art,marcrelator,http://id.loc.gov/vocabulary/relators/art,,,1936,1939,inferred,between 1936 and 1939,,Age 12.,0,1,,omeka_8101,spa,iso639-2,http://id.loc.gov/vocabulary/iso639-2/spa,https://exhibitions.cul.columbia.edu/exhibits/show/children/country_unknown,NNC-A,marcorg,http://id.loc.gov/authorities/names/n80087582,Date range based on the dates of the Spanish Civil War.,Drawing no: 15,original filename: 15.tif,original filename: 15.jpg,,reformatted digital,drawings,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm003279,still image,,,Children's Drawings of the Spanish Civil War,http://www.columbia.edu/cgi-bin/cul/resolve?clio4278351 ,eng,War in art,lcsh,http://id.loc.gov/authorities/subjects/sh85145181,Children's drawings,lcsh,http://id.loc.gov/authorities/subjects/sh88005179,"Spain--History--Civil War, 1936-1939",lcsh,http://id.loc.gov/authorities/subjects/sh85126106,Fleeing From Death,translated,,Huyendo De La Muerte  ,,childrensdrawings_cfa_000,
Spanish Children's Drawings of the Civil War Collection,"Cabezón Camarero, Domiciana",personal,art,marcrelator,http://id.loc.gov/vocabulary/relators/art,,,1936,1939,inferred,between 1936 and 1939,"Colony: Centro Español, Cerbère, France",Age 12.,0,1,,omeka_8178,spa,iso639-2,http://id.loc.gov/vocabulary/iso639-2/spa,,NNC-A,marcorg,http://id.loc.gov/authorities/names/n80087582,Date range based on the dates of the Spanish Civil War.,Drawing no: 92,original filename: 92.tif,original filename: 92.jpg,original filename: 92v.jpg,reformatted digital,drawings,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm003279,still image,Cerbère (France),http://id.loc.gov/authorities/names/n96051285,Children's Drawings of the Spanish Civil War,http://www.columbia.edu/cgi-bin/cul/resolve?clio4278351 ,eng,War in art,lcsh,http://id.loc.gov/authorities/subjects/sh85145181,Children's drawings,lcsh,http://id.loc.gov/authorities/subjects/sh88005179,"Spain--History--Civil War, 1936-1939",lcsh,http://id.loc.gov/authorities/subjects/sh85126106,This Drawing Is A House Next To The School And There Are Also Some Girls Skipping Rope.,translated,,Este Dibujo Es Una Casa Que Ta Alao De La Escuela Y Tambien Hay Unas Niñas Jugando A Cuerda.  ,,childrensdrawings_cgn,
