relatedItem_collection,name_primary,name_primary_type,name_primaryRelator,name_primaryRelator_authority,name_primaryRelator_authority_identifier,name_primary_authority,name_primary_authority_identifier,keyDate_start,keyDate_end,dateQualifier,dateCreated,abstract,item - featured,item - public,identifier_clio,identifier_omeka,language,location_url_ObjectInContext,physicalLocation,note,note_filename 1,note_filename 2,digitalOrigin,form,form_originalFormat,place,relatedItem_Project,languageOfCataloging,subject_topic 1,subject_topic 2,subject_topic 3,title
Spanish children's drawings of the Civil War collection,"Ezquerro, Juan",,,,,,,1936 1939,,inferred,between 1936 and 1939,"Age 14
|On the facades:  CINE ECHEGARAY (movie house) and CNT/AIT de Ontemiente|Colony: Residencia Infantil #1, Onteniente, Spain",0,1,Drawing no: 144,8229,,https://exhibitions.cul.columbia.edu/exhibits/show/children/name/e_g/ezquerro,"Avery Architectural & Fine Arts Library, Columbia University",original filename: 144.tif,http://ldpd.cul.columbia.edu/spanchldrndrwings/144.jpg,,,drawings,Still Image,,Children's Drawings of the Spanish Civil War,eng,War in art,Children's drawings--Spain,"Spain--History--Civil War, 1936-1939--Pictorial works",Movie theaters and shops in the town|Cines y puestos en el pueblo  
Spanish children's drawings of the Civil War collection,"Tejedor Humero, Rafael",,,,,,,1936 1939,,inferred,between 1936 and 1939,"Age 12
|On facade all appropriate signs: 3 door signs (Salida, General, Preferencia);  a sign posting rates;  the marquee (""Hoy, El Negro que teníael alma blanca""); and box office.  Taquilla (ticket office).  On balloon: Chicos no correr (children don't run).  On vehicles, the sounds of each.  Bicycle: RRIRRI;  truck: PABU;  tramway: TINTIN.|Colony: Residencia Infantil #20, Tangel, Spain",0,1,Drawing no: 142,8228,,https://exhibitions.cul.columbia.edu/exhibits/show/children/spain/alicante,"Avery Architectural & Fine Arts Library, Columbia University",original filename: 142.tif,http://ldpd.cul.columbia.edu/spanchldrndrwings/142.jpg,,,drawings,Still Image,,Children's Drawings of the Spanish Civil War,eng,War in art,Children's drawings--Spain,"Spain--History--Civil War, 1936-1939--Pictorial works",Ventas Cinema|Cine Ventas  
Spanish children's drawings of the Civil War collection,"Redondo Sans, Carlos",,,,,,,1936 1939,,inferred,between 1936 and 1939,"Age 13
|Colony:  Colonia Escolar Colectiva, Burriana, Spain",0,1,Drawing no: 141,8227,,https://exhibitions.cul.columbia.edu/exhibits/show/children/spain/castellon,"Avery Architectural & Fine Arts Library, Columbia University",original filename: 141.tif,http://ldpd.cul.columbia.edu/spanchldrndrwings/141.jpg,,,drawings,Still Image,,Children's Drawings of the Spanish Civil War,eng,War in art,Children's drawings--Spain,"Spain--History--Civil War, 1936-1939--Pictorial works",Depicts orange house with red roof
Spanish children's drawings of the Civil War collection,"Huertas, Carmen",,,,,,,1937-11,,,"November, 1937","Age 9
|Barraca is the name for Valencian peasant homes.|Dated Noviembre 1937. |Colony: Alcira|Origin: Chamartín de la Rosa",0,1,Drawing no: 140,8226,,https://exhibitions.cul.columbia.edu/exhibits/show/children/collection,"Avery Architectural & Fine Arts Library, Columbia University",original filename: 140.tif,http://ldpd.cul.columbia.edu/spanchldrndrwings/140.jpg,,,drawings,Still Image,,Children's Drawings of the Spanish Civil War,eng,War in art,Children's drawings--Spain,"Spain--History--Civil War, 1936-1939--Pictorial works",Would that I could live peacefully in this barraca.|Quiera vivir en esta barraca tranquila.  
Spanish children's drawings of the Civil War collection,"Lloveras Trebol, Anita",,,,,,,1936 1939,,inferred,between 1936 and 1939,"Age 11
|Colony: Centro Español, Cerbère, France|Origin: Port-Bou",0,1,Drawing no: 139,8225,,https://exhibitions.cul.columbia.edu/exhibits/show/children/name/h_n/lloveras_trebol,"Avery Architectural & Fine Arts Library, Columbia University",original filename: 139.tif,http://ldpd.cul.columbia.edu/spanchldrndrwings/139.jpg,,,drawings,Still Image,,Children's Drawings of the Spanish Civil War,eng,War in art,Children's drawings--Spain,"Spain--History--Civil War, 1936-1939--Pictorial works","This drawing shows two friends and me playing in front of my house on Thursday, because we don't have school in Port-Bou.|Este dibujo representa dos amigos y yo que jugamos delante de mi casa el jueves, porque no tenemos escuela en Port-Bou.  "
Spanish children's drawings of the Civil War collection,"Lloveras Trebol, Anita",,,,,,,1936 1939,,inferred,between 1936 and 1939,"Age 11

|Colony: Centro Español, Cerbère, France|Origin: Port-Bou",0,1,Drawing no: 138,8224,,https://exhibitions.cul.columbia.edu/exhibits/show/children/name/h_n/lloveras_trebol,"Avery Architectural & Fine Arts Library, Columbia University",original filename: 138.tif,http://ldpd.cul.columbia.edu/spanchldrndrwings/138.jpg,,,drawings,Still Image,Origin: Port-Bou,Children's Drawings of the Spanish Civil War,eng,War in art,Children's drawings--Spain,"Spain--History--Civil War, 1936-1939--Pictorial works",This drawing shows the Port-Bou station from which the people left on the day of the evacuation.|Ese dibujo representa la estación de Port-Bou que la gente marchan el día de la evacuación 
Spanish children's drawings of the Civil War collection,"Planas, Jorge",,,,,,,1936 1939,,inferred,between 1936 and 1939,"Age 10|Colony: Centro Español, Cerbère, France",0,1,Drawing no: 137,8223,,https://exhibitions.cul.columbia.edu/exhibits/show/children/name/p_r/planas,"Avery Architectural & Fine Arts Library, Columbia University",original filename: 137.tif,http://ldpd.cul.columbia.edu/spanchldrndrwings/137.jpg,,,drawings,Still Image,,Children's Drawings of the Spanish Civil War,eng,War in art,Children's drawings--Spain,"Spain--History--Civil War, 1936-1939--Pictorial works",French Customhouse|La 'Duanilla' Francesca  
Spanish children's drawings of the Civil War collection,"Moreno, Manolita",,,,,,,1936 1939,,inferred,between 1936 and 1939,"Age 13|Colony: Bayonne, France|Origin: San Sebastian",0,1,Drawing no: 136,8222,,https://exhibitions.cul.columbia.edu/exhibits/show/children/name/h_n/moreno,"Avery Architectural & Fine Arts Library, Columbia University",original filename: 136.tif,http://ldpd.cul.columbia.edu/spanchldrndrwings/136.jpg,,,drawings,Still Image,,Children's Drawings of the Spanish Civil War,eng,War in art,Children's drawings--Spain,"Spain--History--Civil War, 1936-1939--Pictorial works","I have drawn a school and two children going to school, a girl and a boy;  the girl is jumping and the boy is carrying his schoolbag.|Yo he dibujado una escuela y dos niños que vienen a la escuela;  es una niña y un niño, la niña saltando y un niño con su cartera.  "
Spanish children's drawings of the Civil War collection,"Vergara, Teresa",,,,,,,1936 1939,,inferred,between 1936 and 1939,"Colony: Colonia Escolar #1, Torrente|Stamp: Ministerio de Instrucción Pública.",0,1,Drawing no: 135,8221,,https://exhibitions.cul.columbia.edu/exhibits/show/children/name/s_v/vergara,"Avery Architectural & Fine Arts Library, Columbia University",original filename: 135.tif,http://ldpd.cul.columbia.edu/spanchldrndrwings/135.jpg,,,drawings,Still Image,,Children's Drawings of the Spanish Civil War,eng,War in art,Children's drawings--Spain,"Spain--History--Civil War, 1936-1939--Pictorial works",Table with flowers. 
Spanish children's drawings of the Civil War collection,"Bravo, Maximo",,,,,,,1936 1939,,inferred,between 1936 and 1939,Age 12,0,1,Drawing no: 134,8220,,https://exhibitions.cul.columbia.edu/exhibits/show/children/name/a_b/bravo,"Avery Architectural & Fine Arts Library, Columbia University",original filename: 134.tif,http://ldpd.cul.columbia.edu/spanchldrndrwings/134.jpg,,,drawings,Still Image,,Children's Drawings of the Spanish Civil War,eng,War in art,Children's drawings--Spain,"Spain--History--Civil War, 1936-1939--Pictorial works",Bringing the bread|La traida del pan 
Spanish children's drawings of the Civil War collection,"Vinals Llorella, Carmen",,,,,,,1936 1939,,inferred,between 1936 and 1939,"Age 12
|Colony:  Centro Español, Cerbère, France",0,1,Drawing no: 133,8219,,https://exhibitions.cul.columbia.edu/exhibits/show/children/name/s_v/vinals,"Avery Architectural & Fine Arts Library, Columbia University",original filename: 133.tif,http://ldpd.cul.columbia.edu/spanchldrndrwings/133.jpg,,,drawings,Still Image,,Children's Drawings of the Spanish Civil War,eng,War in art,Children's drawings--Spain,"Spain--History--Civil War, 1936-1939--Pictorial works","This drawing shows the country-yard of the school where there is a boy and five girls;  the girls are turning the rope for a smaller girl so she can learn to jump.|Este dibujo representa el patio de la escuela done hay un niño y cinco niñas, las niñas estan [haciendo] cuerda a una niña más pequeña que ellas para que aprendan a saltar.  "
Spanish children's drawings of the Civil War collection,"Subirana, Poladi",,,,,,,1936 1939,,inferred,between 1936 and 1939,"Age 8
|Colony: Centro Español, Cerbère, France",0,1,Drawing no: 132,8218,,https://exhibitions.cul.columbia.edu/exhibits/show/children/name/s_v/subirana,"Avery Architectural & Fine Arts Library, Columbia University",original filename: 132.tif,http://ldpd.cul.columbia.edu/spanchldrndrwings/132.jpg,,,drawings,Still Image,,Children's Drawings of the Spanish Civil War,eng,War in art,Children's drawings--Spain,"Spain--History--Civil War, 1936-1939--Pictorial works","On station wall it says ""Culera.""  Depicts a train ready to depart and people running with their suitcases because they see airplanes coming"
Spanish children's drawings of the Civil War collection,"Plaza, Jose",,,,,,,1936 1939,,inferred,between 1936 and 1939,"Age 13
|Colony: Centro Español, Cerbère, France",0,1,Drawing no: 131,8217,,https://exhibitions.cul.columbia.edu/exhibits/show/children/name/p_r/plaza,"Avery Architectural & Fine Arts Library, Columbia University",original filename: 131.tif,http://ldpd.cul.columbia.edu/spanchldrndrwings/131.jpg,,,drawings,Still Image,,Children's Drawings of the Spanish Civil War,eng,War in art,Children's drawings--Spain,"Spain--History--Civil War, 1936-1939--Pictorial works",This drawing shows 3 children skipping rope.|Este dibujo representa a 3 niños jugando a cuerda.  
Spanish children's drawings of the Civil War collection,"Martinez, Luis",,,,,,,1936 1939,,inferred,between 1936 and 1939,"Age 12
|Colony: Residencia Infantil de El Alba, Onteniente, Spain|Stamp: Residencias infantiles - Onteniente.  Colonia de EL ALBA.",0,1,Drawing no: 130,8216,,https://exhibitions.cul.columbia.edu/exhibits/show/children/name/h_n/martinez,"Avery Architectural & Fine Arts Library, Columbia University",original filename: 130.tif,http://ldpd.cul.columbia.edu/spanchldrndrwings/130.jpg,,,drawings,Still Image,,Children's Drawings of the Spanish Civil War,eng,War in art,Children's drawings--Spain,"Spain--History--Civil War, 1936-1939--Pictorial works",Children skipping rope and playing soccer in front of a row of colorful houses.  
Spanish children's drawings of the Civil War collection,"Collados García, Mauricio",,,,,,,1936 1939,,inferred,between 1936 and 1939,"Age 11
|Colony: Centro Español, Cerbère, France ",0,1,Drawing no: 129,8215,,https://exhibitions.cul.columbia.edu/exhibits/show/children/france/pyrenees-orientales/cerbere1,"Avery Architectural & Fine Arts Library, Columbia University",original filename: 129.tif,http://ldpd.cul.columbia.edu/spanchldrndrwings/129.jpg,,,drawings,Still Image,,Children's Drawings of the Spanish Civil War,eng,War in art,Children's drawings--Spain,"Spain--History--Civil War, 1936-1939--Pictorial works",This drawing shows my father and my mother and my brothers and I when we go through the tunnel to Cerbère.|Este dibujo representa mi papa y mi mama y mis hermanos y yo cuando pasamos el tunel para ir a Cerbère 
Spanish children's drawings of the Civil War collection,"Serre Buxeda, Paquita",,,,,,,1936 1939,,inferred,between 1936 and 1939,"Age 9
|Colony: Centro Español, Cerbère, France ",0,1,Drawing no: 128,8214,,https://exhibitions.cul.columbia.edu/exhibits/show/children/name/s_v/serre,"Avery Architectural & Fine Arts Library, Columbia University",original filename: 128.tif,http://ldpd.cul.columbia.edu/spanchldrndrwings/128.jpg,,,drawings,Still Image,,Children's Drawings of the Spanish Civil War,eng,War in art,Children's drawings--Spain,"Spain--History--Civil War, 1936-1939--Pictorial works","This drawing shows my friend and I going to school, and another girl jumping rope because she doesn't want to go to school.|Este dibujo representa yo y mi amiga que vamos ha colejio y otra amiga mia esta saltando a la cuerda porque no quiere ir al colegio.  "
Spanish children's drawings of the Civil War collection,"Serre Buxeda, Paquita",,,,,,,1936 1939,,inferred,between 1936 and 1939,"Age 9
|Colony: Centro Español, Cerbère, France",0,1,Drawing no: 127,8213,,https://exhibitions.cul.columbia.edu/exhibits/show/children/name/s_v/serre,"Avery Architectural & Fine Arts Library, Columbia University",original filename: 127.tif,http://ldpd.cul.columbia.edu/spanchldrndrwings/127.jpg,,,drawings,Still Image,,Children's Drawings of the Spanish Civil War,eng,War in art,Children's drawings--Spain,"Spain--History--Civil War, 1936-1939--Pictorial works",This drawing shows my mother and I going shopping and another woman hanging out the wash and some other friends of mine skipping rope.|Este dibujo representa mi mama y yo que vamos a comprar y otra señora es estendiendo la ropa y otras amigas mias juegan a la cuerda.  
Spanish children's drawings of the Civil War collection,"Serre Buxeda, Paquita ",,,,,,,1936 1939,,inferred,between 1936 and 1939,"Age 9
|Colony: Centro Español, Cerbère, France",0,1,Drawing no: 126,8212,,https://exhibitions.cul.columbia.edu/exhibits/show/children/name/s_v/serre,"Avery Architectural & Fine Arts Library, Columbia University",original filename: 126.tif,http://ldpd.cul.columbia.edu/spanchldrndrwings/126.jpg,,,drawings,Still Image,,Children's Drawings of the Spanish Civil War,eng,War in art,Children's drawings--Spain,"Spain--History--Civil War, 1936-1939--Pictorial works",This drawing shows all the people already arrived in Cerbère.|Este dibujo representa contoda la gente ya an arribado en Serbére.  
Spanish children's drawings of the Civil War collection,"Torroella, Filomena",,,,,,,1936 1939,,inferred,between 1936 and 1939,"Age 14
|Colony: Centro Español, Cerbère, France",0,1,Drawing no: 125,8211,,https://exhibitions.cul.columbia.edu/exhibits/show/children/name/s_v/torroella,"Avery Architectural & Fine Arts Library, Columbia University",original filename: 125.tif,http://ldpd.cul.columbia.edu/spanchldrndrwings/125.jpg,,,drawings,Still Image,,Children's Drawings of the Spanish Civil War,eng,War in art,Children's drawings--Spain,"Spain--History--Civil War, 1936-1939--Pictorial works",This drawing shows the evacuation of Port-Bou because of the bombardment.|Este dibujo representa la evacuación de Port-Bou por causa de los bombardeos. 
Spanish children's drawings of the Civil War collection,"Torroella, Filomena",,,,,,,1936 1939,,inferred,between 1936 and 1939,"Age 14
|Colony: Centro Español, Cerbère, France|On the café there is a Republican and a Catalan flag",0,1,Drawing no: 124,8210,,https://exhibitions.cul.columbia.edu/exhibits/show/children/collection,"Avery Architectural & Fine Arts Library, Columbia University",original filename: 124.tif,http://ldpd.cul.columbia.edu/spanchldrndrwings/124.jpg,,,drawings,Still Image,,Children's Drawings of the Spanish Civil War,eng,War in art,Children's drawings--Spain,"Spain--History--Civil War, 1936-1939--Pictorial works",This drawing shows a cafe with several tables to have refreshments.|Este dibujo representa un café y hay bastantes mesas para ir a tomar algun refresco.  
Spanish children's drawings of the Civil War collection,"Torroella, Filomena",,,,,,,1936 1939,,inferred,between 1936 and 1939,"Age 14
|Colony: Centro Español, Cerbère, France|On the house ""Cooperativa""",0,1,Drawing no: 123,8209,,https://exhibitions.cul.columbia.edu/exhibits/show/children/name/s_v/torroella,"Avery Architectural & Fine Arts Library, Columbia University",original filename: 123.tif,http://ldpd.cul.columbia.edu/spanchldrndrwings/123.jpg,,,drawings,Still Image,,Children's Drawings of the Spanish Civil War,eng,War in art,Children's drawings--Spain,"Spain--History--Civil War, 1936-1939--Pictorial works",Some girls from the school skipping rope and a boy playing marbles.|Unas niñas del colegio jugando a cuerda y un niño jugando a bolas.  
Spanish children's drawings of the Civil War collection,"Duna, Pilar",,,,,,,1936 1939,,inferred,between 1936 and 1939,"Age 14
|Origin: Zaragoza|Colony: Bayonne, France|""De Zaragoza pero la guerra me hapillado en Zarvuz""",0,1,Drawing no: 122,8208,,https://exhibitions.cul.columbia.edu/exhibits/show/children/espanol/inicio,"Avery Architectural & Fine Arts Library, Columbia University",original filename: 122.tif,http://ldpd.cul.columbia.edu/spanchldrndrwings/122.jpg,,,drawings,Still Image,Origin: Zaragoza,Children's Drawings of the Spanish Civil War,eng,War in art,Children's drawings--Spain,"Spain--History--Civil War, 1936-1939--Pictorial works","This drawing is of a day when I went to the breadline, and since there were many people I began to skip rope with my friends.|Este dibujo lo he presenciado yo un dia que fui a la cola de los comestibles y como habia much gente me puse a saltar a la comba con mis amigos.  "
Spanish children's drawings of the Civil War collection,"Gomez, Isidoro",,,,,,,1936 1939,,inferred,between 1936 and 1939,Age 12,0,1,Drawing no: 121,8207,,https://exhibitions.cul.columbia.edu/exhibits/show/children/country_unknown,"Avery Architectural & Fine Arts Library, Columbia University",original filename: 121.tif,http://ldpd.cul.columbia.edu/spanchldrndrwings/121.jpg,,,drawings,Still Image,,Children's Drawings of the Spanish Civil War,eng,War in art,Children's drawings--Spain,"Spain--History--Civil War, 1936-1939--Pictorial works",My home town!|¡¡Mi pueblo!!  
Spanish children's drawings of the Civil War collection,"Gomez, Isidoro",,,,,,,1936 1939,,inferred,between 1936 and 1939,Age 12,0,1,Drawing no: 120,8206,,https://exhibitions.cul.columbia.edu/exhibits/show/children/country_unknown,"Avery Architectural & Fine Arts Library, Columbia University",original filename: 120.tif,http://ldpd.cul.columbia.edu/spanchldrndrwings/120.jpg,,,drawings,Still Image,,Children's Drawings of the Spanish Civil War,eng,War in art,Children's drawings--Spain,"Spain--History--Civil War, 1936-1939--Pictorial works",Patrolling the mountains|Guardia en el sierra  
Spanish children's drawings of the Civil War collection,"Gómez, Luis",,,,,,,1936 1939,,inferred,between 1936 and 1939,"Age 12
|Colony: Colonia Regimen Familiar, Alboraya, Spain",0,1,Drawing no: 119,8205,,https://exhibitions.cul.columbia.edu/exhibits/show/children/name/e_g/gomez_luis,"Avery Architectural & Fine Arts Library, Columbia University",original filename: 119.tif,http://ldpd.cul.columbia.edu/spanchldrndrwings/119.jpg,,,drawings,Still Image,,Children's Drawings of the Spanish Civil War,eng,War in art,Children's drawings--Spain,"Spain--History--Civil War, 1936-1939--Pictorial works","Air battle, tank and cannon on land"
Spanish children's drawings of the Civil War collection,"Amaoro, Francisco",,,,,,,1936 1939,,inferred,between 1936 and 1939,Age 12,0,1,Drawing no: 118,8204,,https://exhibitions.cul.columbia.edu/exhibits/show/children/name/a_b/amaoro,"Avery Architectural & Fine Arts Library, Columbia University",original filename: 118.tif,http://ldpd.cul.columbia.edu/spanchldrndrwings/118.jpg,,,drawings,Still Image,,Children's Drawings of the Spanish Civil War,eng,War in art,Children's drawings--Spain,"Spain--History--Civil War, 1936-1939--Pictorial works",Bombardments|Bambroleos  
Spanish children's drawings of the Civil War collection,"Trimiño, Julia",,,,,,,1936 1939,,inferred,between 1936 and 1939,"Colony:  Colonia Escolar #1, Torrente|Stamp: Ministerio de Instrucción Pública.",0,1,Drawing no: 117,8203,,https://exhibitions.cul.columbia.edu/exhibits/show/children/name/s_v/trimino,"Avery Architectural & Fine Arts Library, Columbia University",original filename: 117.tif,http://ldpd.cul.columbia.edu/spanchldrndrwings/117.jpg,,,drawings,Still Image,,Children's Drawings of the Spanish Civil War,eng,War in art,Children's drawings--Spain,"Spain--History--Civil War, 1936-1939--Pictorial works",Boy and girl playing outside a country house with a plane overhead
Spanish children's drawings of the Civil War collection,"Sierra Torres, Rosita",,,,,,,1938-01,,,"January, 1938","Age 12
|Colony: Colonia Escolar de Benimamet, Valencia|Dated January 1938.  |Stamp:  Colonia Escolar de Benimamet, Benimamet, Spain",0,1,Drawing no: 116,8202,,https://exhibitions.cul.columbia.edu/exhibits/show/children/name/s_v/sierra,"Avery Architectural & Fine Arts Library, Columbia University",original filename: 116.tif,http://ldpd.cul.columbia.edu/spanchldrndrwings/116.jpg,,,drawings,Still Image,,Children's Drawings of the Spanish Civil War,eng,War in art,Children's drawings--Spain,"Spain--History--Civil War, 1936-1939--Pictorial works",Drawing of a cannon
Spanish children's drawings of the Civil War collection,"Lombán Alamo, Manuel",,,,,,,1936 1939,,inferred,between 1936 and 1939,"Age 13
|Colony: Residencia Infantil #3, Villajoyosa, Spain",0,1,Drawing no: 115,8201,,https://exhibitions.cul.columbia.edu/exhibits/show/children/spain/alicante,"Avery Architectural & Fine Arts Library, Columbia University",original filename: 115.tif,http://ldpd.cul.columbia.edu/spanchldrndrwings/115.jpg,,,drawings,Still Image,,Children's Drawings of the Spanish Civil War,eng,War in art,Children's drawings--Spain,"Spain--History--Civil War, 1936-1939--Pictorial works",Evacuation Scene|Escena de Evacuación 
