_identifiers-1,_digital_object_type.string_key,_parent_digital_objects-1.identifier,_project.string_key,collection-1:collection_term.value,collection-1:collection_term.uri,name-1:name_term.value,name-1:name_term.name_type,name-1:name_role-1:name_role_term.value,name-1:name_role-1:name_role_term.authority,name-1:name_role-1:name_role_term.uri,name-1:name_term.authority,name-1:name_term.uri,date_created-1:date_created_start_value,date_created-1:date_created_end_value,date_created-1:date_created_type,date_created_textual-1:date_created_textual_value,abstract-1:abstract_value,note-1:note_value,note-1:note_type,clio_identifier-1:clio_identifier_value,omeka_identifier-1:omeka_identifier_value,language-1:language_term.value,language-1:language_term.authority,language-1:language_term.uri,object_in_context_url-1:object_in_context_url_value,location-1:location_term.code,location-1:location_term.value,location-1:location_term.authority,location-1:location_term.uri,note-2:note_value,note-2:note_type,note-3:note_value,note-3:note_type,note-4:note_value,note-4:note_type,digital_origin-1:digital_origin_value,form-1:form_term.value,form-1:form_term.authority,form-1:form_term.uri,genre-1:genre_term.value,genre-1:genre_term.authority,genre-1:genre_term.uri,note-5:note_value,note-5:note_type,place_of_origin-1:place_of_origin_value,place_authority_identifier,relatedItem_Project,projectURL,language_of_cataloging-1:language_of_cataloging_term.value,language_of_cataloging-1:language_of_cataloging_term.authority,language_of_cataloging-1:language_of_cataloging_term.uri,subject_topic-1:subject_topic_term.value,subject_topic-1:subject_topic_term.authority,subject_topic-1:subject_topic_term.uri,subject_topic-2:subject_topic_term.value,subject_topic-2:subject_topic_term.authority,subject_topic-2:subject_topic_term.uri,title-1:title_sort_portion,title_type,title-1:title_non_sort_portion,title-2:title_sort_portion,title-2:title_non_sort_portion
childrensdrawings_bqt,item,,childrens_drawings,Spanish children's drawings of the Civil War collection,http://id.library.columbia.edu/term/4d5ae952-974e-43db-8f24-c1175ca03620,"Vergara Garcia, Luis",personal,Artist,marcrelator,http://id.loc.gov/vocabulary/relators/art,,,1936,1939,inferred,between 1936 and 1939,"Drawing no: 147. Child's Age: 11. On facades: ""farmacia,"" ""hueveria,"" ""taberna,"" ""vinos,"" ""pescados"". (A commercial street:  Pharmacy, Egg Store, Tavern, Wines, Fish.)  Stamp: Ministerio de Instrucción Pública. Colony: Colonia Escolar #1, Torrente.",Date range based on the dates of the Spanish Civil War.,,,,Spanish,iso639-2,http://id.loc.gov/vocabulary/iso639-2/spa,,NNC-A,Avery Library,marcorg,http://id.loc.gov/authorities/names/n80087582,,,,,,,reformatted digital,drawings,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm003279,Children's drawings,fast,http://id.worldcat.org/fast/855745,still image,original_format,"Torrente (Valencia, Spain)",http://id.loc.gov/authorities/names/n80040690,Children's Drawings of the Spanish Civil War,http://www.columbia.edu/cgi-bin/cul/resolve?clio4278351 ,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,War in art,fast,http://id.worldcat.org/fast/1170504,Civil War (Spain : 1936-1939),fast,http://id.worldcat.org/fast/1352321,Drawing Of A Commercial Street,,,,
childrensdrawings_bqt_000,asset,childrensdrawings_bqt,childrens_drawings,,,,,,,,,,,,,,,,,,omeka_8232,,,,https://exhibitions.cul.columbia.edu/exhibits/show/children/spain/valencia/valencia_3,,,,,147.tif,filename,147.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,Drawing Of A Commercial Street,,,,
childrensdrawings_buj,item,,childrens_drawings,Spanish children's drawings of the Civil War collection,http://id.library.columbia.edu/term/4d5ae952-974e-43db-8f24-c1175ca03620,,,,,,,,1936,1939,inferred,between 1936 and 1939,"Drawing no: 39. Colony: Colonia Escolar, Estadilla, Spain",Date range based on the dates of the Spanish Civil War.,,,,Spanish,iso639-2,http://id.loc.gov/vocabulary/iso639-2/spa,,NNC-A,Avery Library,marcorg,http://id.loc.gov/authorities/names/n80087582,,,,,,,reformatted digital,drawings,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm003279,Children's drawings,fast,http://id.worldcat.org/fast/855745,still image,original_format,Estadilla (Spain),http://id.loc.gov/authorities/names/n88056913,Children's Drawings of the Spanish Civil War,http://www.columbia.edu/cgi-bin/cul/resolve?clio4278351 ,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,War in art,fast,http://id.worldcat.org/fast/1170504,Civil War (Spain : 1936-1939),fast,http://id.worldcat.org/fast/1352321,Girls With Books (or Sewing) Outdoors,,,,
childrensdrawings_buj_000,asset,childrensdrawings_buj,childrens_drawings,,,,,,,,,,,,,,,,,,omeka_8125,,,,https://exhibitions.cul.columbia.edu/exhibits/show/children/spain/huesca,,,,,39.tif,filename,39.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,Girls With Books (or Sewing) Outdoors,,,,
childrensdrawings_bxo,item,,childrens_drawings,Spanish children's drawings of the Civil War collection,http://id.library.columbia.edu/term/4d5ae952-974e-43db-8f24-c1175ca03620,"Perdiguero, Juan",personal,Artist,marcrelator,http://id.loc.gov/vocabulary/relators/art,,,1938-01-14,,,"January 14, 1938","Drawing no: 60. Child's Age: 11. Dated January 14, 1938. Colony: Bellús.",,,,,Spanish,iso639-2,http://id.loc.gov/vocabulary/iso639-2/spa,,NNC-A,Avery Library,marcorg,http://id.loc.gov/authorities/names/n80087582,,,,,,,reformatted digital,drawings,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm003279,Children's drawings,fast,http://id.worldcat.org/fast/855745,still image,original_format,Valencia (Spain : Region),http://id.loc.gov/authorities/names/n82020875,Children's Drawings of the Spanish Civil War,http://www.columbia.edu/cgi-bin/cul/resolve?clio4278351 ,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,War in art,fast,http://id.worldcat.org/fast/1170504,Civil War (Spain : 1936-1939),fast,http://id.worldcat.org/fast/1352321,Drawing Of Air Combat,,,,
childrensdrawings_bxo_000,asset,childrensdrawings_bxo,childrens_drawings,,,,,,,,,,,,,,,,,,omeka_8146,,,,https://exhibitions.cul.columbia.edu/exhibits/show/children/spain/valencia/valencia_3,,,,,60.tif,filename,60.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,Drawing Of Air Combat,,,,
childrensdrawings_byz,item,,childrens_drawings,Spanish children's drawings of the Civil War collection,http://id.library.columbia.edu/term/4d5ae952-974e-43db-8f24-c1175ca03620,"Duna, Pilar",personal,Artist,marcrelator,http://id.loc.gov/vocabulary/relators/art,,,1936,1939,inferred,between 1936 and 1939,"Drawing no: 122. Child's Age: 14. Origin: Zaragoza. Colony: Bayonne, France. ""De Zaragoza pero la guerra me hapillado en Zarvuz"".",Date range based on the dates of the Spanish Civil War.,,,,Spanish,iso639-2,http://id.loc.gov/vocabulary/iso639-2/spa,,NNC-A,Avery Library,marcorg,http://id.loc.gov/authorities/names/n80087582,,,,,,,reformatted digital,drawings,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm003279,Children's drawings,fast,http://id.worldcat.org/fast/855745,still image,original_format,Bayonne (France),http://id.loc.gov/authorities/names/n81072078,Children's Drawings of the Spanish Civil War,http://www.columbia.edu/cgi-bin/cul/resolve?clio4278351 ,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,War in art,fast,http://id.worldcat.org/fast/1170504,Civil War (Spain : 1936-1939),fast,http://id.worldcat.org/fast/1352321,"This Drawing Is Of A Day When I Went To The Breadline, And Since There Were Many People I Began To Skip Rope With My Friends.",translated,,Este Dibujo Lo He Presenciado Yo Un Dia Que Fui A La Cola De Los Comestibles Y Como Habia Much Gente Me Puse A Saltar A La Comba Con Mis Amigos.  ,
childrensdrawings_byz_000,asset,childrensdrawings_byz,childrens_drawings,,,,,,,,,,,,,,,,,,omeka_8208,,,,https://exhibitions.cul.columbia.edu/exhibits/show/children/france/pyrenees_atlantiques,,,,,122.tif,filename,122.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,"This Drawing Is Of A Day When I Went To The Breadline, And Since There Were Many People I Began To Skip Rope With My Friends.",translated,,Este Dibujo Lo He Presenciado Yo Un Dia Que Fui A La Cola De Los Comestibles Y Como Habia Much Gente Me Puse A Saltar A La Comba Con Mis Amigos.  ,
childrensdrawings_cap,item,,childrens_drawings,Spanish children's drawings of the Civil War collection,http://id.library.columbia.edu/term/4d5ae952-974e-43db-8f24-c1175ca03620,"Buaños, Josefa",personal,Artist,marcrelator,http://id.loc.gov/vocabulary/relators/art,,,1936,1939,inferred,between 1936 and 1939,Drawing no: 36. Child's Age: 8. Colony: Masarrochos.,Date range based on the dates of the Spanish Civil War.,,,,Spanish,iso639-2,http://id.loc.gov/vocabulary/iso639-2/spa,,NNC-A,Avery Library,marcorg,http://id.loc.gov/authorities/names/n80087582,,,,,,,reformatted digital,drawings,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm003279,Children's drawings,fast,http://id.worldcat.org/fast/855745,still image,original_format,Valencia (Spain : Region),http://id.loc.gov/authorities/names/n82020875,Children's Drawings of the Spanish Civil War,http://www.columbia.edu/cgi-bin/cul/resolve?clio4278351 ,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,War in art,fast,http://id.worldcat.org/fast/1170504,Civil War (Spain : 1936-1939),fast,http://id.worldcat.org/fast/1352321,Seeking Shelter In The Trees,translated,,Refugiados En Los Árboles  ,
childrensdrawings_cap_000,asset,childrensdrawings_cap,childrens_drawings,,,,,,,,,,,,,,,,,,omeka_8122,,,,https://exhibitions.cul.columbia.edu/exhibits/show/children/spain/valencia/valencia_1,,,,,36.tif,filename,36.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,Seeking Shelter In The Trees,translated,,Refugiados En Los Árboles  ,
childrensdrawings_cfa,item,,childrens_drawings,Spanish children's drawings of the Civil War collection,http://id.library.columbia.edu/term/4d5ae952-974e-43db-8f24-c1175ca03620,"Diaz Luna, Manolo",personal,Artist,marcrelator,http://id.loc.gov/vocabulary/relators/art,,,1936,1939,inferred,between 1936 and 1939,Drawing no: 15. Child's age: 12.,Date range based on the dates of the Spanish Civil War.,,,,Spanish,iso639-2,http://id.loc.gov/vocabulary/iso639-2/spa,,NNC-A,Avery Library,marcorg,http://id.loc.gov/authorities/names/n80087582,,,,,,,reformatted digital,drawings,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm003279,Children's drawings,fast,http://id.worldcat.org/fast/855745,still image,original_format,,,Children's Drawings of the Spanish Civil War,http://www.columbia.edu/cgi-bin/cul/resolve?clio4278351 ,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,War in art,fast,http://id.worldcat.org/fast/1170504,Civil War (Spain : 1936-1939),fast,http://id.worldcat.org/fast/1352321,Fleeing From Death,translated,,Huyendo De La Muerte  ,
childrensdrawings_cfa_000,asset,childrensdrawings_cfa,childrens_drawings,,,,,,,,,,,,,,,,,,omeka_8101,,,,https://exhibitions.cul.columbia.edu/exhibits/show/children/country_unknown,,,,,15.tif,filename,15.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,Fleeing From Death,translated,,Huyendo De La Muerte  ,
childrensdrawings_cgn,item,,childrens_drawings,Spanish children's drawings of the Civil War collection,http://id.library.columbia.edu/term/4d5ae952-974e-43db-8f24-c1175ca03620,"Cabezón Camarero, Domiciana",personal,Artist,marcrelator,http://id.loc.gov/vocabulary/relators/art,,,1936,1939,inferred,between 1936 and 1939,"Drawing no: 92. Child's Age: 12. Colony: Centro Español, Cerbère, France.",Date range based on the dates of the Spanish Civil War.,,,,Spanish,iso639-2,http://id.loc.gov/vocabulary/iso639-2/spa,,NNC-A,Avery Library,marcorg,http://id.loc.gov/authorities/names/n80087582,,,,,,,reformatted digital,drawings,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm003279,Children's drawings,fast,http://id.worldcat.org/fast/855745,still image,original_format,Cerbère (France),http://id.loc.gov/authorities/names/n96051285,Children's Drawings of the Spanish Civil War,http://www.columbia.edu/cgi-bin/cul/resolve?clio4278351 ,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,War in art,fast,http://id.worldcat.org/fast/1170504,Civil War (Spain : 1936-1939),fast,http://id.worldcat.org/fast/1352321,This Drawing Is A House Next To The School And There Are Also Some Girls Skipping Rope.,translated,,Este Dibujo Es Una Casa Que Ta Alao De La Escuela Y Tambien Hay Unas Niñas Jugando A Cuerda.  ,
childrensdrawings_cgn_000,asset,childrensdrawings_cgn,childrens_drawings,,,,,,,,,,,,,,,,,,omeka_8178,,,,https://exhibitions.cul.columbia.edu/exhibits/show/children/france/pyrenees-orientales/cerbere1,,,,,92.tif,filename,92.jpg,filename,92v.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,This Drawing Is A House Next To The School And There Are Also Some Girls Skipping Rope.,translated,,Este Dibujo Es Una Casa Que Ta Alao De La Escuela Y Tambien Hay Unas Niñas Jugando A Cuerda.  ,
childrensdrawings_chg,item,,childrens_drawings,Spanish children's drawings of the Civil War collection,http://id.library.columbia.edu/term/4d5ae952-974e-43db-8f24-c1175ca03620,"Prat Ocariz, Antonio",personal,Artist,marcrelator,http://id.loc.gov/vocabulary/relators/art,,,1936,1939,inferred,between 1936 and 1939,"Drawing no: 75. Child's Age: 14. Colony: Mas-Eloi, France. Mas-Eloi was a Spanish children's colony in France. Signs on the doors say Panaderia (bakery) and carnicería (butcher shop)..",Date range based on the dates of the Spanish Civil War.,,,,Spanish,iso639-2,http://id.loc.gov/vocabulary/iso639-2/spa,,NNC-A,Avery Library,marcorg,http://id.loc.gov/authorities/names/n80087582,,,,,,,reformatted digital,drawings,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm003279,Children's drawings,fast,http://id.worldcat.org/fast/855745,still image,original_format,Limousin (France),http://id.loc.gov/authorities/names/n81019994,Children's Drawings of the Spanish Civil War,http://www.columbia.edu/cgi-bin/cul/resolve?clio4278351 ,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,War in art,fast,http://id.worldcat.org/fast/1170504,Civil War (Spain : 1936-1939),fast,http://id.worldcat.org/fast/1352321,War Scene.  Lines To Get Food.,translated,,Una Escena De La Guerra.  Las Colas Para Recoger Los Comestibles.  ,
childrensdrawings_chg_000,asset,childrensdrawings_chg,childrens_drawings,,,,,,,,,,,,,,,,,,omeka_8161,,,,https://exhibitions.cul.columbia.edu/exhibits/show/children/france/limousin,,,,,75.tif,filename,75.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,War Scene.  Lines To Get Food.,translated,,Una Escena De La Guerra.  Las Colas Para Recoger Los Comestibles.  ,
childrensdrawings_chq,item,,childrens_drawings,Spanish children's drawings of the Civil War collection,http://id.library.columbia.edu/term/4d5ae952-974e-43db-8f24-c1175ca03620,"Garcia, Fernando",personal,Artist,marcrelator,http://id.loc.gov/vocabulary/relators/art,,,1936,1939,inferred,between 1936 and 1939,"Drawing no: 101. Child's Age: 11. Colony: Colonia Pablo Iglesias, Godella, Spain.",Date range based on the dates of the Spanish Civil War.,,,,Spanish,iso639-2,http://id.loc.gov/vocabulary/iso639-2/spa,,NNC-A,Avery Library,marcorg,http://id.loc.gov/authorities/names/n80087582,,,,,,,reformatted digital,drawings,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm003279,Children's drawings,fast,http://id.worldcat.org/fast/855745,still image,original_format,"Godella (Valencia, Spain)",http://id.loc.gov/authorities/names/n80051061,Children's Drawings of the Spanish Civil War,http://www.columbia.edu/cgi-bin/cul/resolve?clio4278351 ,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,War in art,fast,http://id.worldcat.org/fast/1170504,Civil War (Spain : 1936-1939),fast,http://id.worldcat.org/fast/1352321,"Mountains On The Manzanares River.  Fernando Garcia Of The Graphic Arts Colony At Godella In The San Mauro Farmhouse.  Leaving Madrid In The ""pablo Iglesias"" Group Which Evacuated To Godella, Valencia.",translated,,Monte Del Rio Manzanares.  Fernando Garciaa De La Colonia De Artes Graficos Sita En Godella En La Masía De San Mauro.  Evacuando De Madrid En La Colonia De Pablo Iglesias Sita En Godella (valencia).  ,
childrensdrawings_chq_000,asset,childrensdrawings_chq,childrens_drawings,,,,,,,,,,,,,,,,,,omeka_8187,,,,https://exhibitions.cul.columbia.edu/exhibits/show/children/spain/valencia/valencia_2,,,,,101.tif,filename,101.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,"Mountains On The Manzanares River.  Fernando Garcia Of The Graphic Arts Colony At Godella In The San Mauro Farmhouse.  Leaving Madrid In The ""pablo Iglesias"" Group Which Evacuated To Godella, Valencia.",translated,,Monte Del Rio Manzanares.  Fernando Garciaa De La Colonia De Artes Graficos Sita En Godella En La Masía De San Mauro.  Evacuando De Madrid En La Colonia De Pablo Iglesias Sita En Godella (valencia).  ,
childrensdrawings_cin,item,,childrens_drawings,Spanish children's drawings of the Civil War collection,http://id.library.columbia.edu/term/4d5ae952-974e-43db-8f24-c1175ca03620,"Pascual Valladolid, Maria",personal,Artist,marcrelator,http://id.loc.gov/vocabulary/relators/art,,,1936,1939,inferred,between 1936 and 1939,"Drawing no: 12. Child's Age: 14. Depicts bucolic landscape with mountains in background and workers on the land. Stamp: Guarderia infantil de guerra ""Travajadores de la  enseñanza"" V.G.T. Colony: Colonia Lobosillo, Lobosillo, Spain.",Date range based on the dates of the Spanish Civil War.,,,,Spanish,iso639-2,http://id.loc.gov/vocabulary/iso639-2/spa,,NNC-A,Avery Library,marcorg,http://id.loc.gov/authorities/names/n80087582,,,,,,,reformatted digital,drawings,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm003279,Children's drawings,fast,http://id.worldcat.org/fast/855745,still image,original_format,Murcia (Spain : Region),http://id.loc.gov/authorities/names/n82129542,Children's Drawings of the Spanish Civil War,http://www.columbia.edu/cgi-bin/cul/resolve?clio4278351 ,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,War in art,fast,http://id.worldcat.org/fast/1170504,Civil War (Spain : 1936-1939),fast,http://id.worldcat.org/fast/1352321,Drawing Of A Bucolic Landscape,,,,
childrensdrawings_cin_000,asset,childrensdrawings_cin,childrens_drawings,,,,,,,,,,,,,,,,,,omeka_8098,,,,https://exhibitions.cul.columbia.edu/exhibits/show/children/spain/murcia,,,,,12.tif,filename,12.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,Drawing Of A Bucolic Landscape,,,,
