identifier_omeka,item - public,item - featured,keyDate_start,form,dateQualifier,digitalOrigin,physicalLocation,place,languageOfCataloging,title,name_primary,abstract,publisher,language,note_filename,form_originalFormat,relatedItem_Project
4770,1,0,1694,books,exact,Reformatted Digital,"Rare Book and Manuscript Library, Columbia University",London,English,"A Prognostication for Ever, Made by Erra Pater, a Jew, born in Jewry, Doctor in Astronomy and Physick: Very Profitable to keep the Body in health. And also Ptolomeus saith the same. Together with the Fairs and High-Ways, and several new Additions","Pater, Erra","An opening of A Prognostication for euer. The page on the left provides a rule  for determining the beginning and endings of the Hilary, Easter, Trinity, and Michaelmas terms. The page on the right provides a table for determining ""how long the Moon shineth, and when she riseth and setteth.""","Thomas Basset, Richard Chiswel, Samuel Smith, Benjamin Walford, and George Conyers",,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=politic_eco_110027037,Still Image,"Political Ecologies in the Renaissance
"
4769,1,0,1694,books,exact,Reformatted Digital,"Rare Book and Manuscript Library, Columbia University",London,English,"A Prognostication for Ever, Made by Erra Pater, a Jew, born in Jewry, Doctor in Astronomy and Physick: Very Profitable to keep the Body in health. And also Ptolomeus saith the same. Together with the Fairs and High-Ways, and several new Additions","Pater, Erra","The frontispiece of the 1694 A Prognostication for euer, which depicts Erra Pater using a sextant.","Thomas Basset, Richard Chiswel, Samuel Smith, Benjamin Walford, and George Conyers",,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=politic_eco_110027036,Still Image,"Political Ecologies in the Renaissance
"
4768,1,0,1685,books,exact,Reformatted Digital,"Rare Book and Manuscript Library, Columbia University",Paris,English,Elevation des eaux par toute sorte de machines,"Morland, Samuel, 1625-1685",Title page of Elevation des eaux par toute sorte de machines,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=politic_eco_110027035,Still Image,"Political Ecologies in the Renaissance
"
4767,1,0,1685,books,exact,Reformatted Digital,"Rare Book and Manuscript Library, Columbia University",Paris,English,Elevation des eaux par toute sorte de machines,"Morland, Samuel, 1625-1685",An illustration of a water pump,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=politic_eco_110027034,Still Image,"Political Ecologies in the Renaissance
"
4766,1,0,1685,books,exact,Reformatted Digital,"Rare Book and Manuscript Library, Columbia University",Paris,English,Elevation des eaux par toute sorte de machines,"Morland, Samuel, 1625-1695",Figure 1 in Elevation des eaux par toute sorte de machines depicts hoses used in an experiment to determine the weight of the River Seine.,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=politic_eco_110027033,Still Image,"Political Ecologies in the Renaissance
"
4765,1,0,1685 ,books,exact,Reformatted Digital,"Rare Book and Manuscript Library, Columbia University",Paris,English,Elevation des eaux par toute sorte de machines,"Morland, Samuel, 1625-1685","An illustration of the human arm holding a weight. The illustration includes the arm's range of motion. Above and below the arm are two Bible verses in Hebrew, with Psalm 139:14-15 below and Job 10:2 above",,eng,110027032.jpg,Still Image,"Political Ecologies in the Renaissance
"
4764,1,0,1665,books,exact,Reformatted Digital,"Rare Book and Manuscript Library, Columbia University",Amsterdam,English,Mundus Subterraneus,"Kircher, Athanasius, 1602-1680",An illustration of a man-powered water lift. ,Johannes Janssonius and Elizeus Weyerstraten,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=politic_eco_110027031,Still Image,"Political Ecologies in the Renaissance
"
4763,1,0,1665,books,exact,Reformatted Digital,"Rare Book and Manuscript Library, Columbia University",Amsterdam,English,Mundus Subterraneus,"Kircher, Athanasius, 1602-1680",An illustration of the surface of the sun.,Johannes Janssonius and Elizeus Weyerstraten,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=politic_eco_110027030,Still Image,"Political Ecologies in the Renaissance
"
4762,1,0,1665,books,exact,Reformatted Digital,"Rare Book and Manuscript Library, Columbia University",Amsterdam,English,Mundus Subterraneus,"Kircher, Athanasius, 1602-1680","A cross-section of Mount Vesuvius, depicting the inside of the crater, which Kircher explored in 1638. ",Johannes Janssonius and Elizeus Weyerstraten,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=politic_eco_110027029,Still Image,"Political Ecologies in the Renaissance
"
4761,1,0,1665,books,exact,Reformatted Digital,"Rare Book and Manuscript Library, Columbia University",Amsterdam,English,Mundus Subterraneus,"Kircher, Athanasius, 1602-1680","An illustration of the subterranean rivers, oceans, and fiery channels Kircher posited lay beneath the Earth's surface. ",Johannes Janssonius and Elizeus Weyerstraten,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=politic_eco_110027028,Still Image,"Political Ecologies in the Renaissance
"
4760,1,0,1621,books,exact,Reformatted Digital,"Rare Book and Manuscript Library, Columbia University",Frankfurt,English,Mysterium Cosmographicum,"Kepler, Johannes, 1571-1630",An illustration of the planets' epicycles.,Godfrey Tampach and Erasmus Kempfer,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=politic_eco_110027027,Still Image,"Political Ecologies in the Renaissance
"
4759,1,0,1621,books,exact,Reformatted Digital,"Rare Book and Manuscript Library, Columbia University",Frankfurt,English,Mysterium Cosmographicum,"Kepler, Johannes, 1571-1630","Illustration of nested regular solids, depicting Kepler's model of the solar system. Saturn's orbit circumscribes the cube, Jupiter's orbit the tetrahedron, Mars' orbit the dodecahedron, Earth's orbit the icosahedron, and Venus' orbit the octahedron. Mercury's orbit is nested inside the octahedron. ",Godfrey Tampach and Erasmus Kempfer,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=politic_eco_110027026,Still Image,"Political Ecologies in the Renaissance
"
4758,1,0,1621,books,exact,Reformatted Digital,"Rare Book and Manuscript Library, Columbia University",Frankfurt,English,Mysterium Cosmographicum,"Kepler, Johannes, 1571-1630","Kepler describes the alignment of the platonic solids in the solar system. The four illustrations depict flattened views from within the octahedron looking out. The horizontal line is the square bisecting the octahedron, and the other lines show the edges of the remaining solids. The third illustration from the top depicts an alignment in which the angles of the solids are aligned, an alignment which Kepler rejects. The fourth illustration depicts the alignment of the solids in Kepler's model.  ",Godfrey Tampach and Erasmus Kempfer,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=politic_eco_110027025,Still Image,"Political Ecologies in the Renaissance
"
4757,1,0,1645,books,exact,Reformatted Digital,"Rare Book and Manuscript Library, Columbia University",Flexi,English,Nova demonstratio immobilitatis terrae petita ex virtvte magnetica,"Grandami, Jacques, 1588-1672",Frontispiece of Nova demonstratio immobilitatis terrae petita ex virtvte magnetica,G. Griveav,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=politic_eco_110027024,Still Image,"Political Ecologies in the Renaissance
"
4756,1,0,1645,books,exact,Reformatted Digital,"Rare Book and Manuscript Library, Columbia University",Flexi,English,Nova demonstratio immobilitatis terrae petita ex virtvte magnetica,"Grandami, Jacques, 1588-1672",A fold-out illustration depicting astronomical instruments.,G. Griveav,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=politic_eco_110027023,Still Image,"Political Ecologies in the Renaissance
"
4755,1,0,1645,books,exact,Reformatted Digital,"Rare Book and Manuscript Library, Columbia University",Flexi,English,Nova demonstratio immobilitatis terrae petita ex virtvte magnetica,"Grandami, Jacques, 1588-1672","The cherubim in the top illustration experiment with magnets and metal objects, such as keys and rings. The cherubim in the bottom illustration experiment with magnets and knives. The two angels in the middle magnetize the knives they are holding, while the two angels on the outside use magnetized knives to attract nails. ",G. Griveav,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=politic_eco_110027022,Still Image,"Political Ecologies in the Renaissance
"
4754,1,0,1645,books,exact,Reformatted Digital,"Rare Book and Manuscript Library, Columbia University",Flexi,English,Nova demonstratio immobilitatis terrae petita ex virtvte magnetica,"Grandami, Jacques, 1588-1672",The cherubim on the left hang rings from magnets. The cherubim on the right hold compasses at different distances from a rod.,G. Griveav,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=politic_eco_110027021,Still Image,"Political Ecologies in the Renaissance
"
4753,1,0,1645,books,exact,Reformatted Digital,"Rare Book and Manuscript Library, Columbia University",Flexi,English,Nova demonstratio immobilitatis terrae petita ex virtvte magnetica,"Grandami, Jacques, 1588-1672",Cherubim experimenting with magnetic globes. ,G. Griveav,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=politic_eco_110027020,Still Image,"Political Ecologies in the Renaissance
"
4752,1,0,1598,books,exact,Reformatted Digital,"Rare Book and Manuscript Library, Columbia University",London,English,A Briefe and most easie Introduction to the Astrologicall Judgement of the Starres,"Dariot, Claude, 1533-1594",A blank astrological chart. Each of the twelve triangles corresponds to one of the signs of the zodiac. ,Thomas Purfoot,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=politic_eco_110027019,Still Image,"Political Ecologies in the Renaissance
"
4751,1,0,1598,books,exact,Reformatted Digital,"Rare Book and Manuscript Library, Columbia University",London,English,A Briefe and most easie Introduction to the Astrologicall Judgement of the Starres,"Dariot, Claude, 1533-1594","A table illustrating the influence of the planets and the zodiac on maladies in specific parts of the body. The signs of the planets are listed in the first row, and the signs of the zodiac run down the first column. ",Thomas Purfoot,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=politic_eco_110027018,Still Image,"Political Ecologies in the Renaissance
"
4750,1,0,1598,books,exact,Reformatted Digital,"Rare Book and Manuscript Library, Columbia University",London,English,A Briefe and most easie Introduction to the Astrologicall Judgement of the Starres,"Dariot, Claude, 1533-1594","First two pages a seven-page table listing ""Natures and Complexions,"" maladies, and advice corresponding to the signs of the zodiac. Entries for Aries, Taurus, and Gemini are visible. ",Thomas Purfoot,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=politic_eco_110027017,Still Image,"Political Ecologies in the Renaissance
"
4749,1,0,1598,books,exact,Reformatted Digital,"Rare Book and Manuscript Library, Columbia University",London,English,A Briefe and most easie Introduction to the Astrologicall Judgement of the Starres,"Dariot, Claude, 1533-1594","An anatomy, illustrating blood vessels in the feet, left hand, and right arm. ",Thomas Purfoot,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=politic_eco_110027016,Still Image,"Political Ecologies in the Renaissance
"
4748,1,0,1564,books,exact,Reformatted Digital,"Rare Book and Manuscript Library, Columbia University",Brescia,English,"Opera Nuova di Fortificare, Offendere, et Diffendere","Cataneo, Girolamo, 16th cent.","Title page of Opera Nuova di Fortificare, Offendere, et Difendere",Gio: Battista Bozola,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=politic_eco_110027015,Still Image,"Political Ecologies in the Renaissance
"
4747,1,0,1564,books,exact,Reformatted Digital,"Rare Book and Manuscript Library, Columbia University",Brescia,English,"Opera Nuova di Fortificare, Offendere, et Diffendere","Cataneo, Girolamo, 16th cent.",Another illustration of soldiers performing drills outside of a fortification,Gio: Battista Bozola,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=politic_eco_110027014,Still Image,"Political Ecologies in the Renaissance
"
4746,1,0,1564,books,exact,Reformatted Digital,"Rare Book and Manuscript Library, Columbia University",Brescia,English,"Opera Nuova di Fortificare, Offendere, et Diffendere","Cataneo, Girolamo, 16th cent.",An illustration of soldiers performing drills outside of a fortification,Gio: Battista Bozola,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=politic_eco_110027013,Still Image,"Political Ecologies in the Renaissance
"
4745,1,0,1564,books,exact,Reformatted Digital,"Rare Book and Manuscript Library, Columbia University",Brescia,English,"Opera Nuova di Fortificare, Offendere, et Diffendere","Cataneo, Girolamo, 16th cent.",An illustration of a fortification and soldiers,Gio: Battista Bozola,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=politic_eco_110027012,Still Image,"Political Ecologies in the Renaissance
"
4744,1,0,1610,books,exact,Reformatted Digital,"Rare Book and Manuscript Library, Columbia University",Prague,English,Astronomiae Instauratae Progymnasmata,"Brahe, Tycho, 1546-1601",An illustration of Cassiopeia in reverse or as seen from without the celestial sphere. The super nova of 1572 (SN 1572) is depicted along the back of the throne. ,Godfrey Tampach,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=politic_eco_110027011,Still Image,"Political Ecologies in the Renaissance
"
4743,1,0,1610,books,exact,Reformatted Digital,"Rare Book and Manuscript Library, Columbia University",Prague,English,Astronomiae Instauratae Progymnasmata,"Brahe, Tycho, 1546-1601",The first page of a table detailing the positions of 777 stars. ,Godfrey Tampach,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=politic_eco_110027010,Still Image,"Political Ecologies in the Renaissance
"
4742,1,0,1636,books,exact,Reformatted Digital,"Rare Book and Manuscript Library, Columbia University",London,English,Mr. Blundevil his Exercises,"Blundeville, Thomas, 1522-1606",Title page of the 7th edition of Mr. Blundevil His Exercises,Benjamin Allen,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=politic_eco_110027009,Still Image,"Political Ecologies in the Renaissance
"
4741,1,0,1636,books,exact,Reformatted Digital,"Rare Book and Manuscript Library, Columbia University",London,English,Mr. Blundevil his Exercises,"Blundeville, Thomas, 1522-1606",Title page of Blundeville's treatise on Cosmography,Benjamin Allen,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=politic_eco_110027008,Still Image,"Political Ecologies in the Renaissance
"
4740,1,0,1636,books,exact,Reformatted Digital,"Rare Book and Manuscript Library, Columbia University",London,English,Mr. Blundevil his Exercises,"Blundeville, Thomas, 1522-1606 ",An advertisement for Robert Hartwell's teaching services.,Benjamin Allen,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=politic_eco_110027007,Still Image,"Political Ecologies in the Renaissance
"
4739,1,0,1636,books,exact,Reformatted Digital,"Rare Book and Manuscript Library, Columbia University",London,English,Mr. Blundevil his Exercises,"Blundeville, Thomas, 1522-1606","An illustration of a mariner's quadrant, a device used to determine one's latitude at sea",Benjamin Allen,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=politic_eco_110027006,Still Image,"Political Ecologies in the Renaissance
"
4738,1,0,1636,books,exact,Reformatted Digital,"Rare Book and Manuscript Library, Columbia University",London,English,Mr. Blundevil his Exercises,"Blundeville, Thomas, 1522-1606","A depiction of ""an instrument which will shew at any houre of the night, how much the Loadstar is either above or beneath the Pole."" This illustration is particularly interesting because a former owner made the instrument by stitching a paper disc and a paper needle to the page.",Benjamin Allen,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=politic_eco_110027005,Still Image,"Political Ecologies in the Renaissance
"
4737,1,0,1621,books,exact,Reformatted Digital,"Rare Book and Manuscript Library, Columbia University",Basle,English,De Re Metallica,"Agricola, Georgius, 1494-1555",An illustration of two mine shafts. The man on the hill uses plumb lines and triangulation to determine subterranean distances. ,Ludovici Regis,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=politic_eco_110027004,Still Image,"Political Ecologies in the Renaissance
"
4736,1,0,1621,books,exact,Reformatted Digital,"Rare Book and Manuscript Library, Columbia University",Basle,English,De Re Metallica,"Agricola, Georgius, 1494-1555",An illustration of a mine ventilation system. The vane (H) orients the wooden vessel (A) so that the vent (C) faces the wind. The wind forces fresh air through a pipe (D) and into the mine. ,Ludovici Regis,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=politic_eco_110027003,Still Image,"Political Ecologies in the Renaissance
"
4735,1,0,1621,books,exact,Reformatted Digital,"Rare Book and Manuscript Library, Columbia University",Basle,English,De Re Metallica,"Agricola, Georgius, 1494-1555",A cross-sectional illustration of a mine. A turbine powers three subterranean piston pumps in succession to drain a flooded mine shaft.  ,Ludovici Regis,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=politic_eco_110027002,Still Image,"Political Ecologies in the Renaissance
"
4734,1,0,1621,books,exact,Reformatted Digital,"Rare Book and Manuscript Library, Columbia University",Basle,English,De Re Metallica,"Agricola, Georgius, 1494-1555",A cross-sectional illustration of a mine. Gears and drive-shafts harness horse power to operate an underground ore lift. ,Ludovici Regis,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=politic_eco_110027001,Still Image,"Political Ecologies in the Renaissance
"
