itemContainer - item - itemId,itemContainer - item - public,itemContainer - item - featured,itemContainer - item - MODS - FormGenre - text,itemContainer - item - MODS - DigitalOrigin - text,itemContainer - item - MODS - RepositoryName - text,itemContainer - item - MODS - LanguageofCataloging - text,itemContainer - item - MODS - KeyDate - text,itemContainer - item - MODS - TypeofDate - text,itemContainer - item - MODS - Notes - text,itemContainer - item - MODS - ShelfLocation - text,itemContainer - item - MODS - Collection - text,itemContainer - item - MODS - PublicationPlace - text,itemContainer - item - MODS - PlaceofOrigin - text,itemContainer - item - MODS - Subrepository - text,itemContainer - item - MODS - PublicationDate - text,itemContainer - item - MODS - PhysicalLocation - text,itemContainer - item - DublinCore - Title - text,itemContainer - item - DublinCore - Date - text,itemContainer - item - DublinCore - Language - text,itemContainer - item - DublinCore - Creator - text,itemContainer - item - DublinCore - Publisher - text,itemContainer - item - DublinCore - Description - text,itemContainer - item - DublinCore - Subject - text,itemContainer - item - DublinCore - Source - text,itemContainer - item - DublinCore - Rights - text,itemContainer - item - OriginalFileLoadedIntoOmeka - text,itemContainer - item - ItemType - text,itemContainer - item - OmekaCollection,itemContainer - item - ItemInContext,itemContainer - item - AdditionalItemMetadata - RightsHolder - text
7020,1,0,illustrations,reformatted digital,"University Archives, Columbia University",eng,1910 ,approximate,,"Historical Biographical Files
Box 201 Folder 14
MacDowell, Edward Alexander",,,,,,,Edward Alexander MacDowell,ca. 1910,,"Simon, Howard",,Reproduction of woodcut portrait,,,,MacDowell Lithograph Howard Simon Woodcut.jpg,Still Image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/exhibits/show/music-centennial/epilogue/macdowell-professorship,
7019,1,0,printed ephemera,reformatted digital,"University Archives, Columbia University",eng,1955-09-26 ,,,,,New York,,,,,"Concert in Honor of Bela Bartok, Page 4-5",1955 September 26,eng,Columbia University. Trustees,,"Program of a concert performed at McMillin Academic Theater, September 26, 1955","Bartók, Béla, 1881-1945",,,Bartok Memorial Page 5-6009.jpg,Still Image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/exhibits/show/music-centennial/ditson-fund/bela-bartok-memorial,
7017,1,0,music,rd,nnc-rb,eng,1942 ,ap,,,Béla Bartók manuscripts,,,,,,Rumanian Folk Music,ca. 1942,eng,"Bartók, Béla, 1881-1945",,Autograph manuscript,,,,Bartok Rumanian Ms.jpg,Still Image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/exhibits/show/music-centennial/ethnomusicology/bela-bartok,
7016,1,0,photographs,reformatted digital,Non-Columbia Institution,eng,1899 ,,,,,,,,,Carnegie Hall Archives and Museum,"Carnegie Hall, 1899",1899,eng,,,,"Carnegie Hall (New York, N.Y.)",,Carnegie Hall Archives and Museum,1899_Exterior-lr.jpg,Still Image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/exhibits/show/music-centennial/finding-a-home/morningside-campus,Carnegie Hall Archives and Museum
6854,1,0,photographs,rd,nnc-rb,eng,1996-10-19 ,ex,,,,,New York,,,,Rachel Hadas and George Edwards,"October 19, 1996",eng,"Winter, Damon",,,,,,George Edwards and Rachel Hadas Music Cent.JPG,Still Image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/exhibits/show/music-centennial/the-centennial-celebrations/from-the-chair,
6853,1,0,pamphlets,reformatted digital,"University Archives, Columbia University",eng,1977 ,,,"Historical Subject File
Series XIX Student Life
Fine and Performing Arts
Box 240, Folder 4 Glee Club Ephemera",,,,,,,"Glee Club, Cover",1977,eng,Columbia University. Glee Club,,,,,,Glee Club.jpg,Still Image,Music at Columbia: The First 100 Years,,
6852,1,0,photographs,reformatted digital,"University Archives, Columbia University",eng,1948 ,,,"Office of Public Affairs Photographs
Box 31, Folder 2 Music Department",,,New York,,,,Opera Workshop rehearsal of Evangeline,Spring 1948,,Warman,,,"Luening, Otto, 1900-1996
",,,Evangeline Rehearsal.jpg,Still Image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/exhibits/show/music-centennial/music/opera-workshop,
6851,1,0,photographs,reformatted digital,"University Archives, Columbia University",eng,1953 1980,questionable,,"Office of Public Affairs Photographs
Box 31, Folder 2 Music Department",,,,,,,Howard Shanet Conducting University Orchestra,,,"Rogers, Hugh",,,"Shanet, Howard",,,Howard Shanet conducting Orchestra.jpg,Still Image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/exhibits/show/music-centennial/music-performance-current/howard-shanet,
6850,1,0,photographs,reformatted digital,"University Archives, Columbia University",eng,1883 1965,inferred,,"Office of Public Affairs Photographs
Box 31, Folder 2 Music Department",,,,,,,Edgard Varese,no date,,,,,"Varèse, Edgard, 1883-1965",,,Edgard Varese.jpg,Still Image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/exhibits/show/music-centennial/composition/composers,
6849,1,0,photographs,reformatted digital,"University Archives, Columbia University",eng,1951 1959,approximate,,"Office of Public Affairs Photographs
Box 31, Folder 4 Electronic Music ",,,,,,,Otto Luening and Vladimir Ussachevsky in the Electronic Music Center,circa 1950s,,,,,"Luening, Otto, 1900-1996",,,Leuning and Ussachevsky at EMC.jpg,Still Image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/exhibits/show/music-centennial/electronic-and-computer-music/vladimir-ussachevsky,
6848,1,0,photographs,reformatted digital,"University Archives, Columbia University",eng,1959 ,,,"Box 31, Folder 4 Electronic Music",,,,Office of Public Affairs Photographs,,,"Milton Babbitt, Peter Mauzey, and Vladimir Ussachevsky with the RCA Mark II Synthesizer",1959,,,,,Synthesizer (Musical instrument),,,"RCA Synthesizer, Cage, Mauzey, Ussachevsky.jpg",Still Image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/exhibits/show/music-centennial/electronic-and-computer-music/electronic-music-center,
6847,1,0,photographs,reformatted digital,"University Archives, Columbia University",eng,1959 1990,approximate,,"Office of Public Affairs Photographs
Box 31, Folder 4 Electronic Music ",,,New York,,,,Mario Davidovsky at the Electronic Music Center,After 1959,,,,,"Davidovsky, Mario, 1934-",,,Mario Davidovsky at EMC.jpg,Still Image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/exhibits/show/music-centennial/electronic-and-computer-music/more-recent-work,
6846,1,0,photographs,reformatted digital,"University Archives, Columbia University",eng,1910 1953,inferred,,"Office of Public Affairs Photographs
Box 31, Folder 2 Music Department",,,,,,,Daniel Gregory Mason,,,,,,"Mason, Daniel Gregory, 1873-1953",,,D. G. Mason.jpg,Still Image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/exhibits/show/music-centennial/undergraduate-curriculum/mason,
6845,1,0,photographs,reformatted digital,"University Archives, Columbia University",eng,1893 1969,inferred,,"Historical Photographs
Box 86 Moore, Douglas",,,,,,,Douglas Moore ,No date,,,,,"Moore, Douglas, 1893-1969",,,Douglas Moore younger.jpg,Still Image,Music at Columbia: The First 100 Years,,
6844,1,0,photographs,reformatted digital,"University Archives, Columbia University",eng,1926 1962,inferred,,"Historical Photographs
Box 86 Moore, Douglas",,,New York,,,,Douglas Moore at Desk,between 1926 and 1962?,,,,,"Moore, Douglas, 1893-1969",,,Douglas Moore with window.jpg,Still Image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/exhibits/show/music-centennial/chairpersons/chairpersons,
6843,1,0,photographs,reformatted digital,nnc-rb,eng,1902 ,ex,,,Edward A. MacDowell Papers,,,,,,Edward MacDowell,1902,eng,,,Autographed photograph,"MacDowell, Edward, 1860-1908",,,MacDowell_crop.jpg,Still Image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/exhibits/show/music-centennial/beginnings/edward-macdowell,
6842,1,0,photographs,reformatted digital,"University Archives, Columbia University",eng,1923 ,approximate,,"Historical Photographs
Box 101 Rodgers, Richard",,,,,,,Richard Rogers (CC 1923),circa 1923,,,,,,,,Richard Rogers younger1.jpg,Still Image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/exhibits/show/music-centennial/music-performance--the-early-y/hammerstein--hart--and-rogers,
6841,1,0,printed ephemera,reformatted digital,"University Archives, Columbia University",eng,1967 ,,,"Historical Biography Files
Box 22 Folder 16, Bartok, Bela",,The Hague,,,,,Prospectus for Rumanian Folk Music,circa 1967,eng,,Martinus Nijhoff,,"Bartók, Béla, 1881-1945. Romanian folk music",,,Bartok Rumanian Music Flyer.jpg,Still Image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/exhibits/show/music-centennial/ethnomusicology/bela-bartok,
6840,1,0,photographs,reformatted digital,"University Archives, Columbia University",eng,1940 ,,,"Historical Photographs
Bartok, Bela",,,,,,,Bela Bartok,1940,eng,,,,"Bartók, Béla, 1881-1945",,,Bartok Ditson Award.jpg,Still Image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/exhibits/show/music-centennial/ditson-fund/bela-bartok,
6839,1,0,photographs,reformatted digital,"University Archives, Columbia University",eng,1958 ,,,"Office of Public Affairs Photographs
Box 15, Folder 13, Ditson Awards",,,,,,,Leonard Bernstein Receiving Ditson Conducting Award,1958,eng,,,,"Bernstein, Leonard, 1918-1990",,,"Bernstein, Moore, Ditson Award.jpg",Still Image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/exhibits/show/music-centennial/ditson-fund/conductors-award,
6838,1,0,photographs,reformatted digital,"University Archives, Columbia University",eng,1948-05 ,ex,,"Office of Public Affairs Photographs
Box 15, Folder 13, Ditson Awards",,,,,,,Dean Dixon conducts CBS Symphony Orchestra,"May, 1948",eng,,,,"Dixon, Dean, 1915-1976",,,Dean Dixon CBS Symphony.jpg,Still Image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/exhibits/show/music-centennial/ditson-fund/conductors-award,
6837,1,0,photographs,reformatted digital,"Rare Book & Manuscript Library, Columbia University",eng,1890 1910,approximate,,,Ditson Fund Papers,,,,,,Alice M. Ditson,No date,,,,Photographer unknown.,"Ditson, Alice M.",,,Alice M. Ditson 001.jpg,Still Image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/exhibits/show/music-centennial/ditson-fund/alice-m-ditson,
6836,1,0,photographs,reformatted digital,"University Archives, Columbia University",eng,1997 ,,,,,,,,,,"Turner Console, Aeolian-Skinner Organ, St. Paul's Chapel",1997,,"Barroso, Eileen",,,Organ (Musical instrument),,,ColUChapelTurnerCon1.jpg,Still Image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/exhibits/show/music-centennial/music-performance-current/chapel-music,
6490,1,0,music,reformatted digital,"Rare Book and Manuscript Library, Columbia University",eng,1891 1895,approximate,"original filename: 121.tif
",,Edward A. MacDowell Papers,,,,,,"Second Suite for Orchestra, Op. 48, the Indian Suite",between 1891 and 1895,eng,"MacDowell, Edward, 1860-1908",,,,,,http://ldpd.lampdev.columbia.edu/o/music/121.jpg,Still Image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/exhibits/show/music-centennial/beginnings/indian-suite,
6489,1,0,objects,reformatted digital,"Rare Book & Manuscript Library, Columbia University",English,1904 ,inferred,"original filename: 110118174.tif
",,Edward A. MacDowell Papers,,,,,,Silver presentation cup,circa 1904,eng,Tiffany and Company,,"Names list, end of alphabet",,,,http://ldpd.lampdev.columbia.edu/o/music/110118174.jpg,Still Image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/exhibits/show/music-centennial/epilogue/presentation-cup,
6488,1,0,objects,reformatted digital,"Rare Book & Manuscript Library, Columbia University",English,1904,inferred,"original filename: 110118173.tif
",,Edward A. MacDowell Papers,,,,,,Silver presentation cup,"circa 1904
",eng,Tiffany and Company,,"Names list, beginning of alphabet",,,,http://ldpd.lampdev.columbia.edu/o/music/110118173.jpg,Still Image,Music at Columbia: The First 100 Years,,
6487,1,0,objects,reformatted digital,"Rare Book & Manuscript Library, Columbia University",eng,1904 ,inferred,"original filename: 110118172.tif
",,Edward A. MacDowell Papers,,,,,,Silver presentation cup,Circa 1904,eng,Tiffany and Company,,Dedication,,,,http://ldpd.lampdev.columbia.edu/o/music/110118172.jpg,Still Image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/exhibits/show/music-centennial/online-catalog/mm-introduction,
6486,1,0,photographs,Reformatted Digital,"University Archives, Columbia University",English,1994-12-09 ,exact,Original filename: 110118171.tif,"Office of Public Affairs Negatives Box 100, St. Pauls's Chapel - Candlelight Concert Christmas 1994, neg. 31",,,,,,,"Barnard-Columbia Chorus, St. Paul’s Chapel",9-Dec-94,eng,"Pineiro, Joe",,neg. 31,,Office of Public Affairs,,http://ldpd.lampdev.columbia.edu/o/music/110118171.jpg,Still Image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/exhibits/show/music-centennial/music-performance-current/chapel-music,
6485,1,0,photographs,Reformatted Digital,"University Archives, Columbia University",English,1994-12-09 ,exact,Original filename: 110118170.tif,"Office of Public Affairs Negatives Box 100, St. Paul's Chapel - Candlelight Concert Christmas 1994, neg. 30",,,,,,,"Barnard-Columbia Chorus - Annual Candlelight Concert, neg. 30",9-Dec-94,eng,"Pineiro, Joe",,,,Office of Public Affairs,,http://ldpd.lampdev.columbia.edu/o/music/110118170.jpg,Still Image,Music at Columbia: The First 100 Years,,
6484,1,0,photographs,Reformatted Digital,"University Archives, Columbia University",English,1996-04-15 ,exact,"Original filename: 110118169.tif
","Office of Public Affairs Negatives Box 98, Miller Theater - Columbia Orchestra, neg. 36",,,,,,,"Columbia University Orchestra - Conductor George Rothman, neg. 36",15-Apr-96,eng,"Pineiro, Joe",,,,Office of Public Affairs,,http://ldpd.lampdev.columbia.edu/o/music/110118169.jpg,Still Image,Music at Columbia: The First 100 Years,,
6483,1,0,photographs,Reformatted Digital,"University Archives, Columbia University",English,1996-04-15 ,exact,"Original filename: 110118168.tif
","Office of Public Affairs Negatives Box 98, Miller Theater - Columbia Orchestra, neg. 29",,,,,,,"Columbia University Orchestra - Conductor George Rothman, neg. 29",15-Apr-96,eng,"Pineiro, Joe",,,,Office of Public Affairs,,http://ldpd.lampdev.columbia.edu/o/music/110118168.jpg,Still Image,Music at Columbia: The First 100 Years,,
