item - public,item - itemId,item - featured,item - MODS - FormGenre 1,item - MODS - FormGenre 2,item - MODS - KeyDate - Single/Start,item - MODS - KeyDate - End,item - MODS - TypeofDate,item - MODS - DigitalOrigin,item - MODS - RepositoryName,item - MODS - RepositoryName - code,item - MODS - LanguageofCataloging ,item - MODS - ShelfLocation,item - MODS - Collection,item - MODS - PlaceofOrigin 1,item - MODS - PlaceofOrigin 2,item - MODS - Notes,item - MODS - PublicationPlace,item - DublinCore - Title,item - DublinCore - Title - Whole,item - DublinCore - Title - Part,item - DublinCore - Title 2,item - DublinCore - Title 2 - Whole,item - DublinCore - Title 2 - Part,item - DublinCore - Title 2 - Attribute,item - DublinCore - Date,item - DublinCore - Language,item - DublinCore - Subject 1,item - DublinCore - Subject 2,item - DublinCore - Subject 3,item - DublinCore - Subject 4,item - DublinCore - Subject 5,item - DublinCore - Subject 6,item - DublinCore - Subject 7,item - DublinCore - Subject 8,item - DublinCore - Subject 9,item - DublinCore - Creator 1,item - DublinCore - Creator 2,item - DublinCore - Creator 3,item - DublinCore - Creator 4,item - DublinCore - Creator 5,item - DublinCore - Creator 6,item - DublinCore - Creator 7,item - DublinCore - Creator 8,item - DublinCore - Creator 9,item - DublinCore - Creator 10,item - DublinCore - Creator 11,item - DublinCore - Creator 12,item - DublinCore - Creator 13,item - DublinCore - Creator 14,item - DublinCore - Description,item - DublinCore - Coverage,item - DublinCore - Publisher,item - DublinCore - Source,item - OriginalFileLoadedIntoOmeka 1,item - OriginalFileLoadedIntoOmeka 2,item - OriginalFileLoadedIntoOmeka 3,item - OriginalFileLoadedIntoOmeka 4,item - OriginalFileLoadedIntoOmeka 5,item - OriginalFileLoadedIntoOmeka 6,item - OriginalFileLoadedIntoOmeka 7,item - OriginalFileLoadedIntoOmeka 8,item - OriginalFileLoadedIntoOmeka 9,item - OriginalFileLoadedIntoOmeka 10,item - AdditionalItemMetadata - Provenance,item - AdditionalItemMetadata - SpatialCoverage,item - AdditionalItemMetadata - TemporalCoverage,item - ItemType,item - OmekaCollection,project URL,item in context 1,item in context 2,item in context 3
1,443,0,manuscripts,,1939-02-08,,inferred,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,"Speeches and Articles Feb. 8, 1939",Frances Perkins Papers,Washington (D.C.),,,,"Statement before the House Judiciary Committee in reply to House Resolution 67, Impeachment of Frances Perkins. Pages 1-3","Statement before the House Judiciary Committee in reply to House Resolution 67, Impeachment of Frances Perkins",Pages 1-3,,,,,"February 8, 1939",eng,United States. Congress (76th : 1939-1941),"Perkins, Frances, 1880-1965",,,,,,,,"Perkins, Frances, 1880-1965",,,,,,,,,,,,,,"This eight-page typescript appears to be the copy that Perkins used in her hearing before the House Judiciary Committee. In conclusion, she stated: “It is because I share the confidence of other Americans in the capacity of our institutions to protect me against injustice that I have satisfaction in the consideration of these charges, and my denial of them … This faith exists and must be confirmed daily by those of us who hold high office so that liberty may not perish from the land.”",,,,original filename: perkins_090074218.jpg,original filename: 090074219.jpg,original filename: 090074220.jpg,,,,,,,,Gift of Frances Perkins,,,still image,Frances Perkins: The Woman Behind the New Deal,http://www.columbia.edu/cgi-bin/cul/resolve?lweb0136,https://exhibitions.cul.columbia.edu/exhibits/show/perkins/immigration---impeachment/immigration-and-impeachment,https://exhibitions.cul.columbia.edu/exhibits/show/perkins/immigration---impeachment/impeachment,
1,442,0,pamphlets,,1939-04-03,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,Box 122,Frances Perkins Papers,,,,"Washington, District of Columbia","Dismissal of Impeachment Proceedings Against Frances Perkins, Secretary of Labor. Cover and envelope","Dismissal of Impeachment Proceedings Against Frances Perkins, Secretary of Labor",Cover and envelope,,,,,"April 3, 1939",eng,"Perkins, Frances, 1880-1965",,,,,,,,,"Martin, John Andrew, 1868-1939",United States. Congress (76th : 1939-1941),,,,,,,,,,,,,,,Government Printing Office,,original filename: perkins_090074216.jpg,original filename: 090074217.jpg,,,,,,,,,"Gift of Susanna Perkins Coggeshall, 1970",,,still image,Frances Perkins: The Woman Behind the New Deal,http://www.columbia.edu/cgi-bin/cul/resolve?lweb0136,https://exhibitions.cul.columbia.edu/exhibits/show/perkins/immigration---impeachment/impeachment,,
1,441,0,correspondence,,1938-08-18,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,Box 3,Frances Perkins Papers,Washington (D.C.),,,,"Letter from Martin Dies, Chairman of the Special Committee on Un-American Activities, to Frances Perkins, requesting Harry Bridges case file","Letter from Martin Dies, Chairman of the Special Committee on Un-American Activities, to Frances Perkins, requesting Harry Bridges case file",,,,,,"August 18, 1938",eng,"Bridges, Harry, 1901-1990",,,,,,,,,"Dies, Martin, 1900-1972",United States. Congress. House. Special Committee on Un-American Activities (1938-1944),"Perkins, Frances, 1880-1965",,,,,,,,,,,,"Martin Dies, Chairman, House of Representatives Special Committee on Un-American Activities, wrote to Frances Perkins, then Labor Secretary, requesting the file on the Harry Bridges case.",,,,original filename: perkins_090074215.jpg,,,,,,,,,,Gift of Frances Perkins,,,still image,Frances Perkins: The Woman Behind the New Deal,http://www.columbia.edu/cgi-bin/cul/resolve?lweb0136,https://exhibitions.cul.columbia.edu/exhibits/show/perkins/immigration---impeachment/harry-bridges,,
1,440,0,correspondence,,1933-04-27,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,Box 4,Frances Perkins Papers,Cambridge (Mass.),,,,"Letter, with clipping, sent from Felix Frankfurter to Frances Perkins about visa for German Jewish refugees","Letter, with clipping, sent from Felix Frankfurter to Frances Perkins about visa for German Jewish refugees",,,,,,"April 27, 1933",eng,,,,,,,,,,"Frankfurter, Felix, 1882-1965","Perkins, Frances, 1880-1965",,,,,,,,,,,,,"Letter with attached newspaper clipping: ""Germany Is Too Easy on Jews, Goebbels Asks Stronger Attack"" reported by the Jewish Telegraphic Agency and written in Cologne on April 25 [1933?]. Source publication of clipping unknown.",,,,original filename: perkins_090074213.jpg,original filename: 090074214.jpg,,,,,,,,,Gift of Frances Perkins,,,still image,Frances Perkins: The Woman Behind the New Deal,http://www.columbia.edu/cgi-bin/cul/resolve?lweb0136,https://exhibitions.cul.columbia.edu/exhibits/show/perkins/immigration---impeachment/immigration,,
1,439,0,correspondence,,1936-04-13,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,Box 104,Frances Perkins Papers,Caldwell (N.J.),,,,Letter from Edwin I. Stearns to Secretary of Labor Frances Perkins on the Whispering Campaign against Perkins. ,Letter from Edwin I. Stearns to Secretary of Labor Frances Perkins on the Whispering Campaign against Perkins,,,,,,"April 13, 1936",eng,"Perkins, Frances, 1880-1965",,,,,,,,,"Stearns, Edwin I.","Perkins, Frances, 1880-1965",,,,,,,,,,,,,"In this “Personally Written” letter to Perkins, the Pastor of the First Presbyterian Church of Caldwell, New Jersey, asks “Why have you stopped alien deportations?” calling for her to give a “full biographical statement,” and asking “Why is your official family so filled with subversive jewish personalities?”",,,,original filename: perkins_090074212.jpg,,,,,,,,,,Gift of Frances Perkins,,,still image,Frances Perkins: The Woman Behind the New Deal,http://www.columbia.edu/cgi-bin/cul/resolve?lweb0136,https://exhibitions.cul.columbia.edu/exhibits/show/perkins/immigration---impeachment/immigration,,
1,438,0,correspondence,,1936-04-08,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,Box 104,Frances Perkins Papers,Boston (Mass.),,,,Anonymous letter sent to Secretary of Labor Frances Perkins about antisemitism,Anonymous letter sent to Secretary of Labor Frances Perkins about antisemitism,,,,,,"April 8, 1936",eng,Antisemitism--United States,,,,,,,,,"Perkins, Frances, 1880-1965",,,,,,,,,,,,,,"An anonymous letter to Perkins concerning antisemitism and the whispering campaign against her, sent “from one who knows.”",,,,original filename: perkins_090074211.jpg,,,,,,,,,,Gift of Frances Perkins,,,still image,Frances Perkins: The Woman Behind the New Deal,http://www.columbia.edu/cgi-bin/cul/resolve?lweb0136,https://exhibitions.cul.columbia.edu/exhibits/show/perkins/immigration---impeachment/immigration,,
1,437,0,correspondence,,1934-01-15,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,Box 73,Frances Perkins Papers,"Queens (New York, N.Y.)",,,,Letter from George Rosenberger to Secretary of Labor Frances Perkins about Emma Goldman,Letter from George Rosenberger to Secretary of Labor Frances Perkins about Emma Goldman,,,,,,"January 15, 1934",eng,"Goldman, Emma, 1869-1940",,,,,,,,,"Rosenberger, George Jay","Perkins, Frances, 1880-1965",,,,,,,,,,,,,George Rosenberger wrote to then Secretary of Labor Frances Perkins to express his opinion that Emma Goldman should not be allowed into the United States.,,,,original filename: perkins_090074210.jpg,,,,,,,,,,,,,still image,Frances Perkins: The Woman Behind the New Deal,http://www.columbia.edu/cgi-bin/cul/resolve?lweb0136,https://exhibitions.cul.columbia.edu/exhibits/show/perkins/immigration---impeachment/immigration,https://exhibitions.cul.columbia.edu/exhibits/show/melting-pot/fighters/emma_goldman,
1,436,0,correspondence,,1934-04-05,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,Box 73,Frances Perkins Papers,Chicago (Ill.),,,,Telegram to Secretary of Labor Frances Perkins concerning Emma Goldman's admittance into the United States,Telegram to Secretary of Labor Frances Perkins concerning Emma Goldman's admittance into the United States,,,,,,"April 5, 1934",eng,"Goldman, Emma, 1869-1940",,,,,,,,,"Perkins, Frances, 1880-1965","Abbott, Edith, 1876-1957","Breckinridge, Sophonisba Preston, 1866-1948","Freehof, Solomon Bennett, 1892-1990","Gilkey, Charles W. (Charles Whitney), 1882-1968","Haydon, A. Eustace (Albert Eustace), 1880-1975","Smith, Thomas Vernor, 1890-1964","Reese, Curtis W. (Curtis Williford), 1887- 1961","Lovett, Robert Morss, 1870-1956","Schevill, Ferdinand, 1868-1954","Bridges, Horace J. (Horace James), 1880-1955","Morris, Charles W. (Charles William), 1903-1979","Mann, Louis L. (Louis Leopold), 1890-","Bradley, Preston, 1888-","A telegram in favor of extending Emma Goldman's visa, signed by many members of the University of Chicago faculty and religious leaders around Chicago. The name of Edith Abbott, professor at the School of Social Administration at the University of Chicago, is spelled ""Abbot"" in the telegram.",,,,original filename: perkins_090074208.jpg,original filename: 090074209.jpg,,,,,,,,,Gift of Frances Perkins,,,still image,Frances Perkins: The Woman Behind the New Deal,http://www.columbia.edu/cgi-bin/cul/resolve?lweb0136,https://exhibitions.cul.columbia.edu/exhibits/show/perkins/immigration---impeachment/immigration-and-impeachment,https://exhibitions.cul.columbia.edu/exhibits/show/perkins/immigration---impeachment/immigration,https://exhibitions.cul.columbia.edu/exhibits/show/melting-pot/fighters/emma_goldman
1,435,0,correspondence,,1938-09-29,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,Box 106C,Frances Perkins Papers,San Antonio (Tex.),,,,Bailey telegram to President Franklin Delano Roosevelt about Secretary of Labor Frances Perkins,Bailey telegram to President Franklin Delano Roosevelt about Secretary of Labor Frances Perkins,,,,,,"September 29, 1938",eng,"Perkins, Frances, 1880-1965",,,,,,,,,"Bailey, C. H.","Roosevelt, Franklin D. (Franklin Delano), 1882-1945",,,,,,,,,,,,,Bailey telegram to FDR,,,,original filename: perkins_090074207.jpg,,,,,,,,,,,,,still image,Frances Perkins: The Woman Behind the New Deal,http://www.columbia.edu/cgi-bin/cul/resolve?lweb0136,,,
1,434,0,correspondence,,1938-10-01,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,Box 106C,Frances Perkins Papers,Washington (D.C.),,,,President Franklin Delano Rooselvet memo to Frances Perkins about Bailey's telegram,President Franklin Delano Rooselvet memo to Frances Perkins about Bailey's telegram,,,,,,"October 1, 1938",eng,"Bailey, C. H.",,,,,,,,,"Roosevelt, Franklin D. (Franklin Delano), 1882-1945","Perkins, Frances, 1880-1965",,,,,,,,,,,,,FDR memo to Frances Perkins re Bailey tel.,,,,original filename: perkins_090074206.jpg,,,,,,,,,,,,,still image,Frances Perkins: The Woman Behind the New Deal,http://www.columbia.edu/cgi-bin/cul/resolve?lweb0136,,,
1,433,0,correspondence,,1936-04-23,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,Box 106C,Frances Perkins Papers,Baltimore (Md.),,,,"Letter from H. L. Mennerick, Secretary of the Junior Order of United American Mechanics State Council of Maryland, to President Franklin Delano Roosevelt about Secretary of Labor Perkins. ","Letter from H. L. Mennerick, Secretary of the Junior Order of United American Mechanics State Council of Maryland, to President Franklin Delano Roosevelt about Secretary of Labor Perkins",,,,,,"April 23, 1936",eng,"Perkins, Frances, 1880-1965",,,,,,,,,"Mennerick, H. L.","Roosevelt, Franklin D. (Franklin Delano), 1882-1945",Junior Order United American Mechanics. State Council of Maryland,,,,,,,,,,,,State Council of Maryland letter to FDR,,,,original filename: perkins_090074205.jpg,,,,,,,,,,,,,still image,Frances Perkins: The Woman Behind the New Deal,http://www.columbia.edu/cgi-bin/cul/resolve?lweb0136,,,
1,432,0,correspondence,,1936-04-28,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,Box 106C,Frances Perkins Papers,Washington (D.C.),,,,President Franklin Delano Roosevelt letter to Frances Perkins about United American Mechanics State Council of Maryland,President Franklin Delano Roosevelt letter to Frances Perkins about United American Mechanics State Council of Maryland,,,,,,"April 28, 1936",eng,Junior Order United American Mechanics. State Council of Maryland,,,,,,,,,"Roosevelt, Franklin D. (Franklin Delano), 1882-1945","Perkins, Frances, 1880-1965",,,,,,,,,,,,,FDR letter to Frances Perkins re State Council of Maryland,,,,original filename: perkins_090074204.jpg,,,,,,,,,,,,,still image,Frances Perkins: The Woman Behind the New Deal,http://www.columbia.edu/cgi-bin/cul/resolve?lweb0136,,,
1,431,0,manuscripts,,1939-03-08,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,Box 51,Frances Perkins Papers,,,,,Statement for Newsreel,Statement for Newsreel,,,,,,"March 8, 1939",eng,American Federation of Labor,Congress of Industrial Organizations (U.S.),,,,,,,,"Perkins, Frances, 1880-1965",,,,,,,,,,,,,,This was the Secretary of Labor’s statement on the meeting of the American Federation of Labor and the Congress of Industrial Organizations officials.,,,,original filename: perkins_090074203.jpg,,,,,,,,,,Gift of Frances Perkins,,,still image,Frances Perkins: The Woman Behind the New Deal,http://www.columbia.edu/cgi-bin/cul/resolve?lweb0136,https://exhibitions.cul.columbia.edu/exhibits/show/perkins/trade-unions---strikes/trade-unions,,
1,430,0,manuscripts,,1939-03-08,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,Box 51,Frances Perkins Papers,,,,,Outline of Frances Perkins statement on AFL-CIO meeting,Outline of Frances Perkins statement on AFL-CIO meeting,,,,,,"March 8, 1939",eng,AFL-CIO,,,,,,,,,"Perkins, Frances, 1880-1965",,,,,,,,,,,,,,Frances Perkins statement on CIO-AFL meeting,,,,original filename: perkins_090074202.jpg,,,,,,,,,,,,,still image,Frances Perkins: The Woman Behind the New Deal,http://www.columbia.edu/cgi-bin/cul/resolve?lweb0136,,,
1,429,0,manuscripts,,1941-12-17,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,Box 123,Frances Perkins Papers,,,,,President Franklin Delano Roosevelt speech on Industry and Labor written by Frances Perkins,President Franklin Delano Roosevelt speech on Industry and Labor written by Frances Perkins,,,,,,"December 17, 1941",eng,,,,,,,,,,United States. President (1933-1945 : Roosevelt),"Perkins, Frances, 1880-1965",,,,,,,,,,,,,FDR speech by Frances Perkins on Industry & Labor,,,,original filename: perkins_090074199.jpg,original filename: 090074200.jpg,original filename: 090074201.jpg,,,,,,,,,,,still image,Frances Perkins: The Woman Behind the New Deal,http://www.columbia.edu/cgi-bin/cul/resolve?lweb0136,,,
1,428,0,correspondence,,1939-08-31,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,Box 106C,Frances Perkins Papers,Washington (D.C.),,,,Letter from President Franklin Delano Roosevelt to Secretary of Labor Frances Perkins about the Committee on Economic Security,Letter from President Franklin Delano Roosevelt to Secretary of Labor Frances Perkins about the Committee on Economic Security,,,,,,"August 31, 1939",eng,United States. Committee on Economic Security,,,,,,,,,United States. President (1933-1945 : Roosevelt),"Perkins, Frances, 1880-1965",,,,,,,,,,,,,FDR letter to Frances Perkins re Comm on Eco Security,,,,original filename: perkins_090074198.jpg,,,,,,,,,,,,,still image,Frances Perkins: The Woman Behind the New Deal,http://www.columbia.edu/cgi-bin/cul/resolve?lweb0136,,,
1,427,0,manuscripts,,1934-07-17,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,Box 63,Frances Perkins Papers,Washington (D.C.),,,,Proposed Statement for President Franklin Delano Roosevelt,Proposed Statement for President Franklin Delano Roosevelt,,,,,,"July 17, 1934",eng,,,,,,,,,,United States. President (1933-1945 : Roosevelt),"Perkins, Frances, 1880-1965",,,,,,,,,,,,,Proposed speech for FDR,,,,original filename: perkins_090074195.jpg,original filename: 090074196.jpg,original filename: 090074197.jpg,,,,,,,,,,,still image,Frances Perkins: The Woman Behind the New Deal,http://www.columbia.edu/cgi-bin/cul/resolve?lweb0136,,,
