_identifiers-1,_parent_digital_objects-1.identifier,_digital_object_type.string_key,note-2:note_type,note-2:note_value,note-3:note_type,note-3:note_value,title-1:title_non_sort_portion,title-1:title_sort_portion,location-1:location_shelf_location-1:location_shelf_location_box_number,location-1:location_shelf_location-1:location_shelf_location_folder_number,omeka_identifier-1:omeka_identifier_value,collection-1:collection_term.value,collection-1:collection_term.uri,collection-1:collection_archival_series-1:collection_archival_series_part-1:collection_archival_series_part_level,collection-1:collection_archival_series-1:collection_archival_series_part-1:collection_archival_series_part_type,collection-1:collection_archival_series-1:collection_archival_series_part-1:collection_archival_series_part_title,collection-1:collection_archival_series-1:collection_archival_series_part-2:collection_archival_series_part_level,collection-1:collection_archival_series-1:collection_archival_series_part-2:collection_archival_series_part_type,collection-1:collection_archival_series-1:collection_archival_series_part-2:collection_archival_series_part_title,name-1:name_term.value,name-1:name_term.name_type,name-1:name_term.authority,name-1:name_term.uri,name-1:name_role-1.name_role_term.value,name-1:name_role-1.name_role_term.authority,name-1:name_role-1.name_role_term.uri,name-1:name_usage_primary,name-2:name_term.value,name-2:name_term.name_type,name-2:name_term.authority,name-2:name_term.uri,name-2:name_role-1.name_role_term.value,name-2:name_role-1:name_role_term.authority,name-2:name_role-1:name_role_term.uri,name-2:name_usage_primary,type_of_resource-1:type_of_resource_value,form-1:form_term.value,form-1:form_term.authority,form-1:form_term.uri,form-2:form_term.value,form-2:form_term.authority,form-2:form_term.uri,genre-1:genre_term.value,genre-1:genre_term.authority,genre-1:genre_term.uri,object_in_context_url-1:object_in_context_url_value,location-1:location_term.value,location-1:location_term.uri,date_created_textual-1:date_created_textual_value,date_created-1:date_created_start_value,date_created-1:date_created_end_value,date_created-1:date_created_type,date_created-1:date_created_key_date,language-1:language_term.value,language-1:language_term.authority,language-1:language_term.uri,digital_origin-1:digital_origin_value,subject_name-1:subject_name_term.value,subject_name-1:subject_name_term.name_type,subject_name-1:subject_name_term.authority,subject_name-1:subject_name_term.uri,subject_name-2:subject_name_term.value,subject_name-2:subject_name_term.name_type,subject_name-2:subject_name_term.authority,subject_name-2:subject_name_term.uri,subject_name-3:subject_name_term.value,subject_name-3:subject_name_term.name_type,subject_name-3:subject_name_term.authority,subject_name-3:subject_name_term.uri,subject_name-4:subject_name_term.value,subject_name-4:subject_name_term.name_type,subject_name-4:subject_name_term.authority,subject_name-4:subject_name_term.uri,subject_name-5:subject_name_term.value,subject_name-5:subject_name_term.name_type,subject_name-5:subject_name_term.authority,subject_name-5:subject_name_term.uri,subject_topic-1:subject_topic_term.value,subject_topic-1:subject_topic_term.authority,subject_topic-1:subject_topic_term.uri,subject_topic-2:subject_topic_term.value,subject_topic-2:subject_topic_term.authority,subject_topic-2:subject_topic_term.uri,subject_topic-3:subject_topic_term.value,subject_topic-3:subject_topic_term.authority,subject_topic-3:subject_topic_term.uri,subject_geographic-1:subject_geographic_term.value,subject_geographic-1:subject_geographic_term.authority,subject_geographic-1:subject_geographic_term.uri,subject_geographic-2:subject_geographic_term.value,subject_geographic-2:subject_geographic_term.authority,subject_geographic-2:subject_geographic_term.uri,abstract-1:abstract_value,note-1:note_value,publisher-1:publisher_value,place_of_origin-1:place_of_origin_value,restriction_on_access-1:restriction_on_access_value,use_and_reproduction-1:use_and_reproduction_term.value,use_and_reproduction-1:use_and_reproduction_term.authority,use_and_reproduction-1:use_and_reproduction_term.uri,_project.string_key
RBML_NYCCC_100131066,,item,,,,,,Making New York the World's Fashion Center,171,5,,New York Chamber of Commerce and Industry Records,http://id.library.columbia.edu/term/33a77de2-f4e2-4eec-ba82-07920d9ae22b,1,series,"Series III: Bulletins, 1909-1970",,,,New York Chamber of Commerce,corporate,naf,http://id.loc.gov/authorities/names/n50003293,Issuing body,marcrelator,http://id.loc.gov/vocabulary/relators/isb,TRUE,,,,,,,,,text,periodicals,aat,http://vocab.getty.edu/aat/300026657,,,,,,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,October 1940,1940-10,,,TRUE,English,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/eng,reformatted digital,,,,,,,,,,,,,,,,,,,,,Clothing trade,fast,http://id.worldcat.org/fast/00864754,,,,,,,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,,,,,"From Bulletin, Vol. 26, 1934 May-1935 April",New York Chamber of Commerce,New York,,In Copyright,rightsstatements,http://rightsstatements.org/vocab/InC/1.0/,
RBML_NYCCC_100131066_001,RBML_NYCCC_100131066,asset,original filename,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=RBML_NYCCC_100131066,filename,httpwwwcolumbia_b827929005.educgi-binculdevdlo2obj=rbml_nyccc_100131066,,page 125,,,2763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://exhibitions.library.columbia.edu/exhibits/show/nyccc/science/style,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,On-site Access,In Copyright,rightsstatements,http://rightsstatements.org/vocab/InC/1.0/, 
RBML_NYCCC_100131066_002,RBML_NYCCC_100131066,asset,original filename,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=RBML_NYCCC_100131066a,filename,httpwwwcolumbia_a9d40ffa62.educgi-binculdevdlo2obj=rbml_nyccc_100131066a,,page 126,,,2764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,On-site Access,In Copyright,rightsstatements,http://rightsstatements.org/vocab/InC/1.0/, 
RBML_NYCCC_100131066_003,RBML_NYCCC_100131066,asset,original filename,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=RBML_NYCCC_100131066b,filename,httpwwwcolumbia_b17c445b84.educgi-binculdevdlo2obj=rbml_nyccc_100131066b,,page 127,,,2765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,On-site Access,In Copyright,rightsstatements,http://rightsstatements.org/vocab/InC/1.0/, 
RBML_NYCCC_100131065a,,item,,,,,,"Ceremonies at George Washington Statue, April 30, 1939",171,4,,New York Chamber of Commerce and Industry Records,http://id.library.columbia.edu/term/33a77de2-f4e2-4eec-ba82-07920d9ae22b,1,series,"Series III: Bulletins, 1909-1970",,,,New York Chamber of Commerce,corporate,naf,http://id.loc.gov/authorities/names/n50003293,Issuing body,marcrelator,http://id.loc.gov/vocabulary/relators/isb,TRUE,,,,,,,,,still image,illustrations,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm005314,periodicals,aat,http://vocab.getty.edu/aat/300026657,,,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,"April 30, 1939",1939-04-30,,,TRUE,English,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/eng,reformatted digital,"Washington, George, 1732-1799",personal,naf,http://id.loc.gov/authorities/names/n86140996,,,,,,,,,,,,,,,,,Statues,fast,http://id.worldcat.org/fast/01132151,Presidents,fast,http://id.worldcat.org/fast/01075723,,,,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,,,,,"From Bulletin, Vol. 31, 1939 May-1940 April",New York Chamber of Commerce,New York,,In Copyright,rightsstatements,http://rightsstatements.org/vocab/InC/1.0/,
RBML_NYCCC_100131065a_001,RBML_NYCCC_100131065a,asset,original filename,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=RBML_NYCCC_100131065a,filename,httpwwwcolumbia_f80324b1e9.educgi-binculdevdlo2obj=rbml_nyccc_100131065a,,"Ceremonies at George Washington Statue, April 30, 1939",,,2762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://exhibitions.library.columbia.edu/exhibits/show/nyccc/memory/statue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,On-site Access,In Copyright,rightsstatements,http://rightsstatements.org/vocab/InC/1.0/, 
RBML_NYCCC_100131065,,item,,,,,,"Ceremonies at George Washington Statue, April 30, 1939",171,4,,New York Chamber of Commerce and Industry Records,http://id.library.columbia.edu/term/33a77de2-f4e2-4eec-ba82-07920d9ae22b,1,series,"Series III: Bulletins, 1909-1970",,,,New York Chamber of Commerce,corporate,naf,http://id.loc.gov/authorities/names/n50003293,Issuing body,marcrelator,http://id.loc.gov/vocabulary/relators/isb,TRUE,,,,,,,,,still image,illustrations,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm005314,periodicals,aat,http://vocab.getty.edu/aat/300026657,,,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,"April 30, 1939",1939-04-30,,,TRUE,English,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/eng,reformatted digital,"Washington, George, 1732-1799",personal,naf,http://id.loc.gov/authorities/names/n86140996,,,,,,,,,,,,,,,,,Statues,fast,http://id.worldcat.org/fast/01132151,Presidents,fast,http://id.worldcat.org/fast/01075723,,,,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,,,,,"From Bulletin, Vol. 31, 1939 May-1940 April",New York Chamber of Commerce,New York,,In Copyright,rightsstatements,http://rightsstatements.org/vocab/InC/1.0/,
RBML_NYCCC_100131065_001,RBML_NYCCC_100131065,asset,original filename,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=RBML_NYCCC_100131065,filename,httpwwwcolumbia_6c0c3958b4.educgi-binculdevdlo2obj=rbml_nyccc_100131065,,"Ceremonies at George Washington Statue, April 30, 1939",,,2761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://exhibitions.library.columbia.edu/exhibits/show/nyccc/memory/memory_contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,On-site Access,In Copyright,rightsstatements,http://rightsstatements.org/vocab/InC/1.0/, 
RBML_NYCCC_100131064,,item,,,,,,Who is an Employee?,262,12,,New York Chamber of Commerce and Industry Records,http://id.library.columbia.edu/term/33a77de2-f4e2-4eec-ba82-07920d9ae22b,1,series,"Series VI: Committees, 1822-1972",2,subseries,"Subseries VI.2: General Committees, 1822-1973 ",New York Chamber of Commerce. Committee on Industrial Problems and Relations,corporate,naf,http://id.loc.gov/authorities/names/no2020117408,Author,marcrelator,http://id.loc.gov/vocabulary/relators/aut,TRUE,,,,,,,,,text,printed ephemera,aat,http://vocab.getty.edu/aat/300264821,,,,,,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,December 1949,1949-12,,,TRUE,English,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/eng,reformatted digital,,,,,,,,,,,,,,,,,,,,,Employees,fast,http://id.worldcat.org/fast/00909111,Labor laws and legislation,fast,http://id.worldcat.org/fast/00989967,,,,United States,naf,http://id.loc.gov/authorities/names/n78095330,,,,"""This is a statement prepared by the Committee on Industrial Problems and Relations of the Chamber of Commerce of the State of New York, for presentation to the Chamber of Commerce at its meeting, January 5, 1950. December 1949""",,,,,In Copyright,rightsstatements,http://rightsstatements.org/vocab/InC/1.0/,
RBML_NYCCC_100131064_001,RBML_NYCCC_100131064,asset,original filename,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=RBML_NYCCC_100131064a,filename,httpwwwcolumbia_e9c5cf3fec.educgi-binculdevdlo2obj=rbml_nyccc_100131064a,,back,,,2760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,On-site Access,In Copyright,rightsstatements,http://rightsstatements.org/vocab/InC/1.0/, 
RBML_NYCCC_100131064_002,RBML_NYCCC_100131064,asset,original filename,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=RBML_NYCCC_100131064,filename,httpwwwcolumbia_eccccfb703.educgi-binculdevdlo2obj=rbml_nyccc_100131064,,front,,,2759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,On-site Access,In Copyright,rightsstatements,http://rightsstatements.org/vocab/InC/1.0/, 
RBML_NYCCC_100131063,,item,,,,,,"Resolution to Establish the Committee on Industrial Problems and Relations, December 4, 1916",262,11,,New York Chamber of Commerce and Industry Records,http://id.library.columbia.edu/term/33a77de2-f4e2-4eec-ba82-07920d9ae22b,1,series,"Series VI: Committees, 1822-1972",2,subseries,"Subseries VI.2: General Committees, 1822-1973 ",New York Chamber of Commerce,corporate,naf,http://id.loc.gov/authorities/names/n50003293,Author,marcrelator,http://id.loc.gov/vocabulary/relators/aut,TRUE,,,,,,,,,text,documents,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm003185,,,,,,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,"December 4, 1916",1916-12-04,,,TRUE,English,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/eng,reformatted digital,New York Chamber of Commerce. Committee on Industrial Problems and Relations,corporate,naf,http://id.loc.gov/authorities/names/no2020117408,,,,,,,,,,,,,,,,,Strikes and lockouts,fast,http://id.worldcat.org/fast/01135030,,,,,,,New York (State),naf,http://id.loc.gov/authorities/names/n80126293,,,,,,,,,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/, 
RBML_NYCCC_100131063_001,RBML_NYCCC_100131063,asset,original filename,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=RBML_NYCCC_100131063,filename,httpwwwcolumbia_915fff9918.educgi-binculdevdlo2obj=rbml_nyccc_100131063,,"Resolution to Establish the Committee on Industrial Problems and Relations, December 4, 1916",,,2758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,
RBML_NYCCC_100131062,,item,,,,,,North River Bridge Sketch,262,8,,New York Chamber of Commerce and Industry Records,http://id.library.columbia.edu/term/33a77de2-f4e2-4eec-ba82-07920d9ae22b,1,series,"Series VI: Committees, 1822-1972",2,subseries,"Subseries VI.2: General Committees, 1822-1973 ","Hildenbrand, Wilhelm",personal,naf,http://id.loc.gov/authorities/names/no93003419,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,TRUE,,,,,,,,,still image,architectural drawings,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm000455,,,,,,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,"July 12, 1894",1894-07-12,,,TRUE,English,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/eng,reformatted digital,,,,,,,,,,,,,,,,,,,,,Bridges--Design and construction,fast,http://id.worldcat.org/fast/00838690,Suspension bridges--Design and construction,fast,http://id.worldcat.org/fast/01139696,,,,,,,,,,,,,,,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/, 
