identifier_omeka,identifier_title,title,partName,relatedItem_collection,name_primary,name_primary_authority,name_primary_authority_identifier,keyDate_start,keyDate_end,dateQualifier,dateCreated,abstract,typeOfResource,language,language_authority,language_authority_identifier,physicalLocation,physicalLocation_authority,physicalLocation_authority_identifier,shelfLocator,note_filename,note_filename_2,digitalOrigin,form,form_authority,form_authority_identifier,place,place_authority_identifier,publisher,languageOfCataloging,identifier_clio,location_url_ObjectInContext
omeka_6823,readingofbooks_tzv_000,Sixteenth-century Commonplace Book,Front cover,The Reading of Books and the Reading of Literature ,,,,1400 ,1499,approximate,circa 1400-1499,This commonplace book is bound in a leaf from a fifteenth-century ferial psalter. ,still image,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,"Rare Book and Manuscript Library, Columbia University",NNC-RB,http://id.loc.gov/authorities/names/n78009986,Plimpton MS 276,http://ldpd.lampdev.columbia.edu/o/DS-8719.jpg,original filename: 8719.tif,Reformatted Digital,manuscripts,lcsh,http://id.loc.gov/authorities/subjects/sh85080672,England,http://id.loc.gov/authorities/names/n82068148,,eng,,
omeka_6822,readingofbooks_lbc_171b,Confessio Amantis,Folio 171v,The Reading of Books and the Reading of Literature ,"Gower, John, 1325?-1408",naf,http://id.loc.gov/authorities/names/n81039793,1400 ,1415,approximate,circa 1400-1415,Drawings by an early reader plus an illuminated letter cut out.,still image,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,"Rare Book and Manuscript Library, Columbia University",NNC-RB,http://id.loc.gov/authorities/names/n78009986,Plimpton MS 265,0009992.jpg,original filename: 0009992.tif,Reformatted Digital,books,aat,http://vocab.getty.edu/aat/300028051,England,http://id.loc.gov/authorities/names/n82068148,,eng,,https://exhibitions.cul.columbia.edu/exhibits/show/reading/englishcanon/msconfessio
omeka_6821,readingofbooks_lbc_076a,Confessio Amantis,Folio 76r,The Reading of Books and the Reading of Literature ,"Gower, John, 1325?-1408",naf,http://id.loc.gov/authorities/names/n81039793,1400 ,1415,approximate,circa 1400-1415,Marginal note by an early reader.,still image,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,"Rare Book and Manuscript Library, Columbia University",NNC-RB,http://id.loc.gov/authorities/names/n78009986,Plimpton MS 265,http://ldpd.lampdev.columbia.edu/o/DS-8290.jpg,original filename: 8290.tif,Reformatted Digital,books,aat,http://vocab.getty.edu/aat/300028051,England,http://id.loc.gov/authorities/names/n82068148,,eng,,https://exhibitions.cul.columbia.edu/exhibits/show/reading/englishcanon/msconfessio
omeka_6820,readingofbooks_lbc_053a,Confessio Amantis,Folio 53r,The Reading of Books and the Reading of Literature ,"Gower, John, 1325?-1408",naf,http://id.loc.gov/authorities/names/n81039793,1400 ,1415,approximate,circa 1400-1415,Illuminated leaf cut out.,still image,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,"Rare Book and Manuscript Library, Columbia University",NNC-RB,http://id.loc.gov/authorities/names/n78009986,Plimpton MS 265,0009991.jpg,original filename: 0009991.tif,Reformatted Digital,books,aat,http://vocab.getty.edu/aat/300028051,England,http://id.loc.gov/authorities/names/n82068148,,eng,,https://exhibitions.cul.columbia.edu/exhibits/show/reading/englishcanon/msconfessio
omeka_6819,readingofbooks_lbc_037a,Confessio Amantis,Folio 37r,The Reading of Books and the Reading of Literature ,"Gower, John, 1325?-1408",naf,http://id.loc.gov/authorities/names/n81039793,1400 ,1415,approximate,circa 1400-1415,Incipit liber tertius.,still image,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,"Rare Book and Manuscript Library, Columbia University",NNC-RB,http://id.loc.gov/authorities/names/n78009986,Plimpton MS 265,http://ldpd.lampdev.columbia.edu/o/DS-8287.jpg,original filename: 8287.tif,Reformatted Digital,books,aat,http://vocab.getty.edu/aat/300028051,England,http://id.loc.gov/authorities/names/n82068148,,eng,,https://exhibitions.cul.columbia.edu/exhibits/show/reading/englishcanon/msconfessio
omeka_6818,readingofbooks_lbc_001b,Confessio Amantis,Folio 1v,The Reading of Books and the Reading of Literature ,"Gower, John, 1325?-1408",naf,http://id.loc.gov/authorities/names/n81039793,1400 ,1415,approximate,circa 1400-1415,Miniature of the dream of Nabuchodonosor.,still image,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,"Rare Book and Manuscript Library, Columbia University",NNC-RB,http://id.loc.gov/authorities/names/n78009986,Plimpton MS 265,http://ldpd.lampdev.columbia.edu/o/DS-8285.jpg,original filename: 8285.tif,Reformatted Digital,books,aat,http://vocab.getty.edu/aat/300028051,England,http://id.loc.gov/authorities/names/n82068148,,eng,,https://exhibitions.cul.columbia.edu/exhibits/show/reading/englishcanon/canonicalbooks
omeka_6817,readingofbooks_tzz_054a,Fifteenth-Century Commonplace Book,Folio 54r,The Reading of Books and the Reading of Literature ,,,,1450 ,1475,approximate,circa 1450-1475,Sayings of philosophers.,still image,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,"Rare Book and Manuscript Library, Columbia University",NNC-RB,http://id.loc.gov/authorities/names/n78009986,Plimpton MS 259,http://ldpd.lampdev.columbia.edu/o/DS-6056.jpg,original filename: 6056.tif,Reformatted Digital,manuscripts,lcsh,http://id.loc.gov/authorities/subjects/sh85080672,England,http://id.loc.gov/authorities/names/n82068148,,eng,,https://exhibitions.cul.columbia.edu/exhibits/show/reading/compiling/fifteenthcenturycommonplaceboo
omeka_6816,readingofbooks_tzz_014a,Fifteenth-Century Commonplace Book,Folio 14r,The Reading of Books and the Reading of Literature ,,,,1450 ,1475,approximate,circa 1450-1475,Proverbs in Latin and English.,still image,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,"Rare Book and Manuscript Library, Columbia University",NNC-RB,http://id.loc.gov/authorities/names/n78009986,Plimpton MS 259,0009995.jpg,original filename: 0009995.tif,Reformatted Digital,manuscripts,lcsh,http://id.loc.gov/authorities/subjects/sh85080672,England,http://id.loc.gov/authorities/names/n82068148,,eng,,https://exhibitions.cul.columbia.edu/exhibits/show/reading/compiling/fifteenthcenturycommonplaceboo
omeka_6815,readingofbooks_tzz_011a,Fifteenth-Century Commonplace Book,Folio 11r,The Reading of Books and the Reading of Literature ,,,,1450 ,1475,approximate,circa 1450-1475,Words of a good horse.,still image,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,"Rare Book and Manuscript Library, Columbia University",NNC-RB,http://id.loc.gov/authorities/names/n78009986,Plimpton MS 259,0009994.jpg,original filename: 0009994.tif,Reformatted Digital,manuscripts,lcsh,http://id.loc.gov/authorities/subjects/sh85080672,England,http://id.loc.gov/authorities/names/n82068148,,eng,,https://exhibitions.cul.columbia.edu/exhibits/show/reading/compiling/fifteenthcenturycommonplaceboo
omeka_6814,readingofbooks_tzz_008a,Fifteenth-Century Commonplace Book,Folio 8r,The Reading of Books and the Reading of Literature ,,,,1450 ,1475,approximate,circa 1450-1475,Found in an old book.,still image,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,"Rare Book and Manuscript Library, Columbia University",NNC-RB,http://id.loc.gov/authorities/names/n78009986,Plimpton MS 259,0009993.jpg,original filename: 0009993.tif,Reformatted Digital,manuscripts,lcsh,http://id.loc.gov/authorities/subjects/sh85080672,England,http://id.loc.gov/authorities/names/n82068148,,eng,,https://exhibitions.cul.columbia.edu/exhibits/show/reading/compiling/fifteenthcenturycommonplaceboo
omeka_6813,readingofbooks_wtb_013,Confessio Amantis,Signature B1v-B2r,The Reading of Books and the Reading of Literature ,"Gower, John, 1325?-1408",naf,http://id.loc.gov/authorities/names/n81039793,1554 ,,exact,1554,Beginning of Book 1.,still image,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,"Rare Book and Manuscript Library, Columbia University",NNC-RB,http://id.loc.gov/authorities/names/n78009986,PR1984 .C6 1554,http://ldpd.lampdev.columbia.edu/o/120034049.jpg,original filename: 120034049.tif,Reformatted Digital,books,aat,http://vocab.getty.edu/aat/300028051,England,http://id.loc.gov/authorities/names/n82068148,Thomas Berthelette,eng,367502,https://exhibitions.cul.columbia.edu/exhibits/show/reading/idealcopy/confessioamantis
omeka_6812,readingofbooks_wtb_004,Confessio Amantis,Signature  *2v-*3r,The Reading of Books and the Reading of Literature ,"Gower, John, 1325?-1408",naf,http://id.loc.gov/authorities/names/n81039793,1554,,exact,1554,Table of contents.,still image,,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,"Rare Book and Manuscript Library, Columbia University",NNC-RB,http://id.loc.gov/authorities/names/n78009986,PR1984 .C6 1554,http://ldpd.lampdev.columbia.edu/o/120034048.jpg,original filename: 120034048.tif,Reformatted Digital,books,aat,http://vocab.getty.edu/aat/300028051,England,http://id.loc.gov/authorities/names/n82068148,Thomas Berthelette,eng,367502,https://exhibitions.cul.columbia.edu/exhibits/show/reading/idealcopy/confessioamantis
omeka_6811,readingofbooks_wtb_002,Confessio Amantis,Signature  *1v-*2r,The Reading of Books and the Reading of Literature ,"Gower, John, 1325?-1408",naf,http://id.loc.gov/authorities/names/n81039793,1554,,exact,1554,Beginning of dedicatory epistle.,still image,,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,"Rare Book and Manuscript Library, Columbia University",NNC-RB,http://id.loc.gov/authorities/names/n78009986,PR1984 .C6 1554,http://ldpd.lampdev.columbia.edu/o/120034047.jpg,original filename: 120034047.tif,Reformatted Digital,books,aat,http://vocab.getty.edu/aat/300028051,England,http://id.loc.gov/authorities/names/n82068148,Thomas Berthelette,eng,367502,https://exhibitions.cul.columbia.edu/exhibits/show/reading/idealcopy/confessioamantis
omeka_6810,readingofbooks_wtb_001,Confessio Amantis,Title page,The Reading of Books and the Reading of Literature ,"Gower, John, 1325?-1408",naf,http://id.loc.gov/authorities/names/n81039793,1554,,exact,1554,Title page.,still image,,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,"Rare Book and Manuscript Library, Columbia University",NNC-RB,http://id.loc.gov/authorities/names/n78009986,PR1984 .C6 1554,http://ldpd.lampdev.columbia.edu/o/120034046.jpg,original filename: 120034046.tif,Reformatted Digital,books,aat,http://vocab.getty.edu/aat/300028051,England,http://id.loc.gov/authorities/names/n82068148,Thomas Berthelette,eng,367502,https://exhibitions.cul.columbia.edu/exhibits/show/reading/idealcopy/confessioamantis
omeka_6809,readingofbooks_qia_524,Workes of Benjamin Jonson,Page 524,The Reading of Books and the Reading of Literature ,"Jonson, Benjamin, 1573?-1637",naf,http://id.loc.gov/authorities/names/n80044918,1616,,exact,1616,A note describing the original performance.,still image,,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,"Rare Book and Manuscript Library, Columbia University",NNC-RB,http://id.loc.gov/authorities/names/n78009986,PR2600 1616,http://ldpd.lampdev.columbia.edu/o/120034045.jpg,original filename: 120034045.tif,Reformatted Digital,books,aat,http://vocab.getty.edu/aat/300028051,London,,William Stansby,eng,7315518,https://exhibitions.cul.columbia.edu/exhibits/show/reading/imaginingtheauthor/jonsonfolio
omeka_6808,readingofbooks_qia_448,Workes of Benjamin Jonson,Pages 448-49,The Reading of Books and the Reading of Literature ,"Jonson, Benjamin, 1573?-1637",naf,http://id.loc.gov/authorities/names/n80044918,1616,,exact,1616,"""The persons of the play"" and the beginning of Volpone. ",still image,,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,"Rare Book and Manuscript Library, Columbia University",NNC-RB,http://id.loc.gov/authorities/names/n78009986,PR2600 1616,http://ldpd.lampdev.columbia.edu/o/120034044.jpg,original filename: 120034044.tif,Reformatted Digital,books,aat,http://vocab.getty.edu/aat/300028051,London,,William Stansby,eng,7315518,https://exhibitions.cul.columbia.edu/exhibits/show/reading/imaginingtheauthor/jonsonfolio
omeka_6807,readingofbooks_qia_439,Workes of Benjamin Jonson,Page 439,The Reading of Books and the Reading of Literature ,"Jonson, Benjamin, 1573?-1637",naf,http://id.loc.gov/authorities/names/n80044918,1616,,exact,1616,Title page of Volpone. ,still image,,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,"Rare Book and Manuscript Library, Columbia University",NNC-RB,http://id.loc.gov/authorities/names/n78009986,PR2600 1616,http://ldpd.lampdev.columbia.edu/o/120034043.jpg,original filename: 120034043.tif,Reformatted Digital,books,aat,http://vocab.getty.edu/aat/300028051,London,,William Stansby,eng,7315518,https://exhibitions.cul.columbia.edu/exhibits/show/reading/imaginingtheauthor/jonsonfolio
omeka_6806,readingofbooks_qia_001,Workes of Benjamin Jonson,Title page,The Reading of Books and the Reading of Literature ,"Jonson, Benjamin, 1573?-1637",naf,http://id.loc.gov/authorities/names/n80044918,1616,,exact,1616,Title page of the Jonson Folio.,still image,,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,"Rare Book and Manuscript Library, Columbia University",NNC-RB,http://id.loc.gov/authorities/names/n78009986,PR2600 1616,http://ldpd.lampdev.columbia.edu/o/120034042.jpg,original filename: 120034042.tif,Reformatted Digital,books,aat,http://vocab.getty.edu/aat/300028051,London,,William Stansby,eng,7315518,https://exhibitions.cul.columbia.edu/exhibits/show/reading/imaginingtheauthor/jonsonfolio
omeka_6805,readingofbooks_ewf_088,Tragedy of Hamlet Prince of Denmark,Signature  Page 88,The Reading of Books and the Reading of Literature ,"Shakespeare, William, 1564-1616",naf,http://id.loc.gov/authorities/names/n78095332,1683,,exact,1683,The last page of the play. Note the last line was deleted for performance.,still image,,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,"Rare Book and Manuscript Library, Columbia University",NNC-RB,http://id.loc.gov/authorities/names/n78009986,PR3415 .L6 1694g ,http://ldpd.lampdev.columbia.edu/o/120034041.jpg,original filename: 120034041.tif,Reformatted Digital,books,aat,http://vocab.getty.edu/aat/300028051,London,,H. Heringman and R. Bentley,eng,7217358,
omeka_6804,readingofbooks_ewf_016,Tragedy of Hamlet Prince of Denmark,Signature C2v-C3r,The Reading of Books and the Reading of Literature ,"Shakespeare, William, 1564-1616",naf,http://id.loc.gov/authorities/names/n78095332,1683,,exact,1683,"Pages with "", which marks lines deleted during performance",still image,,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,"Rare Book and Manuscript Library, Columbia University",NNC-RB,http://id.loc.gov/authorities/names/n78009986,PR3415 .L6 1694g ,http://ldpd.lampdev.columbia.edu/o/120034040.jpg,original filename: 120034040.tif,Reformatted Digital,books,aat,http://vocab.getty.edu/aat/300028051,London,,H. Heringman and R. Bentley,eng,7217358,https://exhibitions.cul.columbia.edu/exhibits/show/reading/englishcanon/hamlet
omeka_6803,readingofbooks_ewf_004,Tragedy of Hamlet Prince of Denmark,Signature A2r,The Reading of Books and the Reading of Literature ,"Shakespeare, William, 1564-1616",naf,http://id.loc.gov/authorities/names/n78095332,1683,,exact,1683,A note to the reader about excisions to the text made during performance.,still image,,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,"Rare Book and Manuscript Library, Columbia University",NNC-RB,http://id.loc.gov/authorities/names/n78009986,PR3415 .L6 1694g ,http://ldpd.lampdev.columbia.edu/o/120034039.jpg,original filename: 120034039.tif,Reformatted Digital,books,aat,http://vocab.getty.edu/aat/300028051,London,,H. Heringman and R. Bentley,eng,7217358,https://exhibitions.cul.columbia.edu/exhibits/show/reading/englishcanon/hamlet
omeka_6802,readingofbooks_ewf_001,Tragedy of Hamlet Prince of Denmark,Title page,The Reading of Books and the Reading of Literature ,"Shakespeare, William, 1564-1616",naf,http://id.loc.gov/authorities/names/n78095332,1683,,exact,1683,Title page of Hamlet. ,still image,,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,"Rare Book and Manuscript Library, Columbia University",NNC-RB,http://id.loc.gov/authorities/names/n78009986,PR3415 .L6 1694g ,http://ldpd.lampdev.columbia.edu/o/120034038.jpg,original filename: 120034038.tif,Reformatted Digital,books,aat,http://vocab.getty.edu/aat/300028051,London,,H. Heringman and R. Bentley,eng,7217358,https://exhibitions.cul.columbia.edu/exhibits/show/reading/englishcanon/hamlet
omeka_6801,readingofbooks_ewf_000,Tragedy of Hamlet Prince of Denmark,Flyleaf (facing title page of Love Triumphant),The Reading of Books and the Reading of Literature ,"Shakespeare, William, 1564-1616",naf,http://id.loc.gov/authorities/names/n78095332,1683,,exact,1683,Handwritten table of contents. ,still image,,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,"Rare Book and Manuscript Library, Columbia University",NNC-RB,http://id.loc.gov/authorities/names/n78009986,PR3415 .L6 1694g ,http://ldpd.lampdev.columbia.edu/o/120034037.jpg,original filename: 120034037.tif,Reformatted Digital,books,aat,http://vocab.getty.edu/aat/300028051,London,,H. Heringman and R. Bentley,eng,7217358,https://exhibitions.cul.columbia.edu/exhibits/show/reading/englishcanon/hamlet
omeka_6800,readingofbooks_ubh_107,Vision of Pierce Plowman,Signature N2r,The Reading of Books and the Reading of Literature ,"Langland, William, 1330?-1400?",naf,http://id.loc.gov/authorities/names/n78095389,1550,,exact,1550,"Bossy printed marginalia. ""Reade thys,"" it instructs.",still image,,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,"Rare Book and Manuscript Library, Columbia University",NNC-RB,http://id.loc.gov/authorities/names/n78009986,Phoenix P821.15 I,http://ldpd.lampdev.columbia.edu/o/120034036.jpg,original filename: 120034036.tif|2nd edition,Reformatted Digital,books,aat,http://vocab.getty.edu/aat/300028051,London,,Robert Crowley,eng,7483409,https://exhibitions.cul.columbia.edu/exhibits/show/reading/englishcanon/pierceplowman
omeka_6799,readingofbooks_ubh_017,Vision of Pierce Plowman,Signature B1r,The Reading of Books and the Reading of Literature ,"Langland, William, 1330?-1400?",naf,http://id.loc.gov/authorities/names/n78095389,1550,,exact,1550,One of the book's annotators glossed the hard words in the margins.,still image,,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,"Rare Book and Manuscript Library, Columbia University",NNC-RB,http://id.loc.gov/authorities/names/n78009986,Phoenix P821.15 I,http://ldpd.lampdev.columbia.edu/o/120034035.jpg,original filename: 120034035.tif|2nd edition,Reformatted Digital,books,aat,http://vocab.getty.edu/aat/300028051,London,,Robert Crowley,eng,7483409,https://exhibitions.cul.columbia.edu/exhibits/show/reading/englishcanon/pierceplowman
omeka_6798,readingofbooks_ubh_007,Vision of Pierce Plowman,Signature  [fleur di lis]3r,The Reading of Books and the Reading of Literature ,"Langland, William, 1330?-1400?",naf,http://id.loc.gov/authorities/names/n78095389,1550,,exact,1550,Text that  summarizes the poem's passus.,still image,,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,"Rare Book and Manuscript Library, Columbia University",NNC-RB,http://id.loc.gov/authorities/names/n78009986,Phoenix P821.15 I,http://ldpd.lampdev.columbia.edu/o/120034034.jpg,original filename: 120034034.tif|2nd edition,Reformatted Digital,books,aat,http://vocab.getty.edu/aat/300028051,London,,Robert Crowley,eng,7483409,https://exhibitions.cul.columbia.edu/exhibits/show/reading/englishcanon/pierceplowman
omeka_6797,readingofbooks_ubh_005,Vision of Pierce Plowman,Signature *2r,The Reading of Books and the Reading of Literature ,"Langland, William, 1330?-1400?",naf,http://id.loc.gov/authorities/names/n78095389,1550,,exact,1550,"Crowley's letter to the reader. Like Bale, Crowley packages the fourteenth-century poet as a proto-reformer. ",still image,,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,"Rare Book and Manuscript Library, Columbia University",NNC-RB,http://id.loc.gov/authorities/names/n78009986,Phoenix P821.15 I,http://ldpd.lampdev.columbia.edu/o/120034033.jpg,original filename: 120034033.tif|2nd edition,Reformatted Digital,books,aat,http://vocab.getty.edu/aat/300028051,London,,Robert Crowley,eng,7483409,https://exhibitions.cul.columbia.edu/exhibits/show/reading/englishcanon/pierceplowman
