identifier_omeka,item - public,item - featured,note,keyDate_start,form,	relatedItem_collection,dateQualifier,shelfLocator,physicalLocation,place,digitalOrigin,languageOfCataloging,name_primary,title,dateCreated,abstract,language,note_filename,typeOfResource,relatedItem_Project
7645,1,0,school papers-8th grade|Original filename: 130058154.tif,1935 1936,drawings,Barney Rosset papers,inferred,"Box 1, Folder 1","Rare Book and Manuscript Library, Columbia University","Chicago, Illinois",,,"Rosset, Barney",Chinese drawing (vase),School year 1935-1936,,,http://ldpd.cul.columbia.edu/rosset_china_130058/130058154.jpg,Still Image,"Barney Rosset and China
"
7644,1,0,school papers-8th grade|Original filename: 130058153.tif,1935 1936,manuscripts,Barney Rosset papers,inferred,"Box 1, Folder 1","Rare Book and Manuscript Library, Columbia University","Chicago, Illinois",,,"Rosset, Barney",Chinese History Test: page 2,School year 1935-1936,,,http://ldpd.cul.columbia.edu/rosset_china_130058/130058153.jpg,Still Image,"Barney Rosset and China
"
7643,1,0,school papers-8th grade|Original filename: 130058152.tif,1935 1936,manuscripts,Barney Rosset papers,inferred,"Box 1, Folder 1","Rare Book and Manuscript Library, Columbia University","Chicago, Illinois",,,"Rosset, Barney",Chinese History Test: page 1,School year 1935-1936,,,http://ldpd.cul.columbia.edu/rosset_china_130058/130058152.jpg,Still Image,"Barney Rosset and China
"
7642,1,0,school papers-8th grade|Original filename: 130058151.tif,1935 1936,manuscripts,Barney Rosset papers,inferred,"Box 1, Folder 1","Rare Book and Manuscript Library, Columbia University","Chicago, Illinois",,,"Rosset, Barney",Chinese History Test-Chou Dynasty: page 5,School year 1935-1936,,,http://ldpd.cul.columbia.edu/rosset_china_130058/130058151.jpg,Still Image,"Barney Rosset and China
"
7641,1,0,school papers-8th grade|Original filename: 130058150.tif,1935 1936,manuscripts,Barney Rosset papers,inferred,"Box 1, Folder 1","Rare Book and Manuscript Library, Columbia University","Chicago, Illinois",,,"Rosset, Barney","Chinese History Test-Chou Dynasty: page 4, back",School year 1935-1936,,,http://ldpd.cul.columbia.edu/rosset_china_130058/130058150.jpg,Still Image,"Barney Rosset and China
"
7640,1,0,school papers-8th grade|Original filename: 130058149.tif,1935 1936,manuscripts,Barney Rosset papers,inferred,"Box 1, Folder 1","Rare Book and Manuscript Library, Columbia University","Chicago, Illinois",,,"Rosset, Barney",Chinese History Test-Chou Dynasty: page 3,School year 1935-1936,,,http://ldpd.cul.columbia.edu/rosset_china_130058/130058149.jpg,Still Image,"Barney Rosset and China
"
7639,1,0,school papers-8th grade|Original filename: 130058148.tif,1935 1936,manuscripts,Barney Rosset papers,inferred,"Box 1, Folder 1","Rare Book and Manuscript Library, Columbia University","Chicago, Illinois",,,"Rosset, Barney","Chinese History Test-Chou Dynasty: page 2, back",School year 1935-1936,,,http://ldpd.cul.columbia.edu/rosset_china_130058/130058148.jpg,Still Image,"Barney Rosset and China
"
7638,1,0,school papers-8th grade|Original filename: 130058147.tif,1935 1936,manuscripts,Barney Rosset papers,inferred,"Box 1, Folder 1","Rare Book and Manuscript Library, Columbia University","Chicago, Illinois",,,"Rosset, Barney",Chinese History Test-Chou Dynasty: page 1,School year 1935-1936,,,http://ldpd.cul.columbia.edu/rosset_china_130058/130058147.jpg,Still Image,"Barney Rosset and China
"
7637,1,0,school papers-8th grade|Original filename: 130058146.tif,1935 1936,maps,Barney Rosset papers,inferred,"Box 1, Folder 1","Rare Book and Manuscript Library, Columbia University","Chicago, Illinois",,,"Rosset, Barney",China and Japan Map-colored in,School year 1935-1936,,,http://ldpd.cul.columbia.edu/rosset_china_130058/130058146.jpg,Still Image,"Barney Rosset and China
"
7636,1,0,school papers-8th grade|Original filename: 130058145.tif,1935 1936,maps,Barney Rosset papers,inferred,"Box 1, Folder 1","Rare Book and Manuscript Library, Columbia University","Chicago, Illinois",,,"Rosset, Barney",China and Japan Map: front,School year 1935-1936,,,http://ldpd.cul.columbia.edu/rosset_china_130058/130058145.jpg,Still Image,"Barney Rosset and China
"
7635,1,0,school papers-8th grade|Original filename: 130058144.tif,1935 1936,manuscripts,Barney Rosset papers,inferred,"Box 1, Folder 1","Rare Book and Manuscript Library, Columbia University","Chicago, Illinois",,,"Rosset, Barney",Chinese House,School year 1935-1936,,,http://ldpd.cul.columbia.edu/rosset_china_130058/130058144.jpg,Still Image,"Barney Rosset and China
"
7634,1,0,school papers-8th grade|Original filename: 130058143.tif,1935 1936,manuscripts,Barney Rosset papers,inferred,"Box 1, Folder 1","Rare Book and Manuscript Library, Columbia University","Chicago, Illinois",,,"Rosset, Barney",Chinese History Test-Sung Dynasty: page 3,School year 1935-1936,,,http://ldpd.cul.columbia.edu/rosset_china_130058/130058143.jpg,Still Image,"Barney Rosset and China
"
7633,1,0,school papers-8th grade|Original filename: 130058142.tif,1935 1936,manuscripts,Barney Rosset papers,inferred,"Box 1, Folder 1","Rare Book and Manuscript Library, Columbia University","Chicago, Illinois",,,"Rosset, Barney","Chinese History Test-Sung Dynasty: page 2, back",School year 1935-1936,,,http://ldpd.cul.columbia.edu/rosset_china_130058/130058142.jpg,Still Image,"Barney Rosset and China
"
7632,1,0,school papers-8th grade|Original filename: 130058141.tif,1935 1936,manuscripts,Barney Rosset papers,inferred,"Box 1, Folder 1","Rare Book and Manuscript Library, Columbia University","Chicago, Illinois",,,"Rosset, Barney",Chinese History Test-Sung Dynasty: page 1,School year 1935-1936,,,http://ldpd.cul.columbia.edu/rosset_china_130058/130058141.jpg,Still Image,"Barney Rosset and China
"
7631,1,0,school papers-8th grade|Original filename: 130058140.tif,1935 1936,manuscripts,Barney Rosset papers,inferred,"Box 1, Folder 1","Rare Book and Manuscript Library, Columbia University","Chicago, Illinois",,,"Rosset, Barney",China Timeline,School year 1935-1936,,,http://ldpd.cul.columbia.edu/rosset_china_130058/130058140.jpg,Still Image,"Barney Rosset and China
"
7630,1,0,school papers-8th grade|Original filename: 130058139.tif,1935 1936,manuscripts,Barney Rosset papers,inferred,"Box 1, Folder 1","Rare Book and Manuscript Library, Columbia University","Chicago, Illinois",,,"Rosset, Barney",Chinese History Test T'Ang Dynasty: back,School year 1935-1936,,,http://ldpd.cul.columbia.edu/rosset_china_130058/130058139.jpg,Still Image,"Barney Rosset and China
"
7629,1,0,school papers-8th grade|Original filename: 130058138.tif,1935 1936,manuscripts,Barney Rosset papers,inferred,"Box 1, Folder 1","Rare Book and Manuscript Library, Columbia University","Chicago, Illinois",,,"Rosset, Barney",Chinese History Test T'ang Dynasty: front,School year 1935-1936,,,http://ldpd.cul.columbia.edu/rosset_china_130058/130058138.jpg,Still Image,"Barney Rosset and China
"
7628,1,0,Caption from reverse of photograph|Original filename: 130058137.tif,1945-07 ,photographs,Barney Rosset papers,exact,"Box 9, Folder 21 ","Rare Book and Manuscript Library, Columbia University","Liuchow, China",,,"Rosset, Barney|United States. Army. Signal Corps",Wrecked US plane w/ covered insignia: back,Jul. 45,CT-45-25428,,http://ldpd.cul.columbia.edu/rosset_china_130058/130058137.jpg,Still Image,"Barney Rosset and China
"
7627,1,0,Caption from reverse of photograph|Original filename: 130058136.tif,1945-07 ,photographs,Barney Rosset papers,exact,"Box 9, Folder 21 ","Rare Book and Manuscript Library, Columbia University","Liuchow, China",,,"Rosset, Barney|United States. Army. Signal Corps",Wrecked US plane w/ covered insignia: front,Jul. 45,CT-45-25428,,http://ldpd.cul.columbia.edu/rosset_china_130058/130058136.jpg,Still Image,"Barney Rosset and China
"
7626,1,0,Caption from reverse of photograph|Original filename: 130058135.tif,1945-06 ,photographs,Barney Rosset papers,exact,"Box 9, Folder 22 ","Rare Book and Manuscript Library, Columbia University","Kweiyang, China",,,"Rosset, Barney|United States. Army. Signal Corps",Soldiers of the 507th regiment: back,Jun. 45,CT-45-25418-13,,http://ldpd.cul.columbia.edu/rosset_china_130058/130058135.jpg,Still Image,"Barney Rosset and China
"
7625,1,0,Caption from reverse of photograph|Original filename: 130058134.tif,1945-06 ,photographs,Barney Rosset papers,exact,"Box 9, Folder 22 ","Rare Book and Manuscript Library, Columbia University","Kweiyang, China",,,"Rosset, Barney|United States. Army. Signal Corps",Soldiers of the 507th regiment: front,Jun. 45,CT-45-25418-13,,http://ldpd.cul.columbia.edu/rosset_china_130058/130058134.jpg,Still Image,"Barney Rosset and China
"
7584,1,0,Original filename: 130058133.tif,"1945-09-19
",photographs,Barney Rosset papers,exact,"Box 9, Folder 31","Rare Book and Manuscript Library, Columbia University","Shanghai, China",,,"Ewing, Lieutenant  |United States. Army. Signal Corps
",Aerial View Of Shanghai: verso,19-Sep-45,"CT-45-27477, Shanghai, China, 19 Sept 45",,http://ldpd.cul.columbia.edu/rosset_china_130058/130058133.jpg,Still Image,"Barney Rosset and China
"
7583,1,0,Original filename: 130058132.tif|Caption from reverse of photograph,"1945-06
",photographs,Barney Rosset papers,exact,"Box 9, Folder 28","Rare Book and Manuscript Library, Columbia University","Tatang, China|Liuchow, China",,,"Rosset, Barney|United States. Army. Signal Corps
",Repaired Bridge In Kweiyang: verso,Jun-45,"CT-45-25418-8, Kweiyang, China, June 45",,http://ldpd.cul.columbia.edu/rosset_china_130058/130058132.jpg,Still Image,"Barney Rosset and China
"
7582,1,0,Original filename: 130058131.tif|Caption from reverse of photograph,1945-05-08,photographs,Barney Rosset papers,exact,"Box 9, Folder 27
","Rare Book and Manuscript Library, Columbia University","Kunming, China",,,,Chinese Looking At Propaganda Poster: verso,8-May-45,"CT-45-23913, Kunming, China, 8 May 1945",,http://ldpd.cul.columbia.edu/rosset_china_130058/130058131.jpg,Still Image,"Barney Rosset and China
"
7581,1,0,Original filename: 130058130.tif|Caption provided by Barney Rosset,1996-11,photographs,Barney Rosset papers,exact,"Box 9, Folder 39","Rare Book and Manuscript Library, Columbia University","Kunming, China",,,"Rosset, Barney",Kunming 1996 River Bank,Nov-96,"Kunming Canal seen from bridge, contrasting old and new",,http://ldpd.cul.columbia.edu/rosset_china_130058/130058130.jpg,Still Image,"Barney Rosset and China
"
7580,1,0,Original filename: 130058129.tif|Caption provided by Barney Rosset,1996-11,photographs,Barney Rosset papers,exact,"Box 9, Folder 39","Rare Book and Manuscript Library, Columbia University","Kunming, China",,,"Rosset, Barney","Kunming 1996 River, Head-on",Nov-96,,,http://ldpd.cul.columbia.edu/rosset_china_130058/130058129.jpg,Still Image,"Barney Rosset and China
"
7579,1,0,Original filename: 130058128.tif|Caption provided by Barney Rosset,1996-11,photographs,Barney Rosset papers,exact,"Box 9, Folder 39","Rare Book and Manuscript Library, Columbia University","Kunming, China",,,"Rosset, Barney",Kunming 1996 Intersection,Nov-96,"Central intersection, Kunming, Nov 1996",,http://ldpd.cul.columbia.edu/rosset_china_130058/130058128.jpg,Still Image,"Barney Rosset and China
"
7578,1,0,Original filename: 130058127.tif|Caption provided by Barney Rosset,1996-11,photographs,Barney Rosset papers,exact,"Box 9, Folder 38","Rare Book and Manuscript Library, Columbia University","Kunming, China",,,"Myers, Astrid",Kunming Airport With Barney Rosset--nov '96,Nov-96,"Barney Rosset, Kunming Airport, Nov, 1996",,http://ldpd.cul.columbia.edu/rosset_china_130058/130058127.jpg,Still Image,"Barney Rosset and China
"
7577,1,0,Original filename: 130058126.tif,1945-05,photographs,Barney Rosset papers,exact,"Box 9, Folder 34","Rare Book and Manuscript Library, Columbia University","Ankiang, China",,,"Gutman, John|United States. Army. Signal Corps
",Make-shift Bridge: verso,May-45,"CT-45-24947, Ankiang, China, May 45",,http://ldpd.cul.columbia.edu/rosset_china_130058/130058126.jpg,Still Image,"Barney Rosset and China
"
7576,1,0,Original filename: 130058125.tif|Caption from reverse of photograph,1945-05,photographs,Barney Rosset papers,exact,"Box 9, Folder 34","Rare Book and Manuscript Library, Columbia University","Ankiang, China",,,"Gutman, John|United States. Army. Signal Corps
",Make-shift Bridge: recto,May-45,"CT-45-24947, Ankiang, China, May 45",,http://ldpd.cul.columbia.edu/rosset_china_130058/130058125.jpg,Still Image,"Barney Rosset and China
"
7575,1,0,Original filename: 130058124.tif|Date and location inferred,1945-09-09,photographs,Barney Rosset papers,inferred,"Box 9, Folder 34","Rare Book and Manuscript Library, Columbia University","Nanking, China",,,"Rosset, Barney|United States. Army. Signal Corps
",Surrender Actually Signing,9-Sep-45,CT-45-26784,,http://ldpd.cul.columbia.edu/rosset_china_130058/130058124.jpg,Still Image,"Barney Rosset and China
"
7574,1,0,Original filename: 130058123.tif,1945-09-09,photographs,Barney Rosset papers,exact,"Box 9, Folder 34","Rare Book and Manuscript Library, Columbia University","Nanking, China",,,"Loeb, Lieutenant |United States. Army. Signal Corps
",Surrender Facing Tables: verso,9-Sep-45,"CT-45-27101, Nanking, China, 9 Sept 45",,http://ldpd.cul.columbia.edu/rosset_china_130058/130058123.jpg,Still Image,"Barney Rosset and China
"
7573,1,0,Original filename: 130058122.tif|Caption from reverse of photograph,1945-09-09,photographs,Barney Rosset papers,exact,"Box 9, Folder 34","Rare Book and Manuscript Library, Columbia University","Nanking, China",,,"Loeb, Lieutenant |United States. Army. Signal Corps
",Surrender Facing Tables: recto,9-Sep-45,"CT-45-27101, Nanking, China, 9 Sept 45",,http://ldpd.cul.columbia.edu/rosset_china_130058/130058122.jpg,Still Image,"Barney Rosset and China
"
7572,1,0,Original filename: 130058121.tif,1945-07-24,photographs,Barney Rosset papers,exact,"Box 9, Folder 34","Rare Book and Manuscript Library, Columbia University","Liuchow, China",,,"Shemorry, W. E.|United States. Army. Signal Corps
",Clearing Bridge Wreckage: verso,24-Jul-45,"CT-45-26457, Liuchow, China, 24 July 45",,http://ldpd.cul.columbia.edu/rosset_china_130058/130058121.jpg,Still Image,"Barney Rosset and China
"
7571,1,0,Original filename: 130058120.tif|Caption from reverse of photograph,1945-07-24,photographs,Barney Rosset papers,exact,"Box 9, Folder 34","Rare Book and Manuscript Library, Columbia University","Liuchow, China",,,"Shemorry, W. E.|United States. Army. Signal Corps
",Clearing Bridge Wreckage: recto,24-Jul-45,"CT-45-26457, Liuchow, China, 24 July 45",,http://ldpd.cul.columbia.edu/rosset_china_130058/130058120.jpg,Still Image,"Barney Rosset and China
"
7570,1,0,Original filename: 130058119.tif,1945,photographs,Barney Rosset papers,inferred,"Box 9, Folder 34","Rare Book and Manuscript Library, Columbia University",China,,,"Rosset, Barney|United States. Army. Signal Corps
",Camouflage Plane,1945,,,http://ldpd.cul.columbia.edu/rosset_china_130058/130058119.jpg,Still Image,"Barney Rosset and China
"
7569,1,0,Original filename: 130058118.tif,1945-07-19,photographs,Barney Rosset papers,exact,"Box 9, Folder 34","Rare Book and Manuscript Library, Columbia University","Kweiyang, China|Liuchow, China",,,"Shemorry, W. E.|United States. Army. Signal Corps
",Pontoon Ferry: verso,19-Jul-45,"CT-45-26448, Southeastern Front, 19 Jul 45",,http://ldpd.cul.columbia.edu/rosset_china_130058/130058118.jpg,Still Image,"Barney Rosset and China
"
7568,1,0,Original filename: 130058117.tif|Caption from reverse of photograph,1945-07-19,photographs,Barney Rosset papers,exact,"Box 9, Folder 34","Rare Book and Manuscript Library, Columbia University","Kweiyang, China|Liuchow, China",,,"Shemorry, W. E.|United States. Army. Signal Corps
",Pontoon Ferry: recto,19-Jul-45,"CT-45-26448, Southeastern Front, 19 Jul 45",,http://ldpd.cul.columbia.edu/rosset_china_130058/130058117.jpg,Still Image,"Barney Rosset and China
"
7567,1,0,Original filename: 130058116.tif,1945-09-16,photographs,Barney Rosset papers,exact,"Box 9, Folder 33","Rare Book and Manuscript Library, Columbia University","Canton, China",,,"Jones, Technician Fourth Grade |United States. Army. Signal Corps
",Tanaka And Buick: verso,16-Sep-45,"CT-45-27258, Canton, China, 16 Sept 45",,http://ldpd.cul.columbia.edu/rosset_china_130058/130058116.jpg,Still Image,"Barney Rosset and China
"
7566,1,0,Original filename: 130058115.tif|Caption from reverse of photograph,1945-09-16,photographs,Barney Rosset papers,exact,"Box 9, Folder 33","Rare Book and Manuscript Library, Columbia University","Canton, China",,,"Jones, Technician Fourth Grade |United States. Army. Signal Corps
",Tanaka And Buick: recto,16-Sep-45,"CT-45-27258, Canton, China, 16 Sept 45",,http://ldpd.cul.columbia.edu/rosset_china_130058/130058115.jpg,Still Image,"Barney Rosset and China
"
7565,1,0,Original filename: 130058114.tif,1945-08-25,photographs,Barney Rosset papers,exact,"Box 9, Folder 33","Rare Book and Manuscript Library, Columbia University","Chungking, China",,,"Gilliland, Technician Fifth Grade |United States. Army. Signal Corps
",Doolittle Raiders: verso,25-Aug-45,"CT-45-70,210, 8/25/45, Photo T/5 Gilliland, Three survivors of General Doolittle's Tokyo flight, released from Jap prison camp at Peiping, arrive at Chungking by air. Left to right: Cpl. Jacob D. DeShazer, 32, Madras, Ore.; 2nd Lt Robert L. Hite, 25, Earth, Tex.; 2nd Lt. Charles J. Wielsen, 28, Hyrum, Utah. Fourth man is Pvt. Eddie Laursen, El Monte, Calif., who was captured by Japs on Bataan.",,http://ldpd.cul.columbia.edu/rosset_china_130058/130058114.jpg,Still Image,"Barney Rosset and China
"
