identifier_omeka,item - public,item - featured,note,form,keyDate_start,dateQualifier,digitalOrigin,physicalLocation,relatedItem_collection,languageOfCataloging,shelfLocator,place,place 2,name_primary,dateCreated,title,language,abstract,subject_topic,accessCondition,publisher,identifier_clio,source,note_filename,	typeOfResource,relatedItem_Project,location_url_ObjectInContext,note_ownership,rightsHolder
7446,1,0,,correspondence,1989-03-15 ,ex,rd,nnc-rb,Ulysses Kay Papers,eng,"Box 94, Folder 13","New York, New York",,"Foss, Lukas, 1922-2009|Kay, Ulysses, 1917-1995","March 15, 1989",Letter from Lukas Foss to Ulysses Kay on his retirement,eng,,,,,,,Lehman Tribute Foss letter003.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/lehman-college/letters-of-congratulation,,
7445,1,0,,printed ephemera,1962-01-09 ,ex,rd,nnc-rb,Ulysses Kay Papers,eng,"Box 82, Folder 2","Jackson, Mississippi",,Hinds County (Miss.) Jail,"January 9, 1962",Hinds County Jail Committal Certificate for Barbara Kay,eng,"Barbara Kay participated in the Mississippi Freedom Rides during the summer of 1961. Arrested in Jackson, she was held in three jails including the Parchman Penitentiary for a total of about 60 days, after receiving a four-month sentence for ""Breach of the Peace."" ","Freedom Rides, 1961|Kay, Barbara, 1925-1997",,,,,Hinds County Jail010.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/barbara-kay/freedom-rider,,
7444,1,0,,photographs,1955 ,ex,rd,nnc-rb,Ulysses Kay Papers,eng,"Box 80, Folder 33",,,,1955,Ulysses Kay and Anahid Ajemian looking at sheet music,eng,,"Kay, Ulysses, 1917-1995|Ajemian, Anahid",,,,,Kay and Ajemion004.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,,,
7443,1,0,,photographs,1954 ,ex,rd,nnc-rb,Ulysses Kay Papers,eng,"Box 80, Folder 32",,,,1954,Ulysses Kay Talking with George Szell,eng,,"Kay, Ulysses, 1917-1995|Szell, George, 1897-1970",,,,,Kay and Szell006.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/orchestral-music/sinfonia-in-e,,
7442,1,0,,periodicals,1959-02 ,ex,rd,nnc-rb,Ulysses Kay Papers,eng,"Box 82, Folder 6",,,"Kay, Ulysses, 1917-1995","February, 1959","HiFi Review: Thirty Days In Musical Russia, cover",eng,,,,,,,Thirty Days photocopy007.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/state-department-mission-to-u-/u-s-s-r--trip,,
7441,1,0,,correspondence,1961-07-30 ,ex,rd,nnc-rb,Ulysses Kay Papers,eng,"Box 85, Folder 9","Parchman, Mississippi",,"Kay, Barbara, 1925-1997|Kay, Ulysses, 1917-1995","July 30, 1961",Letter to Ulysses Kay from Parchman Penitentiary,eng,"Letter from Barbara Kay to her husband Ulysses Kay. Barbara Kay participated in the Mississippi Freedom Rides during the summer of 1961. Arrested in Jackson, she was held in three jails including the Parchman Penitentiary for a total of about 60 days, after receiving a four-month sentence for ""Breach of the Peace."" ","Freedom Rides, 1961",,,,,Parchman Letter012.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/barbara-kay/freedom-rider,,
7440,1,0,,printed ephemera,1962 ,ap,rd,nnc-rb,Ulysses Kay Papers,eng,"Box 82, Folder 3","Englewood, New Jersey",,Englewood (N.J.) Movement,circa 1962,Englewood Movement Membership Card,eng,"Barbara Kay participated in the Englewood Movement, the first sit-in in the North, when Englewood residents took over city hall to protest racial segregation in the schools in 1962. ","Englewood (N.J.) Movement|Kay, Barbara, 1925-1997",,,,,Englewood Movement Card.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/barbara-kay/englewood-movement,,
7439,1,0,,video recordings,2007 ,ex,rd,pvt-coll,Image from Wikipedia,eng,,,,,2007,"Quiet One, front cover",eng,"The Quiet One film DVD Cover, taken from Wikipedia; film distributed by Mayer and Burstyn",,,Mayer and Burstyn,,,220px-The_Quiet_One_VideoCover.jpeg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/film-and-television-scores/the-quiet-one---film,,Mayer and Burstyn
7438,1,0,"Yale University Library, Irving S. Gilmore Music Library|Date inferred from Paul Hindemith life dates.",photographs,1940 1963,in,rd,pvt-coll,"Yale University Library, Irving S. Gilmore Music Library, Paul Hindemith Collection",eng,MSS 47,,,,between 1940 and 1963,Paul Hindemith,eng,,"Hindemith, Paul, 1895-1963",,,,,Hindemith Yale.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/eastman-and-yale/yale,,"Yale University Library, Irving S. Gilmore Music Library"
7437,1,0,"Courtesy of  Rosalie Calabrese, with permission|Date inferred from Ulysses Kay life dates.",photographs,1967 1995,in,rd,pvt-coll,Rosalie Calabrese personal collection,eng,,,,,between 1967 and 1995,"Rosalie Calabrese, Ulysses Kay, Miriam Gideon, and Ed Cramer
",eng,"Photograph of Rosalie Calabrese, Ulysses Kay, Miriam Gideon, and Ed Cramer BMI Vice President
","Calabrese, Rosalie|Kay, Ulysses, 1917-1995|Gideon, Miriam, 1906-1996|Cramer, Ed |American Composers Alliance ",,,,,CalabreseKayGideonCramer-1.JPG,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/american-composers-association/aca-membership,,"Courtesy of  Rosalie Calabrese, with permission"
7436,1,0,,photographs,1966 ,ex,rd,pvt-coll,Baldwin Street Gallery collection,eng,,Mississippi,,"Phillips, John F.",1966,James Meredith's Freedom March Against Fear,eng,Photograph of Tom Hayden and Barbara Kay in the Freedom March Against Fear organized by James Meredith. ,"Civil rights demonstrations|Kay, Barbara, 1925-1997|Hayden, Tom",,,,,BarbaraKayTomHayden.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/barbara-kay/march-against-fear,,"Baldwin Street Gallery, with permission"
7435,1,0,original filename: 1202480120,printed ephemera,1991-04-14 ,exact,reformatted digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,,"Newark, New Jersey",,New Jersey State Opera,"April 14, 1991","Frederick Douglass program, unnumbered page 23",eng,"Frederick Douglass: Orchestra members section.

Program for first performance of Frederick Douglass. ",,,,,,http://ldpd.lampdev.columbia.edu/ulysses_kay_120248/1202480120.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/operas/frederick-douglass---program,,
7434,1,0,original filename: 1202480119,printed ephemera,1991-04-14 ,exact,reformatted digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,,"Newark, New Jersey",,New Jersey State Opera,"April 14, 1991","Frederick Douglass program, unnumbered page 22",eng,"Frederick Douglass: Chorus members section.

Program for first performance of Frederick Douglass. ",,,,,,http://ldpd.lampdev.columbia.edu/ulysses_kay_120248/1202480119.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/operas/frederick-douglass---program,,
7433,1,0,original filename: 1202480118,printed ephemera,1991-04-14 ,ex,rd,nnc-rb,Ulysses Kay Papers,eng,,"Newark, New Jersey",,New Jersey State Opera,"April 14, 1991","Frederick Douglass program, unnumbered page 21",eng,"Cast and artists' biographies, including portraits of cast members and artists behind the production.

Program for first performance of Frederick Douglass. ","Dorr, Donald|Johnson, Louis, 1930- |Tagliarino, Salvatore|Warren, Raymond |Davis, Robert Warren",,,,,http://ldpd.lampdev.columbia.edu/ulysses_kay_120248/1202480118.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,,,
7432,1,0,original filename: 1202480117,printed ephemera,1991-04-14 ,exact,reformatted digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,,"Newark, New Jersey",,New Jersey State Opera,"April 14, 1991","Frederick Douglass program, unnumbered page 20",eng,"Cast and artists' biographies, including portraits of cast members and artists/composer.

Program for first performance of Frederick Douglass. ","Kay, Ulysses, 1917-1995|Nicolson, Mark|Rahming, Gregory|Redmann, Kirk",,,,,http://ldpd.lampdev.columbia.edu/ulysses_kay_120248/1202480117.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/operas/frederick-douglass---program,,
7431,1,0,original filename: 1202480116,printed ephemera,1991-04-14 ,exact,reformatted digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,,"Newark, New Jersey",,New Jersey State Opera,"April 14, 1991","Frederick Douglass program, unnumbered page 19",eng,"Cast biographies, including portraits of cast members.

Program for first performance of Frederick Douglass. ","Delavan, Mark|Gucci, Jenny|Magliaro, Tracy|Maynor, Kevin, 1954- |Naldi, Ronald",,,,,http://ldpd.lampdev.columbia.edu/ulysses_kay_120248/1202480116.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/operas/frederick-douglass---program,,
7430,1,0,original filename: 1202480115,printed ephemera,1991-04-14 ,exact,reformatted digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,,"Newark, New Jersey",,New Jersey State Opera,"April 14, 1991","Frederick Douglass program, unnumbered page 18",eng,"Cast biographies, including portraits of cast members.

Program for first performance of Frederick Douglass. ","Barlow, Klara|Buonauro, Anthony|Church, Kenneth|D'Amico, Christine",,,,,http://ldpd.lampdev.columbia.edu/ulysses_kay_120248/1202480115.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/operas/frederick-douglass---program,,
7429,1,0,original filename: 1202480114,printed ephemera,1991-04-14 ,exact,reformatted digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,,"Newark, New Jersey",,New Jersey State Opera,"April 14, 1991","Frederick Douglass program, unnumbered page 17",eng,"Frederick Douglass: Cast and performers list.

Program for first performance of Frederick Douglass, performed at the New Jersey State Opera Newark Symphony Hall",,,,,,http://ldpd.lampdev.columbia.edu/ulysses_kay_120248/1202480114.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/operas/frederick-douglass---program,,
7428,1,0,original filename: 1202480113,printed ephemera,1991-04-14 ,exact,reformatted digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,,"Newark, New Jersey",,New Jersey State Opera,"April 14, 1991","Frederick Douglass program, unnumbered page 16",eng,"Frederick Douglass: Special Thanks To section. 

Program for first performance of Frederick Douglass. ",,,,,,http://ldpd.lampdev.columbia.edu/ulysses_kay_120248/1202480113.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/operas/frederick-douglass---program,,
7427,1,0,original filename: 1202480112,printed ephemera,1991-04-14 ,exact,reformatted digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,,"Newark, New Jersey",,"New Jersey State Opera|Dallow, Brian F.","April 14, 1991","Frederick Douglass program, unnumbered page 15",eng,"Frederick Douglass: Synopsis of the Plot section, part two. 

Program for first performance of Frederick Douglass. ",,,,,,http://ldpd.lampdev.columbia.edu/ulysses_kay_120248/1202480112.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/operas/frederick-douglass---program,,
7426,1,0,original filename: 1202480111,printed ephemera,1991-04-14 ,exact,reformatted digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,,"Newark, New Jersey",,"New Jersey State Opera|Dallow, Brian F.","April 14, 1991","Frederick Douglass program, unnumbered page 14",eng,"Frederick Douglass: Synopsis of the Plot section, part one. 

Program for first performance of Frederick Douglass. ",,,,,,http://ldpd.lampdev.columbia.edu/ulysses_kay_120248/1202480111.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/operas/frederick-douglass---program,,
7425,1,0,original filename: 1202480110,printed ephemera,1991-04-14 ,exact,reformatted digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,,"Newark, New Jersey",,"New Jersey State Opera|Dorr, Donald","April 14, 1991","Frederick Douglass program, unnumbered page 13",eng,"Program Notes section. 

Program for first performance of Frederick Douglass. ",,,,,,http://ldpd.lampdev.columbia.edu/ulysses_kay_120248/1202480110.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/operas/frederick-douglass---program,,
7424,1,0,original filename: 1202480109.tif,printed ephemera,1991-04-14 ,exact,reformatted digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,,"Newark, New Jersey",,New Jersey State Opera,"April 14, 1991","Frederick Douglass program, front cover",eng,"Frederick Douglass, first performance, 1990-1991 season of the New Jersey State Opera",,,,,,http://ldpd.lampdev.columbia.edu/ulysses_kay_120248/1202480109.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/operas/frederick-douglass---program,,
7423,1,0,original filename: 1202480108,printed ephemera,1948-02-04 ,exact,reformatted digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,Box 4,,,"Roosevelt University Symphony Orchestra, Chorus and Concert Choir|Chicago Musical College","February 4, 1968","Centennial Concert, page 4",eng,"Stephen Crane Set, First performance",,,,,,http://ldpd.lampdev.columbia.edu/ulysses_kay_120248/1202480108.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/solo-voice-and-choral-music/stephen-crane-set,,
7422,1,0,original filename: 1202480107,printed ephemera,1968-02-04 ,exact,reformatted digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,Box 4,,,"Roosevelt University Symphony Orchestra, Chorus and Concert Choir|Chicago Musical College","February 4, 1968","Centennial Concert, page 3",eng,"Stephen Crane Set, First performance",,,,,,http://ldpd.lampdev.columbia.edu/ulysses_kay_120248/1202480107.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/solo-voice-and-choral-music/stephen-crane-set,,
7421,1,0,original filename: 1202480106,printed ephemera,1968-02-04 ,exact,reformatted digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,Box 4,,,"Roosevelt University Symphony Orchestra, Chorus and Concert Choir|Chicago Musical College","February 4, 1968","Centennial Concert, page 2",eng,"Stephen Crane Set, First performance",,,,,,http://ldpd.lampdev.columbia.edu/ulysses_kay_120248/1202480106.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/solo-voice-and-choral-music/stephen-crane-set,,
7420,1,0,original filename: 1202480105,printed ephemera,1968-02-04 ,exact,reformatted digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,Box 4,,,"Roosevelt University Symphony Orchestra, Chorus and Concert Choir|Chicago Musical College","February 4, 1968","Centennial Concert, page 1",eng,"Stephen Crane Set, First performance",,,,,,http://ldpd.lampdev.columbia.edu/ulysses_kay_120248/1202480105.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/solo-voice-and-choral-music/stephen-crane-set,,
7419,1,0,original filename: 1202480104,manuscripts,1983-10-07 ,exact,reformatted digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,,,,"Kay, Ulysses, 1917-1995",1983 October 7,"Psalm texts, unnumbered page 2",eng,"Festival Psalms, working typescript",,Ulysses Kay Estate,,,,http://ldpd.lampdev.columbia.edu/ulysses_kay_120248/1202480104.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,,,
7418,1,0,original filename: 1202480103,manuscripts,1983-10-07 ,exact,reformatted digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,,,,"Kay, Ulysses, 1917-1995",1983 October 7,"Psalm texts, unnumbered page 1",eng,"Festival Psalms, working typescript",,Ulysses Kay Estate,,,,http://ldpd.lampdev.columbia.edu/ulysses_kay_120248/1202480103.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,,,
7417,1,0,original filename: 1202480102,printed ephemera,1952-10-12 ,exact,reformatted digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,Box 4,"Brooklyn, New York",,"Brooklyn Museum Concerts|LeVita, David",1952 October 12,"Music of the U.S.A., recto",eng,"Program

Performed pieces includes Ulysses Kay's Brass Quartet (1950)",,,,,,http://ldpd.lampdev.columbia.edu/ulysses_kay_120248/1202480102.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,,,
7416,1,0,original filename: 1202480101,printed ephemera,1947-09-29 ,exact,reformatted digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,Box 4,"New York, New York",,"Town Hall, Inc.","September 29, 1947","Lucy Brown program, verso",eng,"Program for piano recital at Town Hall.
Four Inventions, First performance","Brown, Lucy (Composer) ",,,,,http://ldpd.lampdev.columbia.edu/ulysses_kay_120248/1202480101.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/keyboard-music/four-inventions-for-piano,,
7415,1,0,original filename: 1202480100,printed ephemera,1947-09-29 ,exact,reformatted digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,Box 4,"New York, New York",,"Town Hall, Inc.","September 29, 1947","Lucy Brown program, recto",eng,"Program for piano recital at Town Hall.
Four Inventions, First performance","Brown, Lucy (Composer) ",,,,,http://ldpd.lampdev.columbia.edu/ulysses_kay_120248/1202480100.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/keyboard-music/four-inventions-for-piano,,
7414,1,0,original filename: 1202480099,printed ephemera,1976-06-06 ,exact,reformatted digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,Box 49,"New York, New York",,"Triad Chorale|DaCosta, Noel, 1929-2002",1976 June 6,"Alice Tully Hall Concert Bicentennial Celebration: Tribute to William Grant Still, unnumbered page 19",eng,Two Dunbar Lyrics,,,,,,http://ldpd.lampdev.columbia.edu/ulysses_kay_120248/1202480099.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,,,
7413,1,0,original filename: 1202480098.tif,printed ephemera,1976-06-06 ,exact,reformatted digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,Box 49,,,"Triad Chorale|DaCosta, Noel, 1929-2002",1976 June 6,"Alice Tully Hall Concert Bicentennial Celebration: Tribute to William Grant Still, unnumbered page 18",eng,Two Dunbar Lyrics,,,,,,http://ldpd.lampdev.columbia.edu/ulysses_kay_120248/1202480098.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,,,
7412,1,0,original filename: 1202480097,printed ephemera,1976-03-16 ,exact,reformatted digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,Box 49,,,"Harlem School of the Arts|Maynor, Dorothy",1976 March 16,"Alice Tully Hall Concert: Salute To The Bicentennial, unnumbered page 17",eng,"Harlem children's Dance Suite, First performance",,,,,,http://ldpd.lampdev.columbia.edu/ulysses_kay_120248/1202480097.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,,,
7411,1,0,original filename: 1202480096,manuscripts,1979 ,inferred,reformatted digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,Box 79,,,"Dorr, Donald|Kay, Ulysses, 1917-1995",1979,"Jersey Hours, recto",eng,"Jersey Hours, text-  three poems",,"Dorr, Donald",,,,http://ldpd.lampdev.columbia.edu/ulysses_kay_120248/1202480096.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/solo-voice-and-choral-music/jersey-hours,,
7410,1,0,original filename: 1202480095,correspondence,1978 1979,ex,rd,nnc-rb,Ulysses Kay Papers,eng,,"Teaneck, New Jersey",,Teaneck Artists Perform,from 1978 to 1979,"Flyer Advertising Upcoming Events by Teaneck Artists Perform, verso",eng,,"Emanuel Harp Trio|Kay, Ulysses, 1917-1995",,,,,http://ldpd.lampdev.columbia.edu/ulysses_kay_120248/1202480095.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,,,
7409,1,0,original filename: 1202480094,correspondence,1978 1979,exact,reformatted digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,Box 79,"Teaneck, New Jersey",,Teaneck Artists Perform,from 1978 to 1979,"Flyer Advertising Upcoming Events by Teaneck Artists Perform, recto",eng,"Jersey Hours, First performance","Emanuel Harp Trio|Kay, Ulysses, 1917-1995",,,,,http://ldpd.lampdev.columbia.edu/ulysses_kay_120248/1202480094.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/solo-voice-and-choral-music/jersey-hours,,
7408,1,0,original filename: 1202480093,printed ephemera,1979-01-07 ,ex,rd,nnc-rb,,eng,,"Teaneck, New Jersey",,Teaneck Artists Perform,"January 7, 1979","Emanuel Harp Trio program, page 4",eng,Page lists the friends of Teaneck Artists Perform (TAP) as of December 1978,Teaneck Artists Perform,,,,,http://ldpd.lampdev.columbia.edu/ulysses_kay_120248/1202480093.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,,,
