identifier_omeka,keyDate_start,form,relatedItem_collection,shelfLocator,digitalOrigin,physicalLocation,languageofCataloging,dateQualifier,note,dateCreated,title,identifier_clio,name_primary,name 2,abstract,subject_name,language,note_filename,typeOfResource,relatedItem_Project
9688,1855,photographs,Nathaniel Fish Moore Photographs,Folder 40,reformatted digital,"University Archives, Columbia University",eng,approximate,,ca. 1855,View of City Housetops,CLIO_4080189,"Moore, Nathaniel Fish, 1782-1872",,,,,http://ldpd.cul.columbia.edu/nathaniel_fish_moore/1501350051.jpg,Still Image,Nathaniel Fish Moore Photographs
9687,1855,photographs,Nathaniel Fish Moore Photographs,Folder 39,reformatted digital,"University Archives, Columbia University",eng,approximate,,ca. 1855,Landscape with Cottage,CLIO_4080189,"Moore, Nathaniel Fish, 1782-1872",,,,,http://ldpd.cul.columbia.edu/nathaniel_fish_moore/1501350050.jpg,Still Image,Nathaniel Fish Moore Photographs
9686,1855,photographs,Nathaniel Fish Moore Photographs,Folder 38,reformatted digital,"University Archives, Columbia University",eng,approximate,,ca. 1855,View from Woodlawn,CLIO_4080189,"Moore, Nathaniel Fish, 1782-1872",,with Gold Spring in Distance,,,http://ldpd.cul.columbia.edu/nathaniel_fish_moore/1501350049.jpg,Still Image,Nathaniel Fish Moore Photographs
9685,1855,photographs,Nathaniel Fish Moore Photographs,Folder 37,reformatted digital,"University Archives, Columbia University",eng,approximate,,ca. 1855,View from Woodlawn,CLIO_4080189,"Moore, Nathaniel Fish, 1782-1872",,with Gold Spring in Distance,,,http://ldpd.cul.columbia.edu/nathaniel_fish_moore/1501350048.jpg,Still Image,Nathaniel Fish Moore Photographs
9684,1855,photographs,Nathaniel Fish Moore Photographs,Folder 36,reformatted digital,"University Archives, Columbia University",eng,approximate,,ca. 1855,Woodlawn Residence of William Moore,CLIO_4080189,"Moore, Nathaniel Fish, 1782-1872",,"With note ""Place where papa and I spent our honeymoon""",,,http://ldpd.cul.columbia.edu/nathaniel_fish_moore/1501350047.jpg,Still Image,Nathaniel Fish Moore Photographs
9683,1855,photographs,Nathaniel Fish Moore Photographs,Folder 35,reformatted digital,"University Archives, Columbia University",eng,approximate,,ca. 1855,"Laight and Hudson Streets, St. John's Park",CLIO_4080189,"Moore, Nathaniel Fish, 1782-1872",,,,,http://ldpd.cul.columbia.edu/nathaniel_fish_moore/1501350046.jpg,Still Image,Nathaniel Fish Moore Photographs
9682,1855,photographs,Nathaniel Fish Moore Photographs,Folder 34,reformatted digital,"University Archives, Columbia University",eng,approximate,,ca. 1855,Chapel and St. John's Park from the Hudson,CLIO_4080189,"Moore, Nathaniel Fish, 1782-1872",,,,,http://ldpd.cul.columbia.edu/nathaniel_fish_moore/1501350045.jpg,Still Image,Nathaniel Fish Moore Photographs
9681,1855,photographs,Nathaniel Fish Moore Photographs,Folder 33,reformatted digital,"University Archives, Columbia University",eng,approximate,,ca. 1855,Chelsea House,CLIO_4080189,"Moore, Nathaniel Fish, 1782-1872",,Home of President Moore and Clement Clarke Moore.,,,http://ldpd.cul.columbia.edu/nathaniel_fish_moore/1501350044.jpg,Still Image,Nathaniel Fish Moore Photographs
9680,1855,photographs,Nathaniel Fish Moore Photographs,Folder 33,reformatted digital,"University Archives, Columbia University",eng,approximate,,ca. 1855,Chelsea House,CLIO_4080189,"Moore, Nathaniel Fish, 1782-1872",,Home of President Moore and Clement Clarke Moore.,,,http://ldpd.cul.columbia.edu/nathaniel_fish_moore/1501350043.jpg,Still Image,Nathaniel Fish Moore Photographs
9679,1855,photographs,Nathaniel Fish Moore Photographs,Folder 33,reformatted digital,"University Archives, Columbia University",eng,approximate,,ca. 1855,Park,CLIO_4080189,"Moore, Nathaniel Fish, 1782-1872",,,,,http://ldpd.cul.columbia.edu/nathaniel_fish_moore/1501350042.jpg,Still Image,Nathaniel Fish Moore Photographs
9678,1855,photographs,Nathaniel Fish Moore Photographs,Folder 32,reformatted digital,"University Archives, Columbia University",eng,approximate,,ca. 1855,Chelsea House,CLIO_4080189,"Moore, Nathaniel Fish, 1782-1872",,"Residence of Clement Clarke Moore, Greenwich, NYC",,,http://ldpd.cul.columbia.edu/nathaniel_fish_moore/1501350037.jpg,Still Image,Nathaniel Fish Moore Photographs
9677,1855,photographs,Nathaniel Fish Moore Photographs,Folder 31,reformatted digital,"University Archives, Columbia University",eng,approximate,,ca. 1855,Chelsea House,CLIO_4080189,"Moore, Nathaniel Fish, 1782-1872",,"Residence of Clement Clarke Moore, Greenwich, NYC",,,http://ldpd.cul.columbia.edu/nathaniel_fish_moore/1501350036.jpg,Still Image,Nathaniel Fish Moore Photographs
9676,1855,photographs,Nathaniel Fish Moore Photographs,Folder 30,reformatted digital,"University Archives, Columbia University",eng,approximate,,ca. 1855,"De Rham House at 5th Ave. and 10th St. ""Now Standing""",CLIO_4080189,"Moore, Nathaniel Fish, 1782-1872",,,,,http://ldpd.cul.columbia.edu/nathaniel_fish_moore/1501350035.jpg,Still Image,Nathaniel Fish Moore Photographs
9675,1855,photographs,Nathaniel Fish Moore Photographs,Folder 26,reformatted digital,"University Archives, Columbia University",eng,approximate,,ca. 1855,Four Men and Three Women on Porch,CLIO_4080189,"Moore, Nathaniel Fish, 1782-1872",,,,,http://ldpd.cul.columbia.edu/nathaniel_fish_moore/1501350032.jpg,Still Image,Nathaniel Fish Moore Photographs
9674,1855,photographs,Nathaniel Fish Moore Photographs,Folder 25,reformatted digital,"University Archives, Columbia University",eng,approximate,,ca. 1855,Two Women Seated on Porch Step with Man Standng,CLIO_4080189,"Moore, Nathaniel Fish, 1782-1872",,,,,http://ldpd.cul.columbia.edu/nathaniel_fish_moore/1501350031.jpg,Still Image,Nathaniel Fish Moore Photographs
9673,1855,photographs,Nathaniel Fish Moore Photographs,Folder 24,reformatted digital,"University Archives, Columbia University",eng,approximate,by screen,ca. 1855,"Two Women, Two Men by Screen",CLIO_4080189,"Moore, Nathaniel Fish, 1782-1872",,,,,http://ldpd.cul.columbia.edu/nathaniel_fish_moore/1501350030.jpg,Still Image,Nathaniel Fish Moore Photographs
9672,1855,photographs,Nathaniel Fish Moore Photographs,Folder 23,reformatted digital,"University Archives, Columbia University",eng,approximate,,ca. 1855,"Seven People on Porch, Seated",CLIO_4080189,"Moore, Nathaniel Fish, 1782-1872",,,,,http://ldpd.cul.columbia.edu/nathaniel_fish_moore/1501350029.jpg,Still Image,Nathaniel Fish Moore Photographs
9671,1855,photographs,Nathaniel Fish Moore Photographs,Folder 22,reformatted digital,"University Archives, Columbia University",eng,approximate,,ca. 1855,Two Women and a Man by a Portrait,CLIO_4080189,"Moore, Nathaniel Fish, 1782-1872",,,,,http://ldpd.cul.columbia.edu/nathaniel_fish_moore/1501350028.jpg,Still Image,Nathaniel Fish Moore Photographs
9670,1855,photographs,Nathaniel Fish Moore Photographs,Folder 21,reformatted digital,"University Archives, Columbia University",eng,approximate,,ca. 1855,Elderly Woman Seated,CLIO_4080189,"Moore, Nathaniel Fish, 1782-1872",,,,,http://ldpd.cul.columbia.edu/nathaniel_fish_moore/1501350027.jpg,Still Image,Nathaniel Fish Moore Photographs
9669,1855,photographs,Nathaniel Fish Moore Photographs,Folder 20,reformatted digital,"University Archives, Columbia University",eng,approximate,,ca. 1855,Two Seated Woman and Man by Lake,CLIO_4080189,"Moore, Nathaniel Fish, 1782-1872",,,,,http://ldpd.cul.columbia.edu/nathaniel_fish_moore/1501350026.jpg,Still Image,Nathaniel Fish Moore Photographs
9668,1855,photographs,Nathaniel Fish Moore Photographs,Folder 19,reformatted digital,"University Archives, Columbia University",eng,approximate,,ca. 1855,Seated Man,CLIO_4080189,"Moore, Nathaniel Fish, 1782-1872",,,,,http://ldpd.cul.columbia.edu/nathaniel_fish_moore/1501350025.jpg,Still Image,Nathaniel Fish Moore Photographs
9667,1855,photographs,Nathaniel Fish Moore Photographs,Folder 18,reformatted digital,"University Archives, Columbia University",eng,approximate,,ca. 1855,Seven People on Porch,CLIO_4080189,"Moore, Nathaniel Fish, 1782-1872",,Copied salt print. Verso: [stamped] Columbia University Received 1944 September 14 Columbiana,,,http://ldpd.cul.columbia.edu/nathaniel_fish_moore/1501350024.jpg,Still Image,Nathaniel Fish Moore Photographs
9666,1855,photographs,Nathaniel Fish Moore Photographs,Folder 17,reformatted digital,"University Archives, Columbia University",eng,approximate,,ca. 1855,Four Seated Women by Tree,CLIO_4080189,"Moore, Nathaniel Fish, 1782-1872",,,,,http://ldpd.cul.columbia.edu/nathaniel_fish_moore/1501350023.jpg,Still Image,Nathaniel Fish Moore Photographs
9665,1855,photographs,Nathaniel Fish Moore Photographs,Folder 16,reformatted digital,"University Archives, Columbia University",eng,approximate,,ca. 1855,Seated Woman with Child,CLIO_4080189,"Moore, Nathaniel Fish, 1782-1872",,,,,http://ldpd.cul.columbia.edu/nathaniel_fish_moore/1501350022.jpg,Still Image,Nathaniel Fish Moore Photographs
9664,1855,photographs,Nathaniel Fish Moore Photographs,Folder 15,reformatted digital,"University Archives, Columbia University",eng,approximate,,ca. 1855,Eight People on Porch,CLIO_4080189,"Moore, Nathaniel Fish, 1782-1872",,,,,http://ldpd.cul.columbia.edu/nathaniel_fish_moore/1501350021.jpg,Still Image,Nathaniel Fish Moore Photographs
9663,1855,photographs,Nathaniel Fish Moore Photographs,Folder 14,reformatted digital,"University Archives, Columbia University",eng,approximate,glass negative salt print,ca. 1855,Four People and Baby on Porch,CLIO_4080189,"Moore, Nathaniel Fish, 1782-1872",,Glass negative salt print or coated salt print.,,,http://ldpd.cul.columbia.edu/nathaniel_fish_moore/1501350020.jpg,Still Image,Nathaniel Fish Moore Photographs
9662,1855,photographs,Nathaniel Fish Moore Photographs,Folder 13,reformatted digital,"University Archives, Columbia University",eng,approximate,,ca. 1855,Group of Seven People on Porch,CLIO_4080189,"Moore, Nathaniel Fish, 1782-1872",,,,,http://ldpd.cul.columbia.edu/nathaniel_fish_moore/1501350019.jpg,Still Image,Nathaniel Fish Moore Photographs
9661,1855,photographs,Nathaniel Fish Moore Photographs,Folder 10,reformatted digital,"University Archives, Columbia University",eng,approximate,,ca. 1855,William Moore,CLIO_4080189,"Moore, Nathaniel Fish, 1782-1872",,,"Moore, William ",,http://ldpd.cul.columbia.edu/nathaniel_fish_moore/1501350008.jpg,Still Image,Nathaniel Fish Moore Photographs
9660,1855,photographs,Nathaniel Fish Moore Photographs,Folder 8,reformatted digital,"University Archives, Columbia University",eng,approximate,,ca. 1855,Clement Clarke Moore and Daughter,CLIO_4080189,"Moore, Nathaniel Fish, 1782-1872",,,"Moore, Clement Clarke, 1779-1863",,http://ldpd.cul.columbia.edu/nathaniel_fish_moore/1501350007.jpg,Still Image,Nathaniel Fish Moore Photographs
9659,1855,photographs,Nathaniel Fish Moore Photographs,Folder 7,reformatted digital,"University Archives, Columbia University",eng,approximate,,ca. 1855,Nathaniel Fish Moore,CLIO_4080189,"Moore, Nathaniel Fish, 1782-1872",,Glossy print,"Moore, Nathaniel Fish, 1782-1872",,http://ldpd.cul.columbia.edu/nathaniel_fish_moore/1501350006.jpg,Still Image,Nathaniel Fish Moore Photographs
9658,1855,photographs,Nathaniel Fish Moore Photographs,Folder 6,reformatted digital,"University Archives, Columbia University",eng,approximate,,ca. 1855,"Nathaniel F. Moore, LLD Eighth President of Columbia College 1842-1859",CLIO_4080189,"Moore, Nathaniel Fish, 1782-1872",,,"Moore, Nathaniel Fish, 1782-1872",,http://ldpd.cul.columbia.edu/nathaniel_fish_moore/1501350005.jpg,Still Image,Nathaniel Fish Moore Photographs
9657,1855,photographs,Nathaniel Fish Moore Photographs,Folder 5,reformatted digital,"University Archives, Columbia University",eng,approximate,,ca. 1855,Nathaniel Fish Moore,CLIO_4080189,"Moore, Nathaniel Fish, 1782-1872",,,"Moore, Nathaniel Fish, 1782-1872",,http://ldpd.cul.columbia.edu/nathaniel_fish_moore/1501350004.jpg,Still Image,Nathaniel Fish Moore Photographs
9656,1855,photographs,Nathaniel Fish Moore Photographs,Folder 2,reformatted digital,"University Archives, Columbia University",eng,approximate,,ca. 1855,"Nathaniel Fish Moore, President of Columbia College",CLIO_4080189,"Moore, Nathaniel Fish, 1782-1872",,,"Moore, Nathaniel Fish, 1782-1872",,http://ldpd.cul.columbia.edu/nathaniel_fish_moore/1501350002.jpg,Still Image,Nathaniel Fish Moore Photographs
9655,1855,photographs,Nathaniel Fish Moore Photographs,Folder 1,reformatted digital,"University Archives, Columbia University",eng,approximate,,ca. 1855,Nathaniel Fish Moore Seated Reading,CLIO_4080189,"Moore, Nathaniel Fish, 1782-1872",,Received 1944 September 14 by Columbiana,"Moore, Nathaniel Fish, 1782-1872",,http://ldpd.cul.columbia.edu/nathaniel_fish_moore/1501350001.jpg,Still Image,Nathaniel Fish Moore Photographs
9654,1852,photographs,Nathaniel Fish Moore Photographs,Folder 11,reformatted digital,"University Archives, Columbia University",eng,approximate,,ca. 1852,Pierre Toussaint,CLIO_4080189,"Moore, Nathaniel Fish, 1782-1872",,verso: The Moore Family's faithful old servant - a slave.,"Toussaint, Pierre, 1766-1853?",,http://ldpd.cul.columbia.edu/nathaniel_fish_moore/1501350009.jpg,Still Image,Nathaniel Fish Moore Photographs
9653,1845,photographs,Nathaniel Fish Moore Photographs,Folder 27,reformatted digital,"University Archives, Columbia University",eng,,,1845,"Columbia College, Forty Park Place New York",CLIO_4080189,"Moore, Nathaniel Fish, 1782-1872",,,Columbia College (Columbia University),,http://ldpd.cul.columbia.edu/nathaniel_fish_moore/1501350033.jpg,Still Image,Nathaniel Fish Moore Photographs
