relatedItem_collection,name 1,nameType 1,nameRelator 1,name_authority 1,name_authority_identifier 1,name 2,nameType 2,nameRelator 2,name_authority 2,name_authority_identifier 2,name 3,nameType 3,nameRelator 3,name_authority 3,name_authority_identifier 3,name 4,nameType 4,nameRelator 4,name_authority 4,name_authority_identifier 4,name 5,nameType 5,nameRelator 5,name-authority 5,name_authority_identifier 5,keyDate_start,keyDate_end,dateQualifier,dateCreated,abstract,item - featured,item - public,identifier_clio,identifier_omeka,typeOfResource,language,location_url_ObjectInContext,location_url_ObjectInContext 2,physicalLocation,physicalLocation_authority,shelfLocator,sublocation,note,note 2,note_filename,digitalOrigin,extent,form,form_authority,place 1,place_authority 1,place_authority_identifier 1,place 2,place_authority 2,place_authority_identifier 2,place 3,place_authority 3,place_authority_identifier 3,place 4,place_authority 4,place_authority_identifier 4,relatedItem_Project,projectURL,note_ownership,publisher 1,publisher 2,languageOfCataloging,note_relatedItem,subject_topic,subject_topic_authority,subject_topic_authority_identifier,subject_topic 2,subject_topic_authority 2,subject_topic_authority_identifier 2,subject_topic 3,subject_topic_authority 3,subject_topic_authority_identifier 3,subject_topic 4,subject_topic_authority 4,subject_topic_authority_identifier 4,subject_name,subject_name_authority,subject_name_authority_identifier,subject_name 2,subject_name_authority 2,subject_name_authority_identifier 2,subject_geographic,subject_geographic_authority,subject_geographic_authority_identifier,subject_geographic_hierarchical_street,subject_geographic_hierarchical_borough,subject_geographic_hierarchical_city,subject_geographic_hierarchical_state,subject_geographic_hierarchical_province,subject_geographic_hierarchical_country,title_nonsort,title1,identifier_title,partName,title2,title2_type
Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,"Jones, William, F.S.A.",personal,aut,naf,http://id.loc.gov/authorities/names/no95056478,,,,,,,,,,,,,,,,,,,,,1877,,,1877,,0,1,CLIO_46245,omeka_4909,text,eng,https://exhibitions.cul.columbia.edu/exhibits/show/bindings/emblematic/items_25_32,,NNC-RB,marcorg,,,,,GBF123.600.JPG,reformatted digital,,books,aat,London (England),naf,http://id.loc.gov/authorities/names/n79005665,,,,,,,,,,Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,http://www.columbia.edu/cgi-bin/cul/resolve?clio8235351,Gift of Moritz Jagendorf,Chatto and Windus,,eng,,Publishers' bindings,fast,http://id.worldcat.org/fast/1083522,Vignettes,fast,http://id.worldcat.org/fast/1166915,Rings,fast,http://id.worldcat.org/fast/1098014,,,,,,,,,,,,,,,,,,,,"Finger-Ring Lore: Historical, Legendary, Anecdotal",judgingbookcover_frl_001,Cover,,
Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,"Phelps, Elizabeth Stuart, 1844-1911",personal,aut,naf,http://id.loc.gov/authorities/names/n80009688,,,,,,,,,,,,,,,,,,,,,1874,,,1874,,0,1,CLIO_6160279,omeka_4908,text,eng,https://exhibitions.cul.columbia.edu/exhibits/show/bindings/emblematic/items_25_32,,NNC-RB,marcorg,,,,,GBF122.600.JPG,reformatted digital,,books,aat,Boston (Mass.),naf,http://id.loc.gov/authorities/names/n79045553,,,,,,,,,,Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,http://www.columbia.edu/cgi-bin/cul/resolve?clio8235351,Gift of Sarah B. Russell Estate,James R. Osgood and Company,,eng,,Publishers' bindings,fast,http://id.worldcat.org/fast/1083522,Vignettes,fast,http://id.worldcat.org/fast/1166915,Books,fast,http://id.worldcat.org/fast/836401,,,,,,,,,,,,,,,,,,,,"Trotty's Wedding Tour, and Story-Book",judgingbookcover_tws_001,Cover,,
Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,"Trowbridge, J. T. (John Townsend), 1827-1916",personal,aut,naf,http://id.loc.gov/authorities/names/n82108883,,,,,,,,,,,,,,,,,,,,,1874,,,1874,,0,1,CLIO_5573330,omeka_4907,text,eng,https://exhibitions.cul.columbia.edu/exhibits/show/bindings/emblematic/items_25_32,,NNC-RB,marcorg,,,,,GBF121.600.JPG,reformatted digital,,books,aat,Boston (Mass.),naf,http://id.loc.gov/authorities/names/n79045553,,,,,,,,,,Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,http://www.columbia.edu/cgi-bin/cul/resolve?clio8235351,Bequest of Allan Nevins,James R. Osgood and Company,,eng,,Publishers' bindings,fast,http://id.worldcat.org/fast/1083522,Vignettes,fast,http://id.worldcat.org/fast/1166915,Bonds,fast,http://id.worldcat.org/fast/835887,,,,,,,,,,,,,,,,,,,,"Coupon Bonds, and Other Stories",judgingbookcover_cbo_001,Cover,,
Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,"Morris, F. O. (Francis Orpen), 1810-1893",personal,aut,naf,http://id.loc.gov/authorities/names/n82060146,,,,,,,,,,,,,,,,,,,,,1872,,,1872,,0,1,,omeka_4906,text,eng,https://exhibitions.cul.columbia.edu/exhibits/show/bindings/emblematic/items_25_32,,NNC-RB,marcorg,,,Harper Library,,GBF120.600.JPG,reformatted digital,,books,aat,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,,,,,,,,,,Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,http://www.columbia.edu/cgi-bin/cul/resolve?clio8235351,,Harper & Brothers,,eng,,Publishers' bindings,fast,http://id.worldcat.org/fast/1083522,Decoration and ornament,fast,http://id.worldcat.org/fast/889145,Dogs,fast,http://id.worldcat.org/fast/896265,,,,,,,,,,,,,,,,,,,,Dogs and Their Doings,judgingbookcover_dtd_001,Cover,,
Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,"Wright, Sarah A. (Sarah Ann)",personal,aut,,,,,,,,,,,,,,,,,,,,,,,1871,,,1871,,0,1,CLIO_5573490,omeka_4905,text,eng,https://exhibitions.cul.columbia.edu/exhibits/show/bindings/emblematic/items_17_24,,NNC-RB,marcorg,,,,,GBF119.600.JPG,reformatted digital,,books,aat,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,,,,,,,,,,Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,http://www.columbia.edu/cgi-bin/cul/resolve?clio8235351,Bancroft Fund,American News Company,,eng,,Publishers' bindings,fast,http://id.worldcat.org/fast/1083522,Vignettes,fast,http://id.worldcat.org/fast/1166915,Ladders,fast,http://id.worldcat.org/fast/990650,,,,,,,,,,,,,,,,,,,The ,"Golden Ladder; or, The Stolen Jewel",judgingbookcover_gls_001,Cover,,
Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,"À Beckett, Gilbert Abbott, 1811-1856",personal,aut,naf,http://id.loc.gov/authorities/names/n80057194,"Leech, John",personal,ill,naf,http://id.loc.gov/authorities/names/n50039198,,,,,,,,,,,,,,,,1870,1879,questionable,circa 1870s,,0,1,CLIO_6165010,omeka_4904,text,eng,https://exhibitions.cul.columbia.edu/exhibits/show/bindings/emblematic/items_17_24,,NNC-RB,marcorg,,,Illustrated by John Leech,,GBF118.600.JPG,reformatted digital,,books,aat,London (England),naf,http://id.loc.gov/authorities/names/n79005665,,,,,,,,,,Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,http://www.columbia.edu/cgi-bin/cul/resolve?clio8235351,Gift of Gonzalez Lodge,"Bradbury, Agnew & Co.",,eng,,Publishers' bindings,fast,http://id.worldcat.org/fast/1083522,Vignettes,fast,http://id.worldcat.org/fast/1166915,,,,,,,,,,,,,,,,,,,,,,The ,Comic History of Rome,judgingbookcover_chr_001,Cover,,
Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,,,,,,,,,,,,,,,,,,,,,,,,,,1868,,,1868,Fifth Edition.,0,1,CLIO_1848540,omeka_4902,text,eng,https://exhibitions.cul.columbia.edu/exhibits/show/bindings/emblematic/items_17_24,,NNC-RB,marcorg,,,,,GBF116.600.JPG,reformatted digital,,books,aat,Boston (Mass.),naf,http://id.loc.gov/authorities/names/n79045553,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,,,,,,,Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,http://www.columbia.edu/cgi-bin/cul/resolve?clio8235351,Gift of George A. Plimpton,Crosby and Ainsworth; New York,Oliver S. Felt,eng,,Publishers' bindings,fast,http://id.worldcat.org/fast/1083522,Vignettes,fast,http://id.worldcat.org/fast/1166915,Hand,fast,http://id.worldcat.org/fast/950823,Pens,fast,http://id.worldcat.org/fast/1057037,,,,,,,,,,,,,,,,,"Theory and Art of Penmanship: a Manual for Teachers, Containing a Full Statement of Payson, Dunton, and Scribner's Celebrated Method of Teaching; Including Class-Drill, Writing in Concert, Criticism and Correction of Errors, Hints Towards Awakening Interest, Etc. : Together with a Complete Analysis and Synthesis of Script Letters, as Developed in Their Series of Writing-Books",judgingbookcover_tap_001,Cover,,
Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,,,,,,,,,,,,,,,,,,,,,,,,,,1869,,,1869,,0,1,,omeka_4903,text,eng,https://exhibitions.cul.columbia.edu/exhibits/show/bindings/emblematic/items_17_24,,NNC-RB,marcorg,,,,,GBF117.600.JPG,reformatted digital,,books,aat,London (England),naf,http://id.loc.gov/authorities/names/n79005665,,,,,,,,,,Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,http://www.columbia.edu/cgi-bin/cul/resolve?clio8235351,,The Religious Tract Society,,eng,,Publishers' bindings,fast,http://id.worldcat.org/fast/1083522,Vignettes,fast,http://id.worldcat.org/fast/1166915,Cats,fast,http://id.worldcat.org/fast/849374,,,,,,,,,,,,,,,,,,,The ,"Child's Companion and Juvenile Instructor, 1869",judgingbookcover_ccj_001,Cover,,
Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,"Greenleaf, Lawrence N. (Lawrence Nichols)",personal,aut,naf,http://id.loc.gov/authorities/names/n81055630,,,,,,,,,,,,,,,,,,,,,1868,,,1868,,0,1,CLIO_6174159,omeka_4901,text,eng,https://exhibitions.cul.columbia.edu/exhibits/show/bindings/emblematic/items_17_24,,NNC-RB,marcorg,,,,,GBF115.600.JPG,reformatted digital,,books,aat,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,,,,,,,,,,Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,http://www.columbia.edu/cgi-bin/cul/resolve?clio8235351,,Hurd and Houghton,,eng,,Publishers' bindings,fast,http://id.worldcat.org/fast/1083522,Vignettes,fast,http://id.worldcat.org/fast/1166915,Kings and rulers,fast,http://id.worldcat.org/fast/987694,Masks,fast,http://id.worldcat.org/fast/1011082,,,,,,,,,,,,,,,,,"King Sham, and Other Atrocities in Verse; Including a Humorous History of the Pike's Peak Excitement",judgingbookcover_kso_001,Cover,,
Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,"Taylor, Bayard, 1825-1878",personal,aut,naf,http://id.loc.gov/authorities/names/n50008674,,,,,,,,,,,,,,,,,,,,,1868,,,1868,,0,1,CLIO_5572783,omeka_4900,text,eng,https://exhibitions.cul.columbia.edu/exhibits/show/bindings/emblematic/items_17_24,,NNC-RB,marcorg,,,,,GBF114.600.JPG,reformatted digital,,books,aat,Philadelphia (Pa.),naf,http://id.loc.gov/authorities/names/n78095520,,,,,,,,,,Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,http://www.columbia.edu/cgi-bin/cul/resolve?clio8235351,From the Library of Edmund Clarence Stedman,J. B. Lippincott & Co.; Privately Printed,,eng,,Publishers' bindings,fast,http://id.worldcat.org/fast/1083522,Decoration and ornament,fast,http://id.worldcat.org/fast/889145,,,,,,,,,,,,,,,,,,,,,,The ,"Golden Wedding; Joseph Taylor, Rebecca W. Taylor, October 15, 1868",judgingbookcover_gwj_001,Cover,,
Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,Daughter of New York,personal,aut,naf,http://id.loc.gov/authorities/names/no2006048853,,,,,,,,,,,,,,,,,,,,,1866,,,1866,,0,1,CLIO_6180942,omeka_4899,text,eng,https://exhibitions.cul.columbia.edu/exhibits/show/bindings/emblematic/items_17_24,,NNC-RB,marcorg,,,,,GBF113.600.JPG,reformatted digital,,books,aat,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,,,,,,,,,,Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,http://www.columbia.edu/cgi-bin/cul/resolve?clio8235351,,"Carleton, Publisher",,eng,,Publishers' bindings,fast,http://id.worldcat.org/fast/1083522,Vignettes,fast,http://id.worldcat.org/fast/1166915,Heart,fast,http://id.worldcat.org/fast/953493,,,,,,,,,,,,,,,,,,,The ,City's Heart; By a Daughter of New York,judgingbookcover_chd_001,Cover,,
Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,"Spayth, Henry, 1825-",personal,aut,naf,http://id.loc.gov/authorities/names/no92017871,,,,,,,,,,,,,,,,,,,,,1866,,,1866,,0,1,CLIO_696596,omeka_4898,text,eng,https://exhibitions.cul.columbia.edu/exhibits/show/bindings/emblematic/items_9_16,,NNC-RB,marcorg,,,,,GBF111.600.JPG,reformatted digital,,books,aat,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,,,,,,,,,,Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,http://www.columbia.edu/cgi-bin/cul/resolve?clio8235351,Gift of Marion G. Davis in memory of Royal S. Davis,Dick & Fitzgerald,,eng,,Publishers' bindings,fast,http://id.worldcat.org/fast/1083522,Vignettes,fast,http://id.worldcat.org/fast/1166915,Gameboards,fast,http://id.worldcat.org/fast/937519,Checkers,fast,http://id.worldcat.org/fast/852675,,,,,,,,,,,,,,,,,Draughts or Checkers for Beginners,judgingbookcover_dcb_001,Cover,,
Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,"Trowbridge, J. T. (John Townsend), 1827-1916",personal,aut,naf,http://id.loc.gov/authorities/names/n82108883,,,,,,,,,,,,,,,,,,,,,1863,,,1863,,0,1,CLIO_6159331,omeka_4896,text,eng,https://exhibitions.cul.columbia.edu/exhibits/show/bindings/emblematic/items_9_16,,NNC-RB,marcorg,,,,,GBF109.600.JPG,reformatted digital,,books,aat,Boston (Mass.),naf,http://id.loc.gov/authorities/names/n79045553,,,,,,,,,,Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,http://www.columbia.edu/cgi-bin/cul/resolve?clio8235351,,J. E. Tilton & Co.,,eng,,Publishers' bindings,fast,http://id.worldcat.org/fast/1083522,Vignettes,fast,http://id.worldcat.org/fast/1166915,Drum,fast,http://id.worldcat.org/fast/899028,,,,,,,,,,,,,,,,,,,The ,Drummer Boy: A Story of Burnside's Expedition,judgingbookcover_dbs_001,Cover,,
Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,"Halpine, Charles G. (Charles Graham), 1829-1868",personal,aut,naf,http://id.loc.gov/authorities/names/nr91009448,,,,,,,,,,,,,,,,,,,,,1864,,,1864,,0,1,CLIO_6173924,omeka_4897,text,eng,https://exhibitions.cul.columbia.edu/exhibits/show/bindings/emblematic/items_9_16,,NNC-RB,marcorg,,,"Miles O'Reilly is the pseudonym of Charles Graham Halpine, 1829-1868.",,GBF110.600.JPG,reformatted digital,,books,aat,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,,,,,,,,,,Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,http://www.columbia.edu/cgi-bin/cul/resolve?clio8235351,,"Carleton, Publisher",,eng,,Publishers' bindings,fast,http://id.worldcat.org/fast/1083522,Vignettes,fast,http://id.worldcat.org/fast/1166915,Pegasus (Greek mythology),fast,http://id.worldcat.org/fast/1056615,,,,"Halpine, Charles G. (Charles Graham), 1829-1868",naf,http://id.loc.gov/authorities/names/nr91009448,,,,,,,,,,,,,The ,"Life and Adventures, Songs, Services, and Speeches of Private Miles O'Reilly: (47th Regiment, New York Volunteers) ""The Post of Honor Is the Private's Station""; With Comic Illustrations by Mullen; From the Authentic Records of the New York Herald",judgingbookcover_las_001,Cover,,
Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,"Carleton, William, 1794-1869",personal,aut,naf,http://id.loc.gov/authorities/names/n78094011,,,,,,,,,,,,,,,,,,,,,1860,,,1860,,0,1,CLIO_7415490,omeka_4895,text,eng,https://exhibitions.cul.columbia.edu/exhibits/show/bindings/emblematic/items_9_16,,NNC-RB,marcorg,,,,,GBF108.600.JPG,reformatted digital,,books,aat,Dublin (Ireland),naf,http://id.loc.gov/authorities/names/n79065753,,,,,,,,,,Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,http://www.columbia.edu/cgi-bin/cul/resolve?clio8235351,Bequest of Mollie Harris Samuels,James Duffy,,eng,,Publishers' bindings,fast,http://id.worldcat.org/fast/1083522,Vignettes,fast,http://id.worldcat.org/fast/1166915,Portrait miniatures,fast,http://id.worldcat.org/fast/1072148,,,,,,,,,,,,,,,,,,,The ,"Evil Eye; or, The Black Spectre: A Romance; Illustrated with Thirteen Engravings on Wood, from Drawings by Edmund Fitzpatrick, Esq",judgingbookcover_eet_001,Cover,,
Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,"Kirby, Elizabeth, 1823-1873",personal,aut,naf,http://id.loc.gov/authorities/names/no96017069,"Leighton, John, 1822-1912",personal,ctb,naf,http://id.loc.gov/authorities/names/nr93004137,"Browne, Hablot Knight, 1815-1882",personal,ill,naf,http://id.loc.gov/authorities/names/n50042827,,,,,,,,,,,1856,,,1856,,0,1,,omeka_4894,text,eng,https://exhibitions.cul.columbia.edu/exhibits/show/bindings/emblematic/items_9_16,,NNC-RB,marcorg,,,Stamp cut by John Leighton (1822-1912),,GBF106.600.JPG,reformatted digital,,books,aat,London (England),naf,http://id.loc.gov/authorities/names/n79005665,,,,,,,,,,Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,http://www.columbia.edu/cgi-bin/cul/resolve?clio8235351,Gift of Frances Henne,Grant and Griffith,,eng,,Publishers' bindings,fast,http://id.worldcat.org/fast/1083522,Vignettes,fast,http://id.worldcat.org/fast/1166915,,,,,,,,,,,,,,,,,,,,,,The ,"Talking Bird; or, The Little Girl Who Knew What Was Going to Happen",judgingbookcover_tbt_001,Cover,,
Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,"Derby, George Horatio, 1823-1861",personal,aut,naf,http://id.loc.gov/authorities/names/n50002943,,,,,,,,,,,,,,,,,,,,,1856,,,1856,Seventh Edition.,0,1,CLIO_6181322,omeka_4893,text,eng,https://exhibitions.cul.columbia.edu/exhibits/show/bindings/emblematic/items_9_16,,NNC-RB,marcorg,,,,,GBF105.600.JPG,reformatted digital,,books,aat,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,,,,,,,,,,Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,http://www.columbia.edu/cgi-bin/cul/resolve?clio8235351,,A. Appleton and Company,,eng,,Publishers' bindings,fast,http://id.worldcat.org/fast/1083522,Vignettes,fast,http://id.worldcat.org/fast/1166915,Goblins,fast,http://id.worldcat.org/fast/944030,,,,,,,,,,,,,,,,,,,,"Phœnixiana; or, Sketches and Burlesques",judgingbookcover_psb_001,Cover,,
Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,"Saunders, Frederick, 1807-1902",personal,aut,naf,http://id.loc.gov/authorities/names/n88667964,,,,,,,,,,,,,,,,,,,,,1856,,,1856,,0,1,CLIO_563414,omeka_4892,text,eng,https://exhibitions.cul.columbia.edu/exhibits/show/bindings/emblematic/items_9_16,,NNC-RB,marcorg,,,,,GBF104.600.JPG,reformatted digital,,books,aat,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,London (England),naf,http://id.loc.gov/authorities/names/n79005665,,,,,,,Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,http://www.columbia.edu/cgi-bin/cul/resolve?clio8235351,,De Witt & Davenport,Richard Bentley,eng,,Publishers' bindings,fast,http://id.worldcat.org/fast/1083522,Vignettes,fast,http://id.worldcat.org/fast/1166915,Salads,fast,http://id.worldcat.org/fast/1103728,,,,,,,,,,,,,,,,,,,,Salad for the Social,judgingbookcover_sfs_001,Cover,,
Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,"Parton, James, 1822-1891",personal,aut,naf,http://id.loc.gov/authorities/names/n50050588,,,,,,,,,,,,,,,,,,,,,1855,,,1855,,0,1,CLIO_1532456,omeka_4891,text,eng,https://exhibitions.cul.columbia.edu/exhibits/show/bindings/emblematic/items_1_8,,NNC-RB,marcorg,,,,,GBF103.600.JPG,reformatted digital,,books,aat,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,,,,,,,,,,Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,http://www.columbia.edu/cgi-bin/cul/resolve?clio8235351,,Mason Brothers,,eng,,Publishers' bindings,fast,http://id.worldcat.org/fast/1083522,Vignettes,fast,http://id.worldcat.org/fast/1166915,Newspaper presses,fast,http://id.worldcat.org/fast/1037073,,,,,,,,,,,,,,,,,,,The ,"Life of Horace Greeley, Editor of the New York Tribune",judgingbookcover_lhg_001,Cover,,
Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,"Robinson, Solon, 1803-1880",personal,aut,naf,http://id.loc.gov/authorities/names/nr92011350,,,,,,,,,,,,,,,,,,,,,1854,,,1854,,0,1,CLIO_6182273,omeka_4890,text,eng,https://exhibitions.cul.columbia.edu/exhibits/show/bindings/emblematic/items_1_8,,NNC-RB,marcorg,,,,,GBF102.600.JPG,reformatted digital,,books,aat,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,,,,,,,,,,Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,http://www.columbia.edu/cgi-bin/cul/resolve?clio8235351,,De Witt and Davenport,,eng,,Publishers' bindings,fast,http://id.worldcat.org/fast/1083522,Vignettes,fast,http://id.worldcat.org/fast/1166915,Kettles,fast,http://id.worldcat.org/fast/986961,,,,,,,,,,,,,,,,,,,,"Hot Corn: Life Scenes in New York Illustrated: Including, The Story of Little Katy, Madalina, the Rag-Picker's Daughter, Wild Maggie, &c",judgingbookcover_hcl_001,Cover,,
Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,"Speckter, Otto, 1807-1871",personal,ill,naf,http://id.loc.gov/authorities/names/n82120661,Lossing,personal,egr,,,,,,,,,,,,,,,,,,1853,,,1853,,0,1,,omeka_4889,text,eng,https://exhibitions.cul.columbia.edu/exhibits/show/bindings/emblematic/items_1_8,,NNC-RB,marcorg,,,Illustrated with Twelve Original Designs by Otto Speckter; Engraved by Lossing,,GBF101.600.JPG,reformatted digital,,books,aat,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,,,,,,,,,,Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,http://www.columbia.edu/cgi-bin/cul/resolve?clio8235351,Gift of Frances Henne,D. Appleton & Company,,eng,,Publishers' bindings,fast,http://id.worldcat.org/fast/1083522,Vignettes,fast,http://id.worldcat.org/fast/1166915,Puss in Boots (Tale),fast,http://id.worldcat.org/fast/1084466,,,,,,,,,,,,,,,,,,,,"Puss in Boots, and the Marquis of Carabas:  A Pure Translation from the Original German",judgingbookcover_pbm_001,Cover,,
Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,"James, G. P. R. (George Payne Rainsford), 1801?-1860",personal,aut,naf,http://id.loc.gov/authorities/names/n88068106,"Field, Maunsell B. (Maunsell Bradhurst), 1822-1875",personal,aut,naf,http://id.loc.gov/authorities/names/n90603166,,,,,,,,,,,,,,,,1852,,,1852,,0,1,CLIO_441303,omeka_4887,text,eng,https://exhibitions.cul.columbia.edu/exhibits/show/bindings/emblematic/items_1_8,,NNC-RB,marcorg,,,,,GBF099.600.JPG,reformatted digital,,books,aat,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,,,,,,,,,,Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,http://www.columbia.edu/cgi-bin/cul/resolve?clio8235351,Gift of Francis J. Sypher,D. Appleton & Company,,eng,,Publishers' bindings,fast,http://id.worldcat.org/fast/1083522,Vignettes,fast,http://id.worldcat.org/fast/1166915,Clouds,fast,http://id.worldcat.org/fast/864856,,,,,,,,,,,,,,,,,,,,Adrian; or the Clouds of the Mind: a Romance,judgingbookcover_acm_001,Cover,,
Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,"Bailey, Philip James, 1816-1902",personal,aut,naf,http://id.loc.gov/authorities/names/n82158329,,,,,,,,,,,,,,,,,,,,,1852,,,1852,,0,1,CLIO_673286,omeka_4888,text,eng,https://exhibitions.cul.columbia.edu/exhibits/show/bindings/emblematic/items_1_8,,NNC-RB,marcorg,,,,,GBF100.600.JPG,reformatted digital,,books,aat,London (England),naf,http://id.loc.gov/authorities/names/n79005665,,,,,,,,,,Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,http://www.columbia.edu/cgi-bin/cul/resolve?clio8235351,Gift of Carl and Mary E. Woodring,William Pickering,,eng,,Publishers' bindings,fast,http://id.worldcat.org/fast/1083522,Vignettes,fast,http://id.worldcat.org/fast/1166915,Snakes,fast,http://id.worldcat.org/fast/1121833,,,,,,,,,,,,,,,,,,,,"Festus: A Poem, Fifth Edition",judgingbookcover_fpf_001,Cover,,
Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,"Phelps, Elizabeth Stuart, 1844-1911",personal,aut,naf,http://id.loc.gov/authorities/names/n80009688,"Trusta, H., 1815-1852",personal,aut,naf,http://id.loc.gov/authorities/names/n80117122,,,,,,,,,,,,,,,,1852,,,1852,,0,1,CLIO_6158263,omeka_4886,text,eng,https://exhibitions.cul.columbia.edu/exhibits/show/bindings/emblematic/items_1_8,,NNC-RB,marcorg,,,"H. Trusta is the pen-name of Elizabeth Stuart Phelps, 1815-1852.",,GBF098.600.JPG,reformatted digital,,books,aat,Andover (Mass.),naf,http://id.loc.gov/authorities/names/n79029234,Boston (Mass.),naf,http://id.loc.gov/authorities/names/n79045553,,,,,,,Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,http://www.columbia.edu/cgi-bin/cul/resolve?clio8235351,,Warren F. Draper,J. P. Jewett and Co.,eng,,Publishers' bindings,fast,http://id.worldcat.org/fast/1083522,Vignettes,fast,http://id.worldcat.org/fast/1166915,Angels,fast,http://id.worldcat.org/fast/808746,,,,,,,,,,,,,,,,,,,The ,"Angel over the Right Shoulder, or the Beginning of a New Year",judgingbookcover_ars_001,Cover,,
