item - itemId,item in context,item - public,item - featured,item - MODS - PhysicalDescription 1,item - MODS - PhysicalDescription 2,item - MODS - FormGenre,item - MODS - Notes,item - MODS - TypeofDate,item - MODS - DigitalOrigin,item - MODS - RepositoryName,item - MODS - RepositoryName - code,item - MODS - LanguageofCataloging,item - MODS - KeyDate - Single/Start,item - MODS - KeyDate - End,item - MODS - PlaceofOrigin 1,item - MODS - PlaceofOrigin 2,item - MODS - Collection,item - MODS - ShelfLocation,item - DublinCore - Title,item - DublinCore - Title - Whole,item - DublinCore - Title - Part,item - DublinCore - Title 2,item - DublinCore - Title 2 - Whole,item - DublinCore - Title 2 - Part,item - DublinCore - Title 2 - Attribute,item - DublinCore - Creator 1,item - DublinCore - Creator 2,item - DublinCore - Language,item - DublinCore - Date,item - DublinCore - Subject 1,item - DublinCore - Subject 2,item - DublinCore - Publisher,item - DublinCore - Identifier,item - DublinCore - Description,item - DublinCore - Contributor,item - OriginalFileLoadedIntoOmeka 1,item - OriginalFileLoadedIntoOmeka 2,item - OriginalFileLoadedIntoOmeka 3,item - OriginalFileLoadedIntoOmeka 4,item - OriginalFileLoadedIntoOmeka 5,item - OriginalFileLoadedIntoOmeka 6,item - OriginalFileLoadedIntoOmeka 7,item - OriginalFileLoadedIntoOmeka 8,item - OriginalFileLoadedIntoOmeka 9,item - OriginalFileLoadedIntoOmeka 10,item - OriginalFileLoadedIntoOmeka 11,item - OriginalFileLoadedIntoOmeka 12,item - AdditionalItemMetadata - Provenance,item - AdditionalItemMetadata - SpatialCoverage,item - OmekaCollection,project URL,item - ItemType,item - ItemType - text
34,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/slavery/page-1,1,0,1 page,1 image,manuscripts,,approximate,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1929,1930,,,George A. Plimpton Papers,Box 37,Introduction to the facsimile of of the John Johnston account book. Page 1,Introduction to the facsimile of of the John Johnston account book,Page 1,Slavery is as old as mankind. Page 1,Slavery is as old as mankind …,Page 1,alternative,"Plimpton, George A. (George Arthur), 1855-1936",,eng,circa 1930,Slavery,,,,,,original filename: plmptn_135_001.jpg,,,,,,,,,,,,Gift of George Arthur Plimpton,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",http://www.columbia.edu/cgi-bin/cul/resolve?lweb0116,still image,
35,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/medieval-quadrivium/page-4,1,0,2 pages,1 image,books,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1484-01-15,,Venice (Italy),,Incunabula,Goff P1088,Quadripartitum. Page 1 verso - page 2 recto.,Quadripartitum,Page 1 verso - page 2 recto.,,,,,"Ptolemy, active 2nd century",,lat,"January 15, 1484","Astrology, Greek",,Erhard Ratdolt,CLIO_1079623,,,original filename: plmptn_037_001.jpg,,,,,,,,,,,,Gift of George Arthur Plimpton,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",http://www.columbia.edu/cgi-bin/cul/resolve?lweb0116,still image,
36,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/friends/page-2,1,0,page 1,1 image,periodicals,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1937-08,,New York,,,Plimpton Coll File Folder,"Bibliotheca Columbiana: Number 4, August 1937. Cover page","Bibliotheca Columbiana: Number 4, August 1937",Cover page,,,,,Friends of the Columbia Libraries,,eng,Aug. 1937,Friends of the Columbia Libraries,,The Friends of the Library of Columbia University,CLIO_3402156,,,original filename: plmptn_119_001.jpg,,,,,,,,,,,,Gift of George Arthur Plimpton,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",http://www.columbia.edu/cgi-bin/cul/resolve?lweb0116,still image,
37,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/george-arthur-plimpton/page-1,1,0,1 page,1 image,manuscripts,,approximate,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1925,1927,,,George A. Plimpton Papers,Plimpton Papers Old Box 37,Fifty Years as a Publisher. Page 1,Fifty Years as a Publisher,Page 1,,,,,"Plimpton, George A. (George Arthur), 1855-1936",,eng,circa 1926,"Plimpton, George A. (George Arthur), 1855-1936",,,,,,original filename: plmptn_141_001.jpg,,,,,,,,,,,,Gift of George Arthur Plimpton,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",http://www.columbia.edu/cgi-bin/cul/resolve?lweb0116,still image,
38,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/early-modern/page-2,1,0,1 page,1 image,books,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1570,,London (England),,Plimpton,Plimpton 513 1570 Eu2 (STC 10560),Elements of Geometrie of the most auncient philosopher Euclide of Megara. Page 1,Elements of Geometrie of the most auncient philosopher Euclide of Megara,Page 1,,,,,Euclid,"Billingsley, Henry, Sir, -1606",eng,1570,Geometry,,John Daye,CLIO_5551593,,,original filename: plmptn_082_001.jpg,,,,,,,,,,,,Gift of George Arthur Plimpton,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",http://www.columbia.edu/cgi-bin/cul/resolve?lweb0116,still image,
40,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/medieval-trivium/page-4,1,0,page 98,1 image,manuscripts,,approximate,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1600,1649,Douai (France),,Plimpton,Plimpton MS 022,Student Notes on Aristotle’s Logical Works. Page 98,Student Notes on Aristotle’s Logical Works,Page 98,,,,,,,lat,First half of the 17th century,Aristotle,,,,,,original filename: plmptn_025_001.jpg,,,,,,,,,,,,Gift of George Arthur Plimpton,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",http://www.columbia.edu/cgi-bin/cul/resolve?lweb0116,still image,
41,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/george-arthur-plimpton/page-3,1,0,1 page,1 image,correspondence,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1901-02-01,,,,George A. Plimpton Papers,,Letter to Caroline Hazard,Letter to Caroline Hazard,,,,,,"Plimpton, George A. (George Arthur), 1855-1936","Hazard, Caroline, 1856-1945",eng,"Feb. 2, 1901",Wellesley College Library,,,,,,original filename: plmptn_146_001.jpg,,,,,,,,,,,,Gift of George Arthur Plimpton,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",http://www.columbia.edu/cgi-bin/cul/resolve?lweb0116,still image,
42,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/medieval-trivium/page-1,1,0,cover,1 image,books,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1935,,London (England),New York (N.Y.),Plimpton Reference,Plimpton Ref R372 P712,Education of Chaucer Illustrated from the Schoolbooks in Use in His Time. Front cover,Education of Chaucer Illustrated from the Schoolbooks in Use in His Time,Front cover,,,,,"Plimpton, George A. (George Arthur), 1855-1936",,eng,1935,"Chaucer, Geoffrey, -1400",,Oxford University Press,CLIO_384621,,,original filename: plmptn_028_001.jpg,,,,,,,,,,,,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",http://www.columbia.edu/cgi-bin/cul/resolve?lweb0116,still image,
43,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/mathematics/page-3,1,0,2 pages,1 image,books,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1796,,Tokyo (Japan),,Smith Japanese,Smith Japanese O-8,Oranda tensetsu. 2 unnumbered pages,Oranda tensetsu,2 unnumbered pages,Dutch astronomy explained. 2 unnumbered pages,Dutch astronomy explained,2 unnumbered pages,translated,"Shiba, Kōkan, 1738?-1818",,jpn,8th year of Kansei,Astronomy,,Shunparo,,,,original filename: plmptn_084_001.jpg,,,,,,,,,,,,Gift of George Arthur Plimpton,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",http://www.columbia.edu/cgi-bin/cul/resolve?lweb0116,still image,
44,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/mathematics/page-3,1,0,1 page,1 image,manuscripts,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1824,,Indiana,,Plimpton,Plimpton Historical Manuscripts,Arithmetic Exercises from Manuscript Sum Book,Arithmetic Exercises from Manuscript Sum Book,,,,,,"Lincoln, Abraham, 1809-1865",,eng,1824,"Lincoln, Abraham, 1809-1865",,,,,,original filename: plmptn_089_001.jpg,,,,,,,,,,,,Gift of George Arthur Plimpton,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",http://www.columbia.edu/cgi-bin/cul/resolve?lweb0116,still image,
45,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/slavery/page-1,1,0,title page,1 image,books,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1930,,Worcester (Mass.),,Plimpton,Slavery Collection Series,"Journal of an African Slaver, 1789-1792. Title page","Journal of an African Slaver, 1789-1792",Title page,,,,,American Antiquarian Society,"Plimpton, George A. (George Arthur), 1855-1936",eng,1930,Slavery,,American Antiquarian Society,CLIO_5535825,,,original filename: plmptn_121_001.jpg,,,,,,,,,,,,Gift of George Arthur Plimpton,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",http://www.columbia.edu/cgi-bin/cul/resolve?lweb0116,still image,
46,,1,0,1 page,1 image,books,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1892,,Boston (Mass.),,Plimpton,A091 1892 G431,Ginn & Company's writing books. Front cover,Ginn & Company's writing books,Front cover,Writing books. Front cover,Writing books,Front cover,alternative,Ginn and Company,,eng,1892,Penmanship,,Ginn and Company,CLIO_1930859,,,original filename: plmptn_111_001.jpg,,,,,,,,,,,,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",http://www.columbia.edu/cgi-bin/cul/resolve?lweb0116,still image,
47,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/medieval-trivium/page-2,1,0,1 page,1 image,books,,approximate,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1470,1480,Venice (Italy),,Incunabula,Goff D234,Ars Grammatica. Page a2 recto,Ars Grammatica,Page a2 recto,,,,,"Diomedes (Grammarian), active 4th century",,lat,circa 1475,Latin language--Grammar,,Nicholas Jenson,CLIO_1637759,,,original filename: plmptn_017_001.jpg,,,,,,,,,,,,Gift of George Arthur Plimpton,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",http://www.columbia.edu/cgi-bin/cul/resolve?lweb0116,still image,
48,,1,0,1 page,1 image,manuscripts,,approximate,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1325,1375,Siena (Italy),,Plimpton,Plimpton MS 040i,Gradual. Unnumbered page,Gradual,Unnumbered page,,,,,,,eng,Mid 14th century,Epiphany music,,,,,,original filename: plmptn_039_001.jpg,,,,,,,,,,,,Gift of the Estate of Mrs. Francis T. P. Plimpton in 1995,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",http://www.columbia.edu/cgi-bin/cul/resolve?lweb0116,still image,
50,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/mathematics/page-1,1,0,1 page,1 image,manuscripts,,approximate,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1925,1927,New York (N.Y.)?,,George A. Plimpton Papers,Old Box 37,David Eugene Smith. Page 1,David Eugene Smith,Page 1,,,,,"Plimpton, George A. (George Arthur), 1855-1936","Smith, David Eugene, 1860-1944",eng,circa 1926,"Smith, David Eugene, 1860-1944",,,,,,original filename: plmptn_142_001.jpg,,,,,,,,,,,,Gift of George Arthur Plimpton,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",http://www.columbia.edu/cgi-bin/cul/resolve?lweb0116,still image,
51,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/women/page-4,1,0,title page,1 image,books,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1806,,London (England),,Plimpton,Plimpton 376 1806 M81 v.1,Strictures on the Modern System of Female Education. Title page,Strictures on the Modern System of Female Education,Title page,,,,,"More, Hannah, 1745-1833",,eng,1806,Women--Education,,Printed for T. Cadell and W. Davis,CLIO_6182028,,,original filename: plmptn_129_001.jpg,,,,,,,,,,,,Gift of George Arthur Plimpton,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",http://www.columbia.edu/cgi-bin/cul/resolve?lweb0116,still image,
52,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/hornbooks/page-1,1,0,1 hornbook,1 image,objects,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1792,,London (England),,Plimpton Hornbooks,Hornbooks No. 17,Hornbook,Hornbook,,,,,,"St. Paul's Infant School (London, England)",,eng,1729,,,,,,,original filename: plmptn_117_001.jpg,,,,,,,,,,,,Gift of George Arthur Plimpton,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",http://www.columbia.edu/cgi-bin/cul/resolve?lweb0116,still image,
53,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/medieval-quadrivium/page-5,1,0,2 pages,1 image,books,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1488-05-20,,Augsburg (Germany),,Incunabula,Goff B828,De Institutione Arithmetica. Page c1 verso - page c2 recto,De Institutione Arithmetica,Page c1 verso - page c2 recto,,,,,"Boethius, -524",,lat,"May 20, 1488",Arithmetic,,Erhard Ratdolt,CLIO_1623900,,,original filename: plmptn_036_001.jpg,,,,,,,,,,,,Gift of George Arthur Plimpton,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",http://www.columbia.edu/cgi-bin/cul/resolve?lweb0116,still image,
54,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/george-arthur-plimpton/page-2,1,0,1 photoprint,1 image,photographs,,approximate,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1870,1879,,,George A. Plimpton Papers,,Portrait of George Arthur Plimptom as YounGerman Man,Portrait of George Arthur Plimptom as YounGerman Man,,,,,,"Plimpton, George A. (George Arthur), 1855-1936",,eng,1870s?,"Plimpton, George A. (George Arthur), 1855-1936",,,,,,original filename: plmptn_094_001.jpg,,,,,,,,,,,,Gift of George Arthur Plimpton,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",http://www.columbia.edu/cgi-bin/cul/resolve?lweb0116,still image,
56,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/women/page-2,1,0,title page,1 image,books,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1659,,London (England),,Plimpton,Plimpton 376 1659 Sch8,"Learned Maid, or Whether a Maid may be a Scholar. Title page","Learned Maid, or Whether a Maid may be a Scholar",Title page,,,,,"Schurman, Anna Maria van, 1607-1678",,eng,1659,Women--Education,,Printed by Johon Redmayne,CLIO_6196727,,,original filename: plmptn_127_001.jpg,,,,,,,,,,,,Gift of George Arthur Plimpton,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",http://www.columbia.edu/cgi-bin/cul/resolve?lweb0116,still image,
57,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/handwriting/page-2,1,0,page 30,1 image,books,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1741,,London (England),,Plimpton,Plimpton 092 1741 B47,Universal Penman. Title page,Universal Penman,Title page,,,,,"George Bickham, 1684?-1758?",,eng,1741,Penmanship,,Printed for the Author,CLIO_6183070,,,original filename: plmptn_071_001.jpg,,,,,,,,,,,,Gift of George Arthur Plimpton,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",http://www.columbia.edu/cgi-bin/cul/resolve?lweb0116,still image,
58,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/early-modern/page-2,1,0,title page,1 image,books,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1528,,Parisiis,,Plimpton,Plimpton 470 1528 M48,Grammatica Latina Philippi Melanchthonis. Title page,Grammatica Latina Philippi Melanchthonis,Title page,,,,,"Melanchthon, Philipp, 1497-1560",,lat,1528,Latin language--Grammar,,Ex officina Roberti Stephani,,,,original filename: plmptn_046_001.jpg,,,,,,,,,,,,Gift of George Arthur Plimpton,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",http://www.columbia.edu/cgi-bin/cul/resolve?lweb0116,still image,
59,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/women/page-3,1,0,title page,1 image,books,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1792,,London (England),,Plimpton,Plimpton 396 1792 G54,Vindication of the Rights of Women. Title page,Vindication of the Rights of Women,Title page,,,,,"Wollstonecraft, Mary, 1759-1797",,eng,1792,Women's rights,,Printed for J. Johnson,,,,original filename: plmptn_122_001.jpg,,,,,,,,,,,,Gift of George Arthur Plimpton,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",http://www.columbia.edu/cgi-bin/cul/resolve?lweb0116,still image,
60,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/handwriting/page-5,1,0,2 pages,2 images,correspondence,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1926-04-24,,,,George A. Plimpton Papers,Plimpton Papers 1987 Gift,"Letter to George Arthur Plimpton, April 24, 1926","Letter to George Arthur Plimpton, April 24, 1926",,,,,,"Morison, Stanley, 1889-1967","Plimpton, George A. (George Arthur), 1855-1936",eng,"April 24, 1926",Photography,,,,,,original filename: plmptn_106_001.jpg,original filename: plmptn_106_002.jpg,,,,,,,,,,,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",http://www.columbia.edu/cgi-bin/cul/resolve?lweb0116,still image,
61,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/encyclopedias/page-1,1,0,1 page,1 image,manuscripts,,approximate,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1180,1199,Italy?,,Plimpton,Plimpton MS 125,Etymologiarum Libri. Page 109 recto,Etymologiarum Libri,Page 109 recto,,,,,"Isidore, of Seville, Saint, -636",,lat,End of the 12th century,Encyclopedias and dictionaries,,,,,,original filename: plmptn_002_001.jpg,,,,,,,,,,,,Gift of George Arthur Plimpton,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",http://www.columbia.edu/cgi-bin/cul/resolve?lweb0116,still image,
62,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/medieval-trivium/page-1,1,0,2 pages,2 images,books,,approximate,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1458,1460,Bamberg (Germany),,Incunabula,Goff D316,Ars Minor. Fragment,Ars Minor,Fragment,,,,,"Donatus, Aelius",,lat,ca. 1458-1460,Latin language--Grammar,,Albrecht Pfister,,,,original filename: plmptn_113_001.jpg,original filename: plmptn_113_002.jpg,,,,,,,,,,,Gift of George Arthur Plimpton,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",http://www.columbia.edu/cgi-bin/cul/resolve?lweb0116,still image,
63,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/george-arthur-plimpton/page-2,1,0,1 photoprint,1 image,photographs,,approximate,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1890,1899,,,Plimpton Family Papers,,Photograph of Frances T.P. and George A. Plimpton,Photograph of Frances T.P. and George A. Plimpton,,,,,,"Plimpton, George A. (George Arthur), 1855-1936","Plimpton, Francis T. P. (Francis Taylor Pearsons), 1900-1983",eng,ca. 1890's,Plimpton family,,,,,,original filename: plmptn_103_001.jpg,,,,,,,,,,,,Gift of George Arthur Plimpton,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",http://www.columbia.edu/cgi-bin/cul/resolve?lweb0116,still image,
64,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/george-arthur-plimpton/page-4,1,0,1 page,1 image,correspondence,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1917-01-17,,,,George A. Plimpton Papers,,"Letter To The Independent, 11 January 1917 (carbon). Front","Letter To The Independent, 11 January 1917 (carbon)",Front,,,,,"Plimpton, George A. (George Arthur), 1855-1936","Holt, Hamilton, 1872-1951",eng,"Jan. 11, 1917",Church Peace Union,,,,,,original filename: plmptn_139_001.jpg,,,,,,,,,,,,Gift of George Arthur Plimpton,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",http://www.columbia.edu/cgi-bin/cul/resolve?lweb0116,still image,
66,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/early-modern/page-2,1,0,1 page,1 image,books,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1520,,Leipzig (Germany),,Plimpton,Plimpton 879.8 1520 Er153,"Familiarium Colloquiorum Formulae, in Graciam Juventutis Recognite ab Erasmo Roterdamo. Title page","Familiarium Colloquiorum Formulae, in Graciam Juventutis Recognite ab Erasmo Roterdamo",Title page,,,,,"Erasmus, Desiderius, -1536",,lat,1520,"Dialogues, Latin",,V. Schumann,CLIO_6204041,,,original filename: plmptn_045_001.jpg,,,,,,,,,,,,Gift of George Arthur Plimpton,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",http://www.columbia.edu/cgi-bin/cul/resolve?lweb0116,still image,
67,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/george-arthur-plimpton/page-5,1,0,1 photoprint,1 image,photographs,"Plimpton Family, photos, extended family",,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1934-11,,Walpole (Mass.),,Plimpton Family Papers,,Thanksgiving 1934,Thanksgiving 1934,,,,,,"Plimpton, George A. (George Arthur), 1855-1936",,eng,Nov. 1934,Plimpton family,,,,,,original filename: plmptn_156_001.jpg,,,,,,,,,,,,Gift of George Arthur Plimpton,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",http://www.columbia.edu/cgi-bin/cul/resolve?lweb0116,still image,
68,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/friends/page-1,1,0,1 page,1 image,correspondence,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1928-06-28,,Southampton (N.Y.),,George A. Plimpton Papers,,Letter to George Arthur Plimpton regarding  Friends of the Library,Letter to George Arthur Plimpton regarding  Friends of the Library,,,,,,"Butler, Nicholas Murray, 1862-1947","Plimpton, George A. (George Arthur), 1855-1936",eng,"June 28, 1928",Friends of the Columbia Libraries,,,,,,original filename: plmptn_108_001.jpg,,,,,,,,,,,,Gift of George Arthur Plimpton,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",http://www.columbia.edu/cgi-bin/cul/resolve?lweb0116,still image,
69,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/medieval-quadrivium/page-4,1,0,2 pages,1 image,manuscripts,,approximate,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1480,1499,Benelux countries,,Plimpton,Plimpton MS 183,De Sphaera Mundi. Page 32 verso - page 33 recto,De Sphaera Mundi,Page 32 verso - page 33 recto,,,,,"Sacro Bosco, Joannes de, active 1230",,lat,End of the 15th century,Astronomy,,,,,,original filename: plmptn_001_001.jpg,,,,,,,,,,,,Gift of George Arthur Plimpton,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",http://www.columbia.edu/cgi-bin/cul/resolve?lweb0116,still image,
70,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/medieval-trivium/page-1,1,0,1 page,1 image,manuscripts,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1393,,Lombardy (Italy),,Plimpton,Plimpton MS 017,"Nichomachean Ethics, Politics. Page 3 recto","Nichomachean Ethics, Politics",Page 3 recto,Ethica. Page 3 recto,Ethica,Page 3 recto,alternative,Aristotle,,lat,1393,Ethics,,,,,,original filename: plmptn_013_001.jpg,,,,,,,,,,,,Gift of George Arthur Plimpton,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",http://www.columbia.edu/cgi-bin/cul/resolve?lweb0116,still image,
72,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/medieval-quadrivium/page-2,1,0,1 page,1 image,manuscripts,,approximate,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1375,1399,England?,,Plimpton,Plimpton MS 160,Elementa. Page 1 recto,Elementa,Page 1 recto,,,,,Euclid,,lat,End of the 14th century,Geometry,,,,,,original filename: plmptn_030_001.jpg,,,,,,,,,,,,Gift of George Arthur Plimpton,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",http://www.columbia.edu/cgi-bin/cul/resolve?lweb0116,still image,
73,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/george-arthur-plimpton/page-2,1,0,"2 pages, 1 envelope",3 images,correspondence,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1904-08-17,,Harrisburg (Pa.),,Plimpton Family Papers,"Box 3, Folder 12, Series I.3","Letter to Francis T. P. Plimpton, August 17, 1904. Letter and envelope front","Letter to Francis T. P. Plimpton, August 17, 1904",Letter and envelope front,,,,,"Plimpton, George A. (George Arthur), 1855-1936","Plimpton, Francis T. P. (Francis Taylor Pearsons), 1900-1983",eng,"Aug. 17, 1904",Plimpton family,,,,,,original filename: plmptn_158_001.jpg,original filename: plmptn_158_002.jpg,original filename: plmptn_158_003.jpg,,,,,,,,,,Gift of George Arthur Plimpton,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",http://www.columbia.edu/cgi-bin/cul/resolve?lweb0116,still image,
74,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/early-modern/page-4,1,0,pages 6-7,1 image,books,Interleaved with author’s ms. notes of revisions.,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1857,,Edinburgh (Scotland),,Plimpton,Plimpton 808.8 1857 M,Course of Elementary Reading in Science and Literature. Page 6-7,Course of Elementary Reading in Science and Literature,Page 6-7,,,,,"M'Culloch, J. M. (James Melville), 1801-1883",,eng,1857,Science,,Oliver & Boyd,,,,original filename: plmptn_059_001.jpg,,,,,,,,,,,,Gift of George Arthur Plimpton,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",http://www.columbia.edu/cgi-bin/cul/resolve?lweb0116,still image,
75,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/hornbooks/page-1,1,0,1 page,1 image,printed ephemera,,approximate,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1900,1915,,,George A. Plimpton Papers,,Bookplate of George Arthur Plimpton,Bookplate of George Arthur Plimpton,,,,,,"Plimpton, George A. (George Arthur), 1855-1936",,eng,Early 20th century?,,,,,,,original filename: plmptn_099_001.jpg,,,,,,,,,,,,Gift of George Arthur Plimpton,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",http://www.columbia.edu/cgi-bin/cul/resolve?lweb0116,still image,
