note-1:note_value,note-1:note_type,_project.string_key,_digital_object_type.string_key,_identifiers-1,_parent_digital_objects-1.identifier,title-1:title_non_sort_portion,title-1:title_sort_portion,alternative_title-1:alternative_title_value,extent-1:extent_value,omeka_identifier-1:omeka_identifier_value,object_in_context_url-1:object_in_context_url_value,form-1:form_term.value,form-1:form_term.uri,form-1:form_term.authority,form-2:form_term.value,form-2:form_term.uri,form-2:form_term.authority,type_of_resource-1:type_of_resource_value,language-1:language_term.value,language-1:language_term.authority,language-1:language_term.uri,language-2:language_term.value,language-2:language_term.authority,language-2:language_term.uri,note-2:note_value,note-3:note_value,note-3:note_type,note-4:note_value,note-5:note_value,note-6:note_value,note-7:note_value,note-8:note_value,note-9:note_value,note-10:note_value,note-11:note_value,note-12:note_value,note-13:note_value,note-14:note_value,note-15:note_value,note-16:note_value,note-17:note_value,internal_note-1:internal_note_value,collection-1:collection_term.value,collection-1:collection_term.uri,collection-2:collection_term.value,collection-2:collection_term.uri,location-1:location_term.value,location-1:location_term.uri,location-1:location_sublocation,location-1:location_shelf_location-1.location_shelf_location_free_text,digital_origin-1:digital_origin_value,publisher-1:publisher_value,abstract-1:abstract_value,clio_identifier-1:clio_identifier_value,restriction_on_access-1:restriction_on_access_value,use_and_reproduction-1:use_and_reproduction_value,use_and_reproduction-1:use_and_reproduction_term.authority,use_and_reproduction-1:use_and_reproduction_term.uri,date_created_textual-1:date_created_textual_value,date_created-1:date_created_start_value,date_created-1:date_created_key_date,date_created-1:date_created_end_value,date_created-1:date_created_type,place_of_origin-1:place_of_origin_value,name-1:name_term.value,name-1:name_term.uri,name-1:name_term.authority,name-1:name_term.name_type,name-1:name_usage_primary,name-1:name_role-1:name_role_term.value,name-1:name_role-1:name_role_term.uri,name-1:name_role-1:name_role_term.authority,subject_name-1:subject_name_term.value,subject_name-1:subject_name_term.uri,subject_name-1:subject_name_term.authority,subject_name-1:subject_name_term.name_type,subject_name-2:subject_name_term.value,subject_name-2:subject_name_term.uri,subject_name-2:subject_name_term.authority,subject_name-2:subject_name_term.name_type,subject_name-3:subject_name_term.value,subject_name-3:subject_name_term.uri,subject_name-3:subject_name_term.authority,subject_name-3:subject_name_term.name_type,subject_topic-1:subject_topic_term.value,subject_topic-1:subject_topic_term.uri,subject_topic-1:subject_topic_term.authority,subject_topic-2:subject_topic_term.value,subject_topic-2:subject_topic_term.uri,subject_topic-2:subject_topic_term.authority,subject_topic-3:subject_topic_term.value,subject_topic-3:subject_topic_term.uri,subject_topic-3:subject_topic_term.authority,subject_topic-4:subject_topic_term.value,subject_topic-4:subject_topic_term.uri,subject_topic-4:subject_topic_term.authority,subject_topic-5:subject_topic_term.value,subject_topic-5:subject_topic_term.uri,subject_topic-5:subject_topic_term.authority,subject_topic-6:subject_topic_term.value,subject_topic-6:subject_topic_term.uri,subject_topic-6:subject_topic_term.authority,subject_geographic-1:subject_geographic_term.value,subject_geographic-1:subject_geographic_term.uri,subject_geographic-1:subject_geographic_term.authority,subject_geographic-2:subject_geographic_term.value,subject_geographic-2:subject_geographic_term.uri,subject_geographic-2:subject_geographic_term.authority,subject_title-1:subject_title_term.value,subject_title-1:subject_title_term.uri,subject_title-1:subject_title_term.authority,subject_title-2:subject_title_term.value,subject_title-2:subject_title_term.uri,subject_title-2:subject_title_term.authority,name-2:name_term.value,name-2:name_term.uri,name-2:name_term.authority,name-2:name_term.name_type,name-2:name_role-1:name_role_term.value,name-2:name_role-1:name_role_term.uri,name-2:name_role-1:name_role_term.authority,name-3:name_term.value,name-3:name_term.uri,name-3:name_term.authority,name-3:name_term.name_type,name-3:name_role-1:name_role_term.value,name-3:name_role-1:name_role_term.uri,name-3:name_role-1:name_role_term.authority,name-4:name_term.value,name-4:name_term.uri,name-4:name_term.authority,name-4:name_term.name_type,name-4:name_role-1:name_role_term.value,name-4:name_role-1:name_role_term.uri,name-4:name_role-1:name_role_term.authority,name-5:name_term.value,name-5:name_term.uri,name-5:name_term.authority,name-5:name_term.name_type,name-5:name_role-1:name_role_term.value,name-5:name_role-1:name_role_term.uri,name-5:name_role-1:name_role_term.authority,name-6:name_term.value,name-6:name_term.uri,name-6:name_term.authority,name-6:name_term.name_type,name-6:name_role-1:name_role_term.value,name-6:name_role-1:name_role_term.uri,name-6:name_role-1:name_role_term.authority,name-7:name_term.value,name-7:name_term.uri,name-7:name_term.authority,name-7:name_term.name_type,name-7:name_role-1:name_role_term.value,name-7:name_role-1:name_role_term.uri,name-7:name_role-1:name_role_term.authority,_publish_targets-1.string_key,_publish
,,,item,luther_rcf_000,,,Auslegu[n]g deutsch des Vater vnser fuer die einfeltigen Leyen Doctoris Martini Luther Augustiner tzu Wittenberg,Exposition of the Lord's Prayer for Simple Laymen,[60] pages ; 21 cm (quarto),,,books,http://vocab.getty.edu/aat/300028051,aat,,,,text,German,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/ger,,,,original filename:1900200029,,,"Imprint from colophon which reads ""Gedruck tzu Leypsick durch Ualentin Schuman anno. M.D.xix.""",Signatures: A-E⁶,Woodcuts on recto and verso of title page,"Compare with 03-B1423 (VD 16, L 4058; Benzing, 274; Gatch, D667) and 03-B1863 (VD 16, L 4046; Benzing, 262; Gatch, D2013)",,,,,,,,,,,Case number: 4; Item number: 14,,,,,"Burke Library at Union Theological Seminary, Columbia University",http://id.library.columbia.edu/term/4f175cc6-1394-49b9-a411-2fe143265d43,Tower,03-B1166,reformatted digital,Ualentin Schuman,,4527572,,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,M.D.xix. [1519],1519,TRUE,,,"Leypsick [i.e., Leipzig]","Luther, Martin, 1483-1546",http://id.loc.gov/authorities/names/n79089628,naf,personal,TRUE,Author,http://id.loc.gov/vocabulary/relators/aut,marcrelator,,,,,,,,,,,,,Lord's prayer,http://id.worldcat.org/fast/1002586,fast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://exhibitions-dev.library.columbia.edu/1900200029.jpg,filename,,asset,luther_rcf_001,luther_rcf_000,,Title page recto,,,11395,https://exhibitions.library.columbia.edu/exhibits/show/martin-luther/flug/flug3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,item,luther_mln_000,,,Beclagung aines Leyens genant Hanns Schwalb über vil missbreüch christliches Lebens : vnd darin[n] begriffen kürtzlich von Johannes Husssen [sic],"Lament of Lay Person Named Hans Schwalb Over Many Abuses of the Christian Life, and Therein is a Brief Explanation About Jan Hus",[12] pages ; 21 cm (quarto),,,pamphlets,http://vocab.getty.edu/aat/300220572,aat,prints,http://id.loc.gov/vocabulary/graphicMaterials/tgm008237,gmgpc,text,German,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/ger,,,,original filename:1900200004,,,"Imprint from BM STC German, 1455-1600, p. 798","Edmond, J.P. has imprint Augsburg : Sylvan Otmar",Signatures: A⁶,Woodcut on title page depicting the selling of indulgences; initial,,,,,,,,,,,Case number: 1; Item number: 4,,,,,"Burke Library at Union Theological Seminary, Columbia University",http://id.library.columbia.edu/term/4f175cc6-1394-49b9-a411-2fe143265d43,Tower,07-B002,reformatted digital,[Melchoir Ramminger],The woodcut depicts the selling of indulgences.,6120388,,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,im Jar 1521,1521,TRUE,,,[Augsburg],"Schwalb, Hans",,,personal,TRUE,Author,http://id.loc.gov/vocabulary/relators/aut,marcrelator,"Hus, Jan, 1369?-1415",http://id.loc.gov/authorities/names/n80057048,naf,personal,"Luther, Martin, 1483-1546",http://id.loc.gov/authorities/names/n79089628,naf,personal,Catholic Church,http://id.loc.gov/authorities/names/n79041716,naf,corporate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://exhibitions-dev.library.columbia.edu/1900200004.jpg,filename,,asset,luther_mln_001,luther_mln_000,,Title page recto,,,11369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,item,luther_pyg_000,,,Celifodina,,[260] pages : illustrations (woodcut) ; 22 cm (quarto),,,books,http://vocab.getty.edu/aat/300028051,aat,prints,http://id.loc.gov/vocabulary/graphicMaterials/tgm008237,gmgpc,text,Latin,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/lat,,,,original filename:1900200002,,,"Ad lectorem/ Aethereas edes tibi cure est optime lector/ Scandere nos emito namq[uam] damus semitam.""",Imprint from colophon,"Author's name appears on leaf A3: ""Frater Johannes De Paltz sacre theologie hu[m]ilis p[ro]fessor ordinis fratru[m] heremitarum s[an]cti Augustini Reuerentia debita[m].""",Signatures: A-V⁶ X⁴ Y⁶; Y6 blank,Woodcut (depicting the Crucifixion) on title page,"Burke Library copy: Rubrication throughout, including on woodcut image of Christ on the cross. Binding includes metal clasps",,,,,,,,,Case number: 1; Item number: 2,,,,,"Burke Library at Union Theological Seminary, Columbia University",http://id.library.columbia.edu/term/4f175cc6-1394-49b9-a411-2fe143265d43,Tower,BT450 .P35 1502g,reformatted digital,P[er] Wolffgangu[m] Schencken,"This work of pastoral guidance was written by Johann von Paltz (c. 1445 – 1511), an Augustinian friar and one of Luther’s superiors and (possibly) mentors. He wrote extensively about indulgences in a theologically correct way, but was loyal to the Church. The woodcut shows friars ""digging"" in the Scriptures for the hidden truths of the Christian faith.",5465079,,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,"anno MDII, tertia post Judica [1502]",1502,TRUE,,,Impressum Erphordie [Erfurt],"Paltz, Johann von, -1511",http://id.loc.gov/authorities/names/n83058718,naf,personal,TRUE,Author,http://id.loc.gov/vocabulary/relators/aut,marcrelator,,,,,,,,,,,,,Crucifixion of Jesus Christ,http://id.worldcat.org/fast/1352652,fast,Christian life--Catholic authors,http://id.worldcat.org/fast/859189,fast,,,,,,,,,,,,,,,,,,,,,,,,,"Schenck, Wolfgang, active 1499-1507",http://id.loc.gov/authorities/names/no2006022493,naf,personal,Publisher,http://id.loc.gov/vocabulary/relators/pbl,marcrelator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://exhibitions-dev.library.columbia.edu/1900200002.jpg,filename,,asset,luther_pyg_001,luther_pyg_000,,Title page recto,,,11367,https://exhibitions.library.columbia.edu/exhibits/show/martin-luther/indulgences/celifodina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,item,luther_nkw_000,,Das,Allte Testament deutsch / M. Luther,Geman Old Testament,"xii, xiiii-clv : illustrations ; 30 cm (folio)",,,books,http://vocab.getty.edu/aat/300028051,aat,prints,http://id.loc.gov/vocabulary/graphicMaterials/tgm008237,gmgpc,text,German,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/ger,Hebrew,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/heb,original filename:1900200009,,,"Imprint derived from colophon, sig. e4r",Sine nota,First edition of Luther's translation of the Pentateuch,,,,,,,,,,,,Case number: 2; Item number: 2,,,,,"Burke Library at Union Theological Seminary, Columbia University",http://id.library.columbia.edu/term/4f175cc6-1394-49b9-a411-2fe143265d43,Union Rare,CB74 1523,reformatted digital,Melchior vnd Michel Lotther ...,"The first edition of Luther’s translation of the Torah – the first five books of the Hebrew Bible, also known as the Pentateuch – showing a woodcut image of a scene from the story of Noah and the flood.",4549111,,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,1523,1523,TRUE,,,Gedruckt zu Wittemperg,"Luther, Martin, 1483-1546",http://id.loc.gov/authorities/names/n79089628,naf,personal,TRUE,Translator,http://id.loc.gov/vocabulary/relators/trl,marcrelator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bible. Pentateuch,http://id.loc.gov/authorities/names/n79066420,naf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://exhibitions-dev.library.columbia.edu/1900200009.jpg,filename,,asset,luther_nkw_001,luther_nkw_000,,[Title page recto with woodcut image of a scene from the story of Noah and the flood?],,,11375,https://exhibitions.library.columbia.edu/exhibits/show/martin-luther/bible/ot1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,item,luther_eru_000,,Das,Ihesus Christus eyn geborner Iude sey / Doctor Martinus Luther. Vuittemberg. M.D.xxiij,That Jesus Christ Was Born a Jew,[36] pages ; 20 cm (quarto),,,pamphlets,http://vocab.getty.edu/aat/300220572,aat,,,,text,German,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/ger,,,,original filename:1900200043,,,"The first printing of Luther's early treatise, ""That Jesus Christ was born a Jew"", in which he denies the charges made against him that he did not believe in the Virgin Birth, but rather that Jesus was a naturally born child of Joseph and Mary.  In this tract, Luther confesses that he believes that Jesus was born a Jew of the Virgin Mary.  He also hopes that his teaching will bring more Jews to convert to Christianity.  In his view, the teaching and practice of many who came before him, as well as of his opponents, was the chief cause that most Jews did not convert.  Confronted with what had been traditional teaching before him, he says, to be a true Christian one would almost have had to become a Jew, and any sincerely believing and practicing Jew would as soon have become a pig as a Christian","Signatures: A-C⁴, D², E⁴",Title within wood-engraved architectural border,Initial,,,,,,,,,,,Case number: 6; Item number: 1,,,,,"Burke Library at Union Theological Seminary, Columbia University",http://id.library.columbia.edu/term/4f175cc6-1394-49b9-a411-2fe143265d43,Tower,03-B1141,reformatted digital,[Lukas Cranach und Christian Doring],,4527556,,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,MDxxiij [1523],1523,TRUE,,,Wittemberg,"Luther, Martin, 1483-1546",http://id.loc.gov/authorities/names/n79089628,naf,personal,TRUE,Author,http://id.loc.gov/vocabulary/relators/aut,marcrelator,Jesus Christ,http://id.loc.gov/authorities/names/n79084784,naf,personal,,,,,,,,,Christology,http://id.worldcat.org/fast/1352288,fast,Interfaith relations,http://id.worldcat.org/fast/1353343,fast,Christianity,http://id.worldcat.org/fast/859599,fast,Judaism,http://id.worldcat.org/fast/984280,fast,,,,,,,,,,,,,,,,,,,"Cranach, Lucas, 1472-1553",http://id.loc.gov/authorities/names/n50020861,naf,personal,Printer,http://id.loc.gov/vocabulary/relators/prt,marcrelator,"Döring, Christian, -1533",http://id.loc.gov/authorities/names/nr97020943,naf,personal,Printer,http://id.loc.gov/vocabulary/relators/prt,marcrelator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://exhibitions-dev.library.columbia.edu/1900200043.jpg,filename,,asset,luther_eru_001,luther_eru_000,,Title page recto,,,11411,https://exhibitions.library.columbia.edu/exhibits/show/martin-luther/judaism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,item,luther_xoe_000,,Das,Newe Testament deutzsch,German New Testament,ccxv numb. : illustrations ; 30 cm (folio),,,books,http://vocab.getty.edu/aat/300028051,aat,prints,http://id.loc.gov/vocabulary/graphicMaterials/tgm008237,gmgpc,text,German,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/ger,,,,"original filename:1900200010, 1900200011",,,Colophon: Gedruckt zu wittemberg Melchior vnd Michel Lotther gebruder M.D.XXIIII,"Title within ornamental border by Georg Lemberger; the 21 woodcut illustrations (all in the Revelation of St. John) are ascribed to the workshop of Lucas Cranach the elder, perhaps after rough sketches by Cranach himself. Cf. the description in Luther's Werke (Kritische Gesamtausgabe), Die deutsche Bibel, 2. Bd., p.[266], no. *7, & p.203",The 3d Wittenberg folio edition of Luther's translation,,,,,,,,,,,,Case number: 2; Item number: 3,,,,,"Burke Library at Union Theological Seminary, Columbia University",http://id.library.columbia.edu/term/4f175cc6-1394-49b9-a411-2fe143265d43,Union Rare Folio,CB77 1524,reformatted digital,publisher not identified,"The third Wittenberg folio edition of Luther's translation. Woodcut illustrations of the Apocalypse of St. John, from the workshop of Lucas Cranach the Elder, depict the defeat of the satanic dragon at the conclusion of that visionary work. The Apocalypse was a favored subject of artists. In Luther’s day, speculation about the end of days and a vivid sense of the ""porous"" nature of the cosmos – its openness to otherworldly powers of good and evil – were commonplace. Luther himself spoke often of the Devil, sometimes mockingly, as a regular player in the drama of his daily life and struggles.",4549104,,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,[1524],1524,TRUE,,,Wittemberg,"Luther, Martin, 1483-1546",http://id.loc.gov/authorities/names/n79089628,naf,personal,TRUE,Translator,http://id.loc.gov/vocabulary/relators/trl,marcrelator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bible. New Testament. German. Luther. 1522,http://id.loc.gov/authorities/names/no2014160408,naf,,,,"Cranach, Lucas, 1472-1553",http://id.loc.gov/authorities/names/n50020861.html,naf,personal,Illustrator,http://id.loc.gov/vocabulary/relators/ill,marcrelator,"Lemberger, Georg, 1495?-1540?",,,personal,Illustrator,http://id.loc.gov/vocabulary/relators/ill,marcrelator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://exhibitions-dev.library.columbia.edu/1900200010.jpg,filename,,asset,luther_xoe_001,luther_xoe_000,,Title page recto,,,11376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://exhibitions-dev.library.columbia.edu/1900200011.jpg,filename,,asset,luther_xoe_002,luther_xoe_000,,Woodcut from Apocalypse from title page verso,,,11377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,item,luther_rur_000,,Das,Sechste Capitel der Epistel Pauli an de Epheser : Von der Christen harnisch vnd woffen / gepredigt durch D. Mart. Luther,"Sixth Chapter of Paul's Epistle to the Ephesians, On the Christian Armor and Weapons",[80] pages ; 19 cm (quarto),,,books,http://vocab.getty.edu/aat/300028051,aat,,,,text,German,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/ger,,,,original filename:1900200030,,,Title within ornamental border,"Printer from colophon: ""GedruÌˆckt zu Wittemberg durch Georgen Rhaw. 1533.""","Signatures: A-K⁴; A3 signed A5, I2 signed H2",,,,,,,,,,,,Case number: 4; Item number: 15,,,,,"Burke Library at Union Theological Seminary, Columbia University",http://id.library.columbia.edu/term/4f175cc6-1394-49b9-a411-2fe143265d43,Tower,03-B1204,reformatted digital,Georgen Rhaw,,4527646,,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,M.D.XXXIII. [1533],1533,TRUE,,,"Wittemberg [i.e., Wittenberg]","Luther, Martin, 1483-1546",http://id.loc.gov/authorities/names/n79089628,naf,personal,TRUE,Author,http://id.loc.gov/vocabulary/relators/aut,marcrelator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rhaw, Georg, 1488-1548",http://id.loc.gov/authorities/names/n81048033,naf,personal,Printer,http://id.loc.gov/vocabulary/relators/prt,marcrelator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://exhibitions-dev.library.columbia.edu/1900200030.jpg,filename,,asset,luther_rur_001,luther_rur_000,,Title page recto,,,11396,https://exhibitions.library.columbia.edu/exhibits/show/martin-luther/flug/flug3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,item,luther_ntm_000,,,De captivitate babylonica ecclesiae / praeludium Martini Lutheri,On the Babylonian Captivity of the Church,[87] pages ; 21 cm,,,books,http://vocab.getty.edu/aat/300028051,aat,,,,text,Latin,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/lat,,,,original filename:1900200038,,,Title page with woodcut border by Hans Cranach,Initial,,,,,,,,,,,,,Case number: 5; Item number: 5,,,,,"Burke Library at Union Theological Seminary, Columbia University",http://id.library.columbia.edu/term/4f175cc6-1394-49b9-a411-2fe143265d43,Union Rare Pamphlets,GT2 1520cb,reformatted digital,Melchior Lotter d.j.,"Unlike his Open Letter to the Christian Nobility, this more theologically nuanced work is composed in Latin (though there were German editions) and addressed to a specialist audience in a more measured tone. Citing the Bible as evidence, Luther argues that the number of sacraments should be reduced from seven to three (and finally to two), thereby removing major pillars upon which the structure of the medieval way of life had been erected. In particular, he attacks the Church’s doctrine, which drew on Aristotelian categories, of the ""transubstantiation"" of bread and wine at Communion, instead insisting that ""the Holy Spirit is greater than Aristotle."" The work articulates ideas that would come to define many Protestant traditions, but also prove to be sources of ongoing division among them.",4583009,,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,"6. Oktober, 1520]",1520-10-06,TRUE,,,Vuittembergae [i.e. Wittenberg,"Luther, Martin, 1483-1546",http://id.loc.gov/authorities/names/n79089628,naf,personal,TRUE,Author,http://id.loc.gov/vocabulary/relators/aut,marcrelator,Catholic Church,http://id.loc.gov/authorities/names/n79041716,naf,corporate,,,,,,,,,Controversial literature--Protestant authors,http://id.worldcat.org/fast/1352543,fast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://exhibitions-dev.library.columbia.edu/1900200038.jpg,filename,,asset,luther_ntm_001,luther_ntm_000,,Title page recto,,,11404,https://exhibitions.library.columbia.edu/exhibits/show/martin-luther/theology/captivity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,item,luther_sbk_000,,,De disputatione lipsicensi quantum ad Boemos obiter deflexa est Epistola / Hieronymi Emser. Ad Aegocerotem / Lutheri additio,"On the Leipzig Disputation, an Epistle Which Turns on the Issue of the Bohemians [=Hussites]",[30] pages ; 21 cm (quarto),,,pamphlets,http://vocab.getty.edu/aat/300220572,aat,,,,text,Latin,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/lat,,,,original filename:1900200006,,,Text in Latin includes both Emser's and Luther's works on the Leipzig Disputation,Woodcut of coat of arms of H. Emser on title page,,,,,,,,,,,,,Case number: 1; Item number: 6,,,,,"Burke Library at Union Theological Seminary, Columbia University",http://id.library.columbia.edu/term/4f175cc6-1394-49b9-a411-2fe143265d43,Union Rare Pamphlets,LH34 1519,reformatted digital,Silvan Otmar,"Emser was one of Luther’s antagonists in this period and he referred to him as ""Goat Emser."" This work summarizes the debate that occurred in Leipzig between Luther and his opponents. Chief among these was Johann Eck, one of the leading intellects of the day who, in the course of the debate got Luther to admit (partial) support for the Bohemian theologian Jan Hus, who had notoriously been condemned as a heretic despite receiving a safe-conduct from the emperor, and was executed at Constance in 1415. The event, during which Luther asserted that ""scripture alone"" (sola scriptura) rather than the Roman Church or the Pope, was the supreme authority for Christians, marked a turning point in Luther’s relation to the Church of which he was then, still, a member. Soon after, the papal bull Exsurge Domine was issued, condemning Luther’s writings and setting the stage for his excommunication.",4582893,,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,[1519],1519,TRUE,,,[Augsburg],"Emser, Hieronymus, 1478-1527",http://id.loc.gov/authorities/names/n84174702,naf,personal,TRUE,Author,http://id.loc.gov/vocabulary/relators/aut,marcrelator,Catholic Church,http://id.loc.gov/authorities/names/n79041716,naf,corporate,"Luther, Martin, 1483-1546",http://id.loc.gov/authorities/names/n79089628,naf,personal,,,,,"Theology, Doctrinal",http://id.worldcat.org/fast/1149617,fast,Leipzig Disputation (Germany : 1519),http://id.loc.gov/authorities/subjects/sh85075917,lcsh,Hussites,http://id.worldcat.org/fast/964430,fast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://exhibitions-dev.library.columbia.edu/1900200006.jpg,filename,,asset,luther_sbk_001,luther_sbk_000,,Title page recto,,,11371,https://exhibitions.library.columbia.edu/exhibits/show/martin-luther/indulgences/leipzig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
