relatedItem_collection,name,nameType,nameRelator,name_authority,name_authority_identifier,name 2,nameType 2,nameRelator 2,name_authority 2,name_authority_identifier 2,name 3,nameType 3,nameRelator 3,name_authority 3,name_authority_identifier 3,keyDate -_start,keyDate_end,dateQualifier,dateCreated,abstract,item - featured,item - public,identifier_clio,identifier_omeka,typeOfResource 1,typeOfResource 2,typeOfResource 3,language,location_url_ObjectInContext,Source,citation,physicalLocation,physicalLocation_authority,shelfLocator,shelfLocator 2,sublocation,note,note 2,note_filename,note_filename 2,note_filename 3,note_filename 4,note_filename 5,note_filename 6,note_filename 7,note_filename 8,note_filename 9,note_filename 10,note_filename 11,note_filename 12,digitalOrigin,extent,extent 2,form,form_authority,form 2,form_authority 2,place,place_authority,place_authority_identifier,relatedItem_Project,projectURL,note_ownership,publisher,languageOfCataloging,note_relatedItem,subject_topic,subject_topic_authority,subject_topic_authority_identifer,subject_topic 2,subject_topic_authority 2,subject_topic_authority_identifier 2,subject_name,subject_name_authority,subject_name_authority_identifier,subject_geographic,subject_geographic_authority,subject_geographic_authority_identifier,subject_geographic_hierarchical_street,subject_geographic_hierarchical_borough,subject_geographic_hierarchical_city,subject_geographic_hierarchical_state,subject_geographic_hierarchical_province,subject_geographic_hierarchical_country,title_nonsort,title1,identifier_title,partName,title2,title2_type
Plimpton ,"Spencer, H. C. (Henry Caleb)",,,,,,,,,,,,,,,1866 ,,ex,1866,,0,1,CLIO id: 1848589,117,,,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/handwriting/page-5,,,nnc-rb,,Plimpton A091 1866 Sp33,,,"original filenames: 
plmptn_076_001
plmptn_076_002",,plmptn_076_001.jpg,plmptn_076_002.jpg,,,,,,,,,,,rd,"cover, title page",2 images,book,,,,New York,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,"Ivison, Blakeman, Taylor & Co.",eng,,Penmanship,,,,,,,,,,,,,,,,,,,Spencerian key to practical penmanship,,,Spencerian key,
,,,,,,,,,,,,,,,,1700 1799,,ap,18th century,,0,1,,118,,,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/early-modern/page-1,,,nnc-rb,,,,,original filename: plmptn_092_001,,plmptn_092_001.jpg,,,,,,,,,,,,rd,1 sculpture,1 image,objects,,,,England,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,,eng,,"Shakespeare, William, 1564-1616",,,,,,,,,,,,,,,,,,,Bust of Shakespeare ,,,Shakespeare bust,
,"Smith, David Eugene, 1860-1944",,,,,,,,,,,,,,,1908 ,,ex,1908,,0,1,CLIO id: 5529316,119,,,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/mathematics/page-1,,,nnc-rb,, B510 ASm5,,,"original filenames:
    plmptn_090_001
    plmptn_090_002

",,plmptn_090_001.jpg,plmptn_090_002.jpg,,,,,,,,,,,rd,"cover, title page",2 images,books,,,,Boston and New York,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Bequest of David Eugene Smith,Ginn and Co.,eng,,Arithmetic--Early works to 1900,,,,,,,,,,,,,,,,,,,Rara arithmetica : a catalogue of the arithmetics written before the year MDCI,,,"Rara arithmetica, volume I",
,,,,,,,,,,,,,,,,1800 1899,,ap,19th century,,0,1,,121,,,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/hornbooks/page-1,,,nnc-rb,,Plimpton Hornbook No. 16,,,"original filenames: 
    plmptn_118_001
    plmptn_118_002

",,plmptn_118_001.jpg,plmptn_118_002.jpg,,,,,,,,,,,rd,"1 hornbook, 2 sides",2 images,objects,,Hornbooks,,United States?,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,,eng,,,,,,,,,,,,,,,,,,,,,Hornbook,,,Plimpton item 118,
,Friends of the Columbia Libraries,,,,,,,,,,,,,,,1933-04 ,,ex,April 1933,,0,1,CLIO id: 3402156,123,,,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/friends/page-1,,,nnc-rb,,378.7CP C722,,,"original filenames:
    plmptn_098_001
    plmptn_098_002
    plmptn_098_003
    plmptn_098_004
    plmptn_098_005
    plmptn_098_006
    plmptn_098_007
    plmptn_098_008
    plmptn_098_009
    plmptn_098_010
    plmptn_098_011
    plmptn_098_012

",,plmptn_098_001.jpg,plmptn_098_002.jpg,plmptn_098_003.jpg,plmptn_098_004.jpg,plmptn_098_005.jpg,plmptn_098_006.jpg,plmptn_098_007.jpg,plmptn_098_008.jpg,plmptn_098_009.jpg,plmptn_098_010.jpg,plmptn_098_011.jpg,plmptn_098_012.jpg,rd,"pages [1-12], 1 page",13 images,periodicals,,,,New York,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,The Friends of the Library of Columbia University,eng,,Friends of the Columbia Libraries,,,,,,,,,,,,,,,,,,,"Bibliotheca Columbiana, Number 1, April 1933",,,,
,Grolier Club,,,,,"Plimpton, George A. (George Arthur), 1855-1936",,,,,,,,,,1930-03-20 ,,ex,"March 20, 1930",,0,1,,105,,,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/early-modern/page-1,,,nnc-rb,,Plimpton Family Papers,,,original filename: plmptn_105_001,,plmptn_105_001.jpg,,,,,,,,,,,,rd,1 page,1 image,printed ephemera,,,,New York,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,Grolier Club,eng,,English language--History,,,,,,,,,,,,,,,,,,,English language exhibition,,,Notice of exhibit English language,
,"Heywood, Thomas, d. 1641",,,,,,,,,,,,,,,1624 ,,ex,1624,,0,1,,104,,,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/women/page-2,,,nnc-rb,,Plimpton 396 1624 H51 (STC 13326),,,original filename: plmptn_131_001,,plmptn_131_001.jpg,,,,,,,,,,,,rd,title page,1 image,books,,,,London,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,Printed by Adam Islip,eng,,Women,,,,,,,,,,,,,,,,,,,"Tunaikeion, or, Nine Bookes of Various History Concerning Women",,,Nine Bookes of Various History Concerning Women,
,,,,,,,,,,,,,,,,1600 1699,,ap,17th century,,0,1,,103,,,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/hornbooks/page-1,,,nnc-rb,,Plimpton Hornbook No. 1,,,original filename: plmptn_115_001,,plmptn_115_001.jpg,,,,,,,,,,,,rd,1 hornbook,1 image,objects,,Hornbooks,,England,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,,eng,,,,,,,,,,,,,,,,,,,,,Hornbook,,,,
Plimpton Papers,"Plimpton, Frances Taylor Pearsons, 1861-1900",,,,,Wellesley College Alumnae Association,,,,,,,,,,1890 1899,,ex,circa 1890s,,0,1,,84,,,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/george-arthur-plimpton/page-2,,,nnc-rb,,,,,original filename: plmptn_101_001,,plmptn_101_001.jpg,,,,,,,,,,,,rd,1 page,1 image,manuscripts,,,,,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,,eng,,Women--Education,,,,,,,,,,,,,,,,,,,Speech at Wellesley Club ,,,,
Plimpton Family Papers,"Plimpton, Ruth Talbot, 1916-",,,,,"Plimpton, Calvin Hastings, 1918-2007",,,,,,,,,,1991-09-06 ,,ex,"Sept. 6, 1991",,0,1,,85,,,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/george-arthur-plimpton/page-5,,,nnc-rb,,,,,Plimpton Photos Extended Family,original filename: plmptn_159_001,plmptn_159_001.jpg,,,,,,,,,,,,rd,1 page,1 image,photographs,,"Portraits, Group",,,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,,eng,,Plimpton family,,,,,,,,,,,,,,,,,,,Ruth and Calvin Plimpton 50th wedding anniversary ,,,,
Plimpton ,"Reisch, Gregor, d. 1525",,,,,,,,,,,,,,,1504 ,,ex,1504,,0,1,CLIO id: 2428598,86,,,,lat,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/reich/page-2,,,nnc-rb,,Plimpton 080.7 1504 R27,,,original filename: plmptn_015_001,,plmptn_015_001.jpg,,,,,,,,,,,,rd,1 page,1 image,manuscripts,,,,Strasbourg,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,Per Ioanne[m] GruninGerman Ciue[m] Arge[n]tinu[m] ,eng,,Encyclopedias and dictionaries,,,,,,,,,,,,,,,,,,,"Aepitoma Omnis Phylosophiae, Alias, Margarita Phylosophica ",,,,
Plimpton,"Cicero, Marcus Tullius",,,,,,,,,,,,,,,1500 1525,,ap,Early 16th century,,0,1,,87,,,,lat,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/medieval-trivium/page-4,,,nnc-rb,,Plimpton MS 104,,,original filename: plmptn_024_001,,plmptn_024_001.jpg,,,,,,,,,,,,rd,1 page,1 image,manuscripts,,,,Germany,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,,eng,,"Milo, Titus Annius, d. 48 B.C",,,,,,,,,,,,,,,,,,,Commentarius in Ciceronis pro Milone ,,,,
,"Digges, Leonard, d. ca. 1559",,,,,,,,,,,,,,,1591 ,,ex,1591,,0,1,,89,,,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/mathematics/page-3,,,nnc-rb,,Plimpton 526.9 1591 D56 (STC 6859),,,original filename: plmptn_083_001,,plmptn_083_001.jpg,,,,,,,,,,,,rd,pages 42-43,1 image,books,,,,London,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,Printed by Abell Jeffes,eng,,Geometry,,,,,,,,,,,,,,,,,,,Geometrical Practical Treatize Named Pantometria,,,,
Plimpton ,,,,,,,,,,,,,,,,1450 1499,,ap,Second half of the 15th century,,0,1,,90,,,,lat,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/primers/page-1,,,nnc-rb,,Plimpton MS 287,,,original filename: plmptn_006_001,,plmptn_006_001.jpg,,,,,,,,,,,,rd,1 page,1 image,Manuscripts,,,,France,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,,eng,,Readers,,,,,,,,,,,,,,,,,,,Child’s Primer ,,,,
Plimpton Papers,Friends of the Columbia Libraries,,,,,,,,,,,,,,,1933 ,,ex,1933,,0,1,,91,,,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/friends/page-1,,,nnc-rb,,,,,"original filenames:
    plmptn_097_001
    plmptn_097_002
    plmptn_097_003
    plmptn_097_004

",,plmptn_097_001.jpg,plmptn_097_002.jpg,plmptn_097_003.jpg,plmptn_097_004.jpg,,,,,,,,,rd,4 pages,4 images,printed ephemera,,,,New York,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,Columbia University,eng,,Friends of the Columbia Libraries,,,,,,,,,,,,,,,,,,,Friends of the Library of Columbia University,,,,
Plimpton Papers,"Dewey, John, 1859-1952",,,,,"Plimpton, George A. (George Arthur), 1855-1936",,,,,,,,,,1924-11-12 ,,ex,"Nov. 12, 1924",,0,1,,92,,,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/women/page-5,,,nnc-rb,,,,,original filename: plmptn_152_001,,plmptn_152_001.jpg,,,,,,,,,,,,rd,1 page,1 image,correspondence,,,,New York,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,,eng,,Women--Education,,,,,,,,,,,,,,,,,,,"Letter to George A. Plimpton, November 12, 1924",,,,
Plimpton,"Bartholomaeus,  Anglicus,  13th cent.",,,,,"Trevisa, John, d. 1402",,,,,,,,,,1425 1475,,ap,Mid 15th century,,0,1,,93,,,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/encyclopedias/page-1,,,nnc-rb,,Plimpton MS 263,,,original filename: plmptn_012_001,,plmptn_012_001.jpg,,,,,,,,,,,,rd,1  page,1 image,manuscripts,,,,England,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,,eng,,Encyclopedias and dictionaries,,,,,,,,,,,,,,,,,,,De Proprietatibus Rerum ,,,,
Plimpton ,,,,,,,,,,,,,,,,1400 1799,,ap,15th to 18th centuries,,0,1,,94,,,,ara,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/medieval-quadrivium/page-2,,,nnc-rb,,Oriental Manuscripts 306,,,original filename: PLMPTN_032_001,,PLMPTN_032_001.jpg,,,,,,,,,,,,rd,2 pages,1 image,manuscripts,,,,,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,,eng,,Mathematics,,,,,,,,,,,,,,,,,,,Kitab al-Mutawassitat,,,"Book of ""The Middle Books""",
Plimpton Family Papers,"Plimpton, Francis T. P. (Francis Taylor Pearsons), 1900-1983",,,,,"Plimpton, Pauline Ames, 1901-",,,,,,,,,,1937 ,,ex,1937,,0,1,,95,,,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/george-arthur-plimpton/page-5,,,nnc-rb,,,,,original filename: plmptn_095_001,,plmptn_095_001.jpg,,,,,,,,,,,,rd,1 photoprint,1 image,photographs,,"Portraits, Group",,,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of Mrs. Francis T.P. Plimpton,,eng,,Plimpton family,,,,,,,,,,,,,,,,,,,"Photo of Pauline Ames and Francis T.P. Plimpton and children, 1937",,,,
Plimpton Papers ,"Plimpton, George A. (George Arthur), 1855-1936",,,,,,,,,,,,,,,1900 1936,,ap,First third of 20th century?,,0,1,,96,,,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/george-arthur-plimpton/page-1,,,nnc-rb,,Old Box 37,,,original filename: plmptn_134_001,,plmptn_134_001.jpg,,,,,,,,,,,,rd,1 page,1 image,manuscripts,,,,,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,,eng,,Book collecting,,,,,,,,,,,,,,,,,,,On Collecting,,,It has been my pleasure,
,"Vives, Juan Luis, 1492-1540",,,,,"Hyrde, Richard",,,,,,,,,,1557 ,,ex,1557,,0,1,,97,,,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/women/page-2,,,nnc-rb,,Plimpton 376 1557 V83 (STC 24861),,,original filename: plmptn_124_001,,plmptn_124_001.jpg,,,,,,,,,,,,rd,2 pages,1 image,books,,,,London,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,Henry Wykes,eng,,Women--Education,,,,,,,,,,,,,,,,,,,Very fruteful and pleasant boke called the Instruction of a christen woman,,,,
Plimpton,"Fisher, George,  accomptant",,,,,,,,,,,,,,,1748 ,,ex,1748,,0,1,,99,,,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/handwriting/page-3,Plimpton A375 1748 F53 copy 1 ,,nnc-rb,,Plimpton A375 1748 F53 copy 1,,,original filename: plmptn_070_001,,plmptn_070_001.jpg,,,,,,,,,,,,rd,1 page,1 image,books,,,,Philadelphia,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,Printed by B. Franklin and D. Hall,eng,,Penmanship,,,,,,,,,,,,,,,,,,,"American Instructor: or, Young Man’s Best Companion ",,,Young man's best companion,
Plimpton ,,,,,,,,,,,,,,,,1475 1499,,ap,Third quarter of 15th century,,0,1,,100,,,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/primers/page-1,,,nnc-rb,,Plimpton MS 258,,,original filename: plmptn_005_001,,plmptn_005_001.jpg,,,,,,,,,,,,rd,1 page,1 image,manuscripts,,,,England,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,,eng,,Readers,,,,,,,,,,,,,,,,,,,Abecedarium ,,,Child's primer,
Plimpton ,"Reisch, Gregor, d. 1525",,,,,,,,,,,,,,,1508 ,,ex,1508,,0,1,CLIO id: 2428025,102,,,,lat,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/reich/page-2,,,nnc-rb,,Plimpton 080.7 1508 R27,,,original filename: plmptn_029_001,,plmptn_029_001.jpg,,,,,,,,,,,,rd,1 page,1 image,manuscripts,,,,Basilee,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,"[Tertio industria complicu Michaelis Furterij, et Joannis Scoti studiosiissime pressa]",eng,,Encyclopedias and dictionaries,,,,,,,,,,,,,,,,,,,Margarita Philosophica ,,,,
Plimpton ,"Venning, Mary Ann",,,,,,,,,,,,,,,1826 ,,ex,1826,,0,1,,124,,,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/women/page-4,,,nnc-rb,,Plimpton 594 1826,,,original filename: plmptn_126_001,,plmptn_126_001.jpg,,,,,,,,,,,,rd,"frontispiece, title page",1 image,books,,,,London,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,Printed for Harvey and Darton,eng,,Mollusks,,,,,,,,,,,,,,,,,,,Rudiments of Conchology ,,,,
Plimpton ,"Bingham, Caleb, 1757-1817",,,,,,,,,,,,,,,1797 ,,ex,1797,,0,1,,125,,,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/women/page-3,,,nnc-rb,,Plimpton A808.8 1797 B,,,"original filenames:     plmptn_123_001,
plmptn_123_002.jpg

",,plmptn_123_001.jpg,plmptn_123_002.jpg,,,,,,,,,,,rd,"title page, pages 90-91",2 images,books,,,,Boston,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,Printed by Manning and Loring for the Author,eng,,Readers,,,,,,,,,,,,,,,,,,,American Preceptor; being a new Selection of Lessons for Reading and Speaking. Designed for the use of schools,,,,
