note-1:note_value,note-1:note_type,_project.string_key,_digital_object_type.string_key,_identifiers-1,_parent_digital_objects-1.identifier,title-1:title_sort_portion,alternative_title-1:alternative_title_value,extent-1:extent_value,omeka_identifier-1:omeka_identifier_value,object_in_context_url-1:object_in_context_url_value,form-1:form_term.value,form-1:form_term.uri,form-1:form_term.authority,type_of_resource-1:type_of_resource_value,language-1:language_term.value,language-1:language_term.authority,language-1:language_term.uri,note-2:note_value,note-2:note_type,note-3:note_value,note-4:note_value,collection-1:collection_term.value,collection-1:collection_term.uri,collection-1:collection_archival_series-1:collection_archival_series_part-1:collection_archival_series_part_type,collection-1:collection_archival_series-1:collection_archival_series_part-1:collection_archival_series_part_level,collection-1:collection_archival_series-1:collection_archival_series_part-1:collection_archival_series_part_title,collection-1:collection_archival_series-1:collection_archival_series_part-2:collection_archival_series_part_type,collection-1:collection_archival_series-1:collection_archival_series_part-2:collection_archival_series_part_level,collection-1:collection_archival_series-1:collection_archival_series_part-2:collection_archival_series_part_title,location-1:location_shelf_location-1:location_shelf_location_free_text,location-1:location_shelf_location-1:location_shelf_location_box_number,location-1:location_shelf_location-1:location_shelf_location_folder_number,location-1:location_term.value,location-1:location_term.uri,digital_origin-1:digital_origin_value,publisher-1:publisher_value,clio_identifier-1:clio_identifier_value,abstract-1:abstract_value,restriction_on_access-1:restriction_on_access_value,use_and_reproduction-1:use_and_reproduction_term.value,use_and_reproduction-1:use_and_reproduction_term.authority,use_and_reproduction-1:use_and_reproduction_term.uri,date_created_textual-1:date_created_textual_value,date_created-1:date_created_start_value,date_created-1:date_created_key_date,date_created-1:date_created_end_value,date_created-1:date_created_type,place_of_origin-1:place_of_origin_value,place_of_origin-2:place_of_origin_value,name-1:name_term.value,name-1:name_term.uri,name-1:name_term.authority,name-1:name_term.name_type,name-1:name_usage_primary,name-1:name_role-1:name_role_term.value,name-1:name_role-1:name_role_term.uri,name-1:name_role-1:name_role_term.authority,name-2:name_term.value,name-2:name_term.uri,name-2:name_term.authority,name-2:name_term.name_type,name-2:name_role-1:name_role_term.value,name-2:name_role-1:name_role_term.uri,name-2:name_role-1:name_role_term.authority,subject_name-1:subject_name_term.value,subject_name-1:subject_name_term.uri,subject_name-1:subject_name_term.authority,subject_name-1:subject_name_term.name_type,subject_topic-1:subject_topic_term.value,subject_topic-1:subject_topic_term.uri,subject_topic-1:subject_topic_term.authority,name-3:name_term.value,name-3:name_term.name_type,name-3:name_role-1:name_role_term.value,name-3:name_role-1:name_role_term.uri,name-3:name_role-1:name_role_term.authority,subject_geographic-1:subject_geographic_term.value,_publish_targets-1.string_key,_publish
,,plimpton,item,plimpton_aqm_000,,Hornbook,Hornbook no. 16,"1 hornbook, 2 sides",121,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/hornbooks/page-1,objects,http://id.loc.gov/vocabulary/graphicMaterials/tgm007159,gmgpc,three dimensional object,,,,Gift of George Arthur Plimpton,provenance,,,George A. Plimpton Papers,http://id.library.columbia.edu/term/2866b2fc-5f81-4cd5-8b83-a46215636764,,,,,,,Plimpton item 118,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,reformatted digital,,,,,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,19th century,1800,TRUE,1899,approximate,United States?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plmptn_118_001.jpg,filename,plimpton,asset,plimpton_aqm_001,plimpton_aqm_000,Image 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plmptn_118_002.jpg,filename,plimpton,asset,plimpton_aqm_002,plimpton_aqm_000,Image 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,plimpton,item,plimpton_ate_000,,Description of and Instructions for the Operation of an Astronomical Clock with an Armillary Sphere,Instructions for operating an astronomical clock with an armillary sphere,1 page,80,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/mathematics/page-3,manuscripts,http://id.loc.gov/authorities/subjects/sh85080672,lcsh,text,English,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/eng.html,Gift of George Arthur Plimpton,provenance,,,George Arthur Plimpton Library,http://id.library.columbia.edu/term/65063ef0-13d8-4c02-a7a8-10a77e763a8c,,,,,,,Plimpton MS 217,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,reformatted digital,,,,,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,17th century,1600,TRUE,1699,approximate,Germany,,,,,,,,,,,,,,,,,,,,,Astronomical clocks,http://id.worldcat.org/fast/819637,fast,,,,,,,,
plmptn_085_001.jpg,filename,plimpton,asset,plimpton_ate_001,plimpton_ate_000,1 unnumbered fold-out page,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,plimpton,item,plimpton_avy_000,,Elementa,,1 page,72,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/medieval-quadrivium/page-2,manuscripts,http://id.loc.gov/authorities/subjects/sh85080672,lcsh,text,Latin,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/lat,Gift of George Arthur Plimpton,provenance,,,George Arthur Plimpton Library,http://id.library.columbia.edu/term/65063ef0-13d8-4c02-a7a8-10a77e763a8c,,,,,,,Plimpton MS 160,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,reformatted digital,,,,,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,End of the 14th century,1375,TRUE,1399,approximate,England?,,Euclid,http://id.loc.gov/authorities/names/n50043341,naf,personal,TRUE,Contributor,http://id.loc.gov/vocabulary/relators/ctb,marcrelator,,,,,,,,,,,,Geometry,http://id.worldcat.org/fast/940864,fast,,,,,,,,
plmptn_030_001.jpg,filename,plimpton,asset,plimpton_avy_001,plimpton_avy_000,Page 1 recto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,plimpton,item,plimpton_axj_000,,De Sphaera Mundi,,2 pages,69,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/medieval-quadrivium/page-4,manuscripts,http://id.loc.gov/authorities/subjects/sh85080672,lcsh,text,Latin,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/lat,Gift of George Arthur Plimpton,provenance,,,George Arthur Plimpton Library,http://id.library.columbia.edu/term/65063ef0-13d8-4c02-a7a8-10a77e763a8c,,,,,,,Plimpton MS 183,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,reformatted digital,,,,,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,End of the 15th century,1480,TRUE,1499,approximate,Benelux countries,,"Sacro Bosco, Joannes de, active 1230",http://id.loc.gov/authorities/names/n84006968,naf,personal,TRUE,Contributor,http://id.loc.gov/vocabulary/relators/ctb,marcrelator,,,,,,,,,,,,Astronomy,http://id.worldcat.org/fast/819673,fast,,,,,,,,
plmptn_001_001.jpg,filename,plimpton,asset,plimpton_axj_001,plimpton_axj_000,Page 32 verso - page 33 recto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,plimpton,item,plimpton_ayg_000,,Geometrical Practical Treatize Named Pantometria,,pages 42-43,89,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/mathematics/page-3,books,http://vocab.getty.edu/aat/300028051,aat,text,English,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/eng.html,Gift of George Arthur Plimpton,provenance,,,George Arthur Plimpton Library,http://id.library.columbia.edu/term/65063ef0-13d8-4c02-a7a8-10a77e763a8c,,,,,,,Plimpton 526.9 1591 D56 (STC 6859),,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,reformatted digital,Printed by Abell Jeffes,,,,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,1591,1591,TRUE,,,London (England),,"Digges, Leonard, -approximately 1559",http://id.loc.gov/authorities/names/n85035327,naf,personal,TRUE,Contributor,http://id.loc.gov/vocabulary/relators/ctb,marcrelator,,,,,,,,,,,,Geometry,http://id.worldcat.org/fast/940864,fast,,,,,,,,
plmptn_083_001.jpg,filename,plimpton,asset,plimpton_ayg_001,plimpton_ayg_000,Pages 42-43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,plimpton,item,plimpton_baa_000,,Gradual,,1 page,48,,manuscripts,http://id.loc.gov/authorities/subjects/sh85080672,lcsh,text,English,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/eng.html,Gift of the Estate of Mrs. Francis T. P. Plimpton in 1995,provenance,,,George Arthur Plimpton Library,http://id.library.columbia.edu/term/65063ef0-13d8-4c02-a7a8-10a77e763a8c,,,,,,,Plimpton MS 040i,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,reformatted digital,,,,,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,Mid 14th century,1325,TRUE,1375,approximate,Siena (Italy),,,,,,,,,,,,,,,,,,,,,Epiphany music,http://id.worldcat.org/fast/914265,fast,,,,,,,,
plmptn_039_001.jpg,filename,plimpton,asset,plimpton_baa_001,plimpton_baa_000,Unnumbered page,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,plimpton,item,plimpton_bcq_000,,Hornbook,,1 hornbook,52,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/hornbooks/page-1,objects,http://id.loc.gov/vocabulary/graphicMaterials/tgm007159,gmgpc,three dimensional object,,,,Gift of George Arthur Plimpton,provenance,,,George A. Plimpton Papers,http://id.library.columbia.edu/term/2866b2fc-5f81-4cd5-8b83-a46215636764,,,,,,,Hornbooks No. 17,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,reformatted digital,,,,,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,1729,1729,TRUE,,,London (England),,"St. Paul's Infant School (London, England)",,,corporate,TRUE,Contributor,http://id.loc.gov/vocabulary/relators/ctb,marcrelator,,,,,,,,,,,,,,,,,,,,,,
plmptn_117_001.jpg,filename,plimpton,asset,plimpton_bcq_001,plimpton_bcq_000,Hornbook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,plimpton,item,plimpton_bki_000,,"Penmanship, or, The Beauties of Writing Exemplified in a Variety of Specimens, Practical and Ornamental",,1 page,112,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/handwriting/page-4,books,http://vocab.getty.edu/aat/300028051,aat,text,English,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/eng.html,Gift of George Arthur Plimpton,provenance,,,George Arthur Plimpton Library,http://id.library.columbia.edu/term/65063ef0-13d8-4c02-a7a8-10a77e763a8c,,,,,,,Plimpton A091 1822 G73,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,reformatted digital,Annin & Smith,1828250,,,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,1822,1822,TRUE,,,Boston (Mass.),,"Gould, Nathaniel D. (Nathaniel Duren), 1781-1864",http://id.loc.gov/authorities/names/no92018541,naf,personal,TRUE,Contributor,http://id.loc.gov/vocabulary/relators/ctb,marcrelator,,,,,,,,,,,,Penmanship,http://id.worldcat.org/fast/1056963,fast,,,,,,,,
plmptn_074_001.jpg,filename,plimpton,asset,plimpton_bki_001,plimpton_bki_000,Title page,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,plimpton,item,plimpton_bkv_000,,Portrait of George Arthur Plimpton as Younger Man,,1 photoprint,54,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/george-arthur-plimpton/page-2,photographs,http://vocab.getty.edu/aat/300046300,aat,still image,,,,Gift of George Arthur Plimpton,provenance,,,George A. Plimpton Papers,http://id.library.columbia.edu/term/2866b2fc-5f81-4cd5-8b83-a46215636764,,,,,,,,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,reformatted digital,,,,,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,1870s?,1870,TRUE,1879,approximate,,,"Plimpton, George A. (George Arthur), 1855-1936",http://id.loc.gov/authorities/names/n90711393,naf,personal,TRUE,Contributor,http://id.loc.gov/vocabulary/relators/ctb,marcrelator,,,,,,,,"Plimpton, George A. (George Arthur), 1855-1936",http://id.loc.gov/authorities/names/n90711393,naf,personal,,,,,,,,,,,
plmptn_094_001.jpg,filename,plimpton,asset,plimpton_bkv_001,plimpton_bkv_000,Portrait of George Arthur Plimpton as Younger Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,plimpton,item,plimpton_blr_000,,Letter to George Arthur Plimpton regarding  Friends of the Library,,1 page,68,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/friends/page-1,correspondence,http://vocab.getty.edu/aat/300026877,aat,text,English,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/eng.html,Gift of George Arthur Plimpton,provenance,,,George A. Plimpton Papers,http://id.library.columbia.edu/term/2866b2fc-5f81-4cd5-8b83-a46215636764,,,,,,,,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,reformatted digital,,,,,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,"June 28, 1928",1928-06-28,TRUE,,,Southampton (N.Y.),,"Butler, Nicholas Murray, 1862-1947",http://id.loc.gov/authorities/names/n50032600,naf,personal,TRUE,Correspondent,http://id.loc.gov/vocabulary/relators/crp,marcrelator,"Plimpton, George A. (George Arthur), 1855-1936",http://id.loc.gov/authorities/names/n90711393,naf,personal,Addressee,http://id.loc.gov/vocabulary/relators/rcp,marcrelator,Friends of the Columbia Libraries,http://id.loc.gov/authorities/names/nr89013121,naf,corporate,,,,,,,,,,,
plmptn_108_001.jpg,filename,plimpton,asset,plimpton_blr_001,plimpton_blr_000,Letter to George Arthur Plimpton regarding  Friends of the Library,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,plimpton,item,plimpton_bpn_000,,Universal Penman,,page 30,57,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/handwriting/page-2,books,http://vocab.getty.edu/aat/300028051,aat,text,English,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/eng.html,Gift of George Arthur Plimpton,provenance,,,George Arthur Plimpton Library,http://id.library.columbia.edu/term/65063ef0-13d8-4c02-a7a8-10a77e763a8c,,,,,,,Plimpton 092 1741 B47,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,reformatted digital,Printed for the Author,6183070,,,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,1741,1741,TRUE,,,London (England),,"George Bickham, 1684?-1758?",http://id.loc.gov/authorities/names/n91035784,naf,personal,TRUE,Contributor,http://id.loc.gov/vocabulary/relators/ctb,marcrelator,,,,,,,,,,,,Penmanship,http://id.worldcat.org/fast/1056963,fast,,,,,,,,
plmptn_071_001.jpg,filename,plimpton,asset,plimpton_bpn_001,plimpton_bpn_000,Title page,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
