item - public,item - itemId,item - featured,item - MODS - FormGenre 1,item - MODS - FormGenre 2,item - MODS - FormGenre 3,item - MODS - KeyDate - Single/Start,item - MODS - KeyDate - End,item - MODS - TypeofDate,item - MODS - DigitalOrigin,item - MODS - RepositoryName,item - MODS - RepositoryName - code,item - MODS - LanguageofCataloging,item - MODS - Collection,item - MODS - Subrepository,item - MODS - PlaceofOrigin 1,item - MODS - PlaceofOrigin 2,item - MODS - Notes,item - MODS - PublicationPlace,item - MODS - ShelfLocation,item - MODS - PublicationDate,item - DublinCore - Title,item - DublinCore - Title - Whole,item - DublinCore - Title - Part,item - DublinCore - Title 2,item - DublinCore - Title 2 - Whole,item - DublinCore - Title 2 - Part,item - DublinCore - Title 2 - Attribute,item - DublinCore - Language 1,item - DublinCore - Language 2,item - DublinCore - Creator 1,item - DublinCore - Creator 2,item - DublinCore - Creator 3,item - DublinCore - Creator 4,item - DublinCore - Date,item - DublinCore - Description 1,item - DublinCore - Description 2,item - DublinCore - Subject 1,item - DublinCore - Subject 2,item - DublinCore - Subject 3,item - DublinCore - Subject 4,item - DublinCore - Publisher 1,item - DublinCore - Publisher 2,item - DublinCore - Source,item - DublinCore - Identifier,item - DublinCore - Type,item - DublinCore - Coverage 1,item - DublinCore - Coverage 2,item - DublinCore - Contributor,item - OriginalFileLoadedIntoOmeka 1,item - OriginalFileLoadedIntoOmeka 2,item - OriginalFileLoadedIntoOmeka 3,item - OriginalFileLoadedIntoOmeka 4,item - OriginalFileLoadedIntoOmeka 5,item - OriginalFileLoadedIntoOmeka 6,item - OriginalFileLoadedIntoOmeka 7,item - OriginalFileLoadedIntoOmeka 8,item - OriginalFileLoadedIntoOmeka 9,item - OriginalFileLoadedIntoOmeka 10,item - OriginalFileLoadedIntoOmeka 11,item - OriginalFileLoadedIntoOmeka 12,item - OriginalFileLoadedIntoOmeka 13,item - OriginalFileLoadedIntoOmeka 14,item - AdditionalItemMetadata - Provenance 1,item - AdditionalItemMetadata - Provenance 2,item - AdditionalItemMetadata - Provenance 3,item - AdditionalItemMetadata - Provenance 4,item - OmekaCollection,project URL,item - ItemType,item in context 1,item in context 2,item in context 3
1,840,0,photographs,,,1970,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,,,New York (N.Y.),,,,,,Louis Zukofsky,Louis Zukofsky,,,,,,eng,,"Charters, Ann",,,,1970,,,"Zukofsky, Louis, 1904-1978",,,,,,,CLIO id: 4078597,still image,,,,original filename: 6_12_01.jpg,,,,,,,,,,,,,,,,,,Melting Pot: Russian Jewish New York,http://www.columbia.edu/cgi-bin/cul/resolve?clio8012143,still image,https://exhibitions.cul.columbia.edu/exhibits/show/melting-pot/children/zukofsky,,
1,839,0,photographs,,,1902,1909,questionable,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,Community Service Society records,,,,,,"Box 298, photo #2088",,Boy with Package and Group of Children,Boy with Package and Group of Children,,,,,,eng,,,,,,between 1902 and 1909,,,Boys,Children,,,,,,,still image,New York (N.Y.),,,original filename: 6_11_01.jpg,,,,,,,,,,,,,,,,,,Melting Pot: Russian Jewish New York,http://www.columbia.edu/cgi-bin/cul/resolve?clio8012143,still image,https://exhibitions.cul.columbia.edu/exhibits/show/melting-pot/children/street-scenes,,
1,838,0,books,photographs,,1951,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,,,,,,New York (N.Y.),,,Troubled Air. Back cover,Troubled Air,Back cover,,,,,eng,,"Shaw, Irwin, 1913-1984","Simon, Richard L.",,,1951,Portrait of Irwin Shaw on back cover.,,"Shaw, Irwin, 1913-1984",,,,Random House,,,CLIO id: 3158015,still image,,,,original filename: 6_10_01.jpg,,,,,,,,,,,,,,,,,,Melting Pot: Russian Jewish New York,http://www.columbia.edu/cgi-bin/cul/resolve?clio8012143,still image,https://exhibitions.cul.columbia.edu/exhibits/show/melting-pot/children/shaw,,
1,837,0,photographs,,,1902,1909,questionable,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,Community Service Society records,,,,,,"Box 298, photo #4118",,Children on Tenement Stairs,Children on Tenement Stairs,,,,,,eng,,,,,,between 1902 and 1909,,,Children,Tenement houses,Stairs,,,,,,still image,New York (N.Y.),,,original filename: 6_09_01.jpg,,,,,,,,,,,,,,,,,,Melting Pot: Russian Jewish New York,http://www.columbia.edu/cgi-bin/cul/resolve?clio8012143,still image,https://exhibitions.cul.columbia.edu/exhibits/show/melting-pot/children/street-scenes,,
1,836,0,books,photographs,,1979,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,,,,,,New York (N.Y.),,,Good as Gold. Back cover,Good as Gold,Back cover,,,,,eng,,"Heller, Joseph","Koeniges, Thomas R.",,,1979,"Portrait of Joseph Heller, reprinted courtesy of Newsday",,"Heller, Joseph",,,,Simon and Schuster,,,CLIO id: 2347,still image,,,,original filename: 6_08_01.jpg,,,,,,,,,,,,,,,,,,Melting Pot: Russian Jewish New York,http://www.columbia.edu/cgi-bin/cul/resolve?clio8012143,still image,https://exhibitions.cul.columbia.edu/exhibits/show/melting-pot/children/heller,,
1,835,0,printed ephemera,,,1957,,inferred,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,Brander Matthews Dramatic Museum records,,New York (N.Y.),,,,,,West Side Story program. Cover,West Side Story program,Cover,,,,,eng,,"Griffith, Robert E.",,,,1957,,,West Side story (Choreographic work : Robbins),"Robbins, Jerome","Bernstein, Leonard, 1918-1990. West Side story.",,,,,,still image,,,,original filename: 6_07_01.jpg,,,,,,,,,,,,,,,,,,Melting Pot: Russian Jewish New York,http://www.columbia.edu/cgi-bin/cul/resolve?clio8012143,still image,https://exhibitions.cul.columbia.edu/exhibits/show/melting-pot/children/westsidestory,,
1,834,0,photographs,,,1928,1961,inferred,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,Brander Matthews Dramatic Museum records,,New York (N.Y.),,,,,,George Gershwin,George Gershwin,,,,,,eng,,Vandamm Studio,"Vandamm, Florence",,,between 1928 and 1961,Portrait of George Gershwin,,"Gershwin, George, 1898-1937",,,,,,,,still image,,,,original filename: 6_06_01.jpg,,,,,,,,,,,,,,,,,,Melting Pot: Russian Jewish New York,http://www.columbia.edu/cgi-bin/cul/resolve?clio8012143,still image,https://exhibitions.cul.columbia.edu/exhibits/show/melting-pot/children/ira_gershwin,,
1,833,0,printed ephemera,,,1942,,approximate,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,Brander Matthews Dramatic Museum records,,,,,,,,Porgy and Bess program. Frontispiece,Porgy and Bess program,Frontispiece,,,,,eng,,"Crawford, Cheryl, 1902-1986",,,,circa 1942,"Cheryl Crawford presents George Gershwin & DuBose Heyward's 'Porgy and Bess', with Etta Moten, Buck & Bubbles, William Franklin, the Eva Jessye Choir, Alexander Smallens, conductor",,"Gershwin, George, 1898-1937. Porgy and Bess","Heyward, DuBose, 1885-1940",,,,,,,still image,,,,original filename: 6_05_02.jpg,,,,,,,,,,,,,,,,,,Melting Pot: Russian Jewish New York,http://www.columbia.edu/cgi-bin/cul/resolve?clio8012143,still image,https://exhibitions.cul.columbia.edu/exhibits/show/melting-pot/children/ira_gershwin,,
1,832,0,printed ephemera,,,1942,,approximate,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,Brander Matthews Dramatic Museum records,,,,,,,,Porgy and Bess souvenir program. Cover,Porgy and Bess souvenir program,Cover,,,,,eng,,"Crawford, Cheryl, 1902-1986",,,,circa 1942,"Cheryl Crawford presents George Gershwin & DuBose Heyward's 'Porgy and Bess', with Etta Moten, Buck & Bubbles, William Franklin, the Eva Jessye Choir, Alexander Smallens, conductor",,"Gershwin, George, 1898-1937. Porgy and Bess","Heyward, DuBose, 1885-1940",,,,,,,still image,,,,original filename: 6_05_01.jpg,,,,,,,,,,,,,,,,,,Melting Pot: Russian Jewish New York,http://www.columbia.edu/cgi-bin/cul/resolve?clio8012143,still image,https://exhibitions.cul.columbia.edu/exhibits/show/melting-pot/children/ira_gershwin,,
1,831,0,photographs,,,1928,1961,inferred,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,Brander Matthews Dramatic Museum records,,New York (N.Y.),,,,,,Ira Gershwin,Ira Gershwin,,,,,,eng,,Vandamm Studio,"Vandamm, Florence",,,between 1928 and 1961,Portrait of Ira Gershwin,,"Gershwin, Ira, 1896-1983",,,,,,,,still image,,,,original filename: 6_04_01.jpg,,,,,,,,,,,,,,,,,,Melting Pot: Russian Jewish New York,http://www.columbia.edu/cgi-bin/cul/resolve?clio8012143,still image,https://exhibitions.cul.columbia.edu/exhibits/show/melting-pot/children/ira_gershwin,,
1,830,0,photographs,,,1905,,questionable,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,Community Service Society records,,,,,,"Box 296, photo #327",,49 Pitt Street between Delancey and Rivington Streets,49 Pitt Street between Delancey and Rivington Streets,,,,,,eng,,,,,,circa 1905,,,School children,,,,,,,,still image,"Lower East Side (New York, N.Y.)",New York (N.Y.),,original filename: 6_03_01.jpg,,,,,,,,,,,,,,,,,,Melting Pot: Russian Jewish New York,http://www.columbia.edu/cgi-bin/cul/resolve?clio8012143,still image,https://exhibitions.cul.columbia.edu/exhibits/show/melting-pot/children/street-scenes,,
1,829,0,photographs,,,1920,1950,inferred,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,Brander Matthews Dramatic Museum records,,,,,,,,Stella Adler,Stella Adler,,,,,,eng,,"Blechman, Marcus",,,,between 1920 and 1950,Portrait of Stella Adler,,"Adler, Stella",,,,,,,,still image,,,,original filename: 6_02_01.jpg,,,,,,,,,,,,,,,,,,Melting Pot: Russian Jewish New York,http://www.columbia.edu/cgi-bin/cul/resolve?clio8012143,still image,https://exhibitions.cul.columbia.edu/exhibits/show/melting-pot/children/adler,,
1,828,0,photographs,,,1905,,inferred,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,Community Service Society records,,,,,,"Box 298, photo #2839",,Orchard Street As It Is Now,Orchard Street As It Is Now,,,,,,eng,,,,,,1905,"Photograph of Orchard Street from 1905. Title based on caption used in the ""Report of the Mayor's Push-Cart Commission,"" City of New York, 1906. Facing first page of text, top.",,,,,,,,,,still image,"Lower East Side (New York, N.Y.)",New York (N.Y.),,original filename: 6_01_01.jpg,,,,,,,,,,,,,,,,,,Melting Pot: Russian Jewish New York,http://www.columbia.edu/cgi-bin/cul/resolve?clio8012143,still image,https://exhibitions.cul.columbia.edu/exhibits/show/melting-pot/children/street-scenes,,
1,822,0,manuscripts,,,1961-02-21,,inferred,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,Simon Lissim Papers,Bakhmeteff Archive of Russian and East European History and Culture,New York (N.Y.),,,,,,Simon Lissim's speech at his testimonial luncheon by the American Fellows of the Royal Society of Arts,Simon Lissim's speech at his testimonial luncheon by the American Fellows of the Royal Society of Arts,,,,,,eng,,"Lissim, Simon, 1900-1981",,,,"February 21, 1961",,,Royal Society of Arts (Great Britain). American Fellows,Royal Society of Arts (Great Britain),,,,,,,still image,,,,original filename: 5_31_01.jpg,original filename: 5_31_02.jpg,original filename: 5_31_03.jpg,original filename: 5_31_04.jpg,original filename: 5_31_05.jpg,original filename: 5_31_06.jpg,original filename: 5_31_07.jpg,,,,,,,,"Donated by Simon Lissim, 1981 and Dorothea Waples Lissim, 1982",,,,Melting Pot: Russian Jewish New York,http://www.columbia.edu/cgi-bin/cul/resolve?clio8012143,still image,https://exhibitions.cul.columbia.edu/exhibits/show/melting-pot/artists/royalsociety,,
1,815,0,printed ephemera,,,1961-02-21,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,Simon Lissim Papers,Bakhmeteff Archive of Russian and East European History and Culture,New York (N.Y.),,,,,,Invitation to testimonial luncheon honoring Professor Simon Lissim. Front,Invitation to testimonial luncheon honoring Professor Simon Lissim,Front,,,,,eng,,Royal Society of Arts (Great Britain). American Fellows,,,,"February 21, 1961",,,"Lissim, Simon, 1900-1981",Royal Society of Arts (Great Britain),,,,,,,still image,,,,original filename: 5_30_01.jpg,,,,,,,,,,,,,,"Donated by Simon Lissim, 1981 and Dorothea Waples Lissim, 1982",,,,Melting Pot: Russian Jewish New York,http://www.columbia.edu/cgi-bin/cul/resolve?clio8012143,still image,https://exhibitions.cul.columbia.edu/exhibits/show/melting-pot/artists/royalsociety,,
1,813,0,printed ephemera,,,1961-02-21,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,Simon Lissim Papers,Bakhmeteff Archive of Russian and East European History and Culture,New York (N.Y.),,,,,,1961 Royal Society of Arts Fellows Award program. Cover,1961 Royal Society of Arts Fellows Award program,Cover,,,,,eng,,Royal Society of Arts (Great Britain). American Fellows,,,,"February 21, 1961",Program of the testimonial luncheon honoring Simon Lissim.,,Royal Society of Arts (Great Britain),"Lissim, Simon, 1900-1981",,,,,,,still image,,,,original filename: 5_29_01.jpg,,,,,,,,,,,,,,"Donated by Simon Lissim, 1981 and Dorothea Waples Lissim, 1982",,,,Melting Pot: Russian Jewish New York,http://www.columbia.edu/cgi-bin/cul/resolve?clio8012143,still image,https://exhibitions.cul.columbia.edu/exhibits/show/melting-pot/artists/royalsociety,,
1,814,0,printed ephemera,,,1961-02-21,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,Simon Lissim Papers,Bakhmeteff Archive of Russian and East European History and Culture,New York (N.Y.),,,,,,1961 Royal Society of Arts Fellows Award program. Inside pages,1961 Royal Society of Arts Fellows Award program,Inside pages,,,,,eng,,Royal Society of Arts (Great Britain). American Fellows,,,,"February 21, 1961",Program of the testimonial luncheon honoring Simon Lissim. Portrait on Simon Lissim on program.,,Royal Society of Arts (Great Britain),"Lissim, Simon, 1900-1981",,,,,,,still image,,,,original filename: 5_29_02.jpg,,,,,,,,,,,,,,"Donated by Simon Lissim, 1981 and Dorothea Waples Lissim, 1982",,,,Melting Pot: Russian Jewish New York,http://www.columbia.edu/cgi-bin/cul/resolve?clio8012143,still image,https://exhibitions.cul.columbia.edu/exhibits/show/melting-pot/artists/royalsociety,,
1,812,0,clippings,,,1960-09-18,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,Simon Lissim Papers,Bakhmeteff Archive of Russian and East European History and Culture,,,,New York (N.Y.),,,City Professor Elected By British Art Society,City Professor Elected By British Art Society,,,,,,eng,,New York Times Company,,,,"September 18, 1960","Newspaper article clipping about the election of Simon Lissim, professor of art at City College at the time, to vice-president of the Royal Society of Arts of England in 1960.",,,,,,,,New York Times. Page 16,,still image,,,,original filename: 5_28_01.jpg,,,,,,,,,,,,,,"Donated by Simon Lissim, 1981 and Dorothea Waples Lissim, 1982",,,,Melting Pot: Russian Jewish New York,http://www.columbia.edu/cgi-bin/cul/resolve?clio8012143,still image,https://exhibitions.cul.columbia.edu/exhibits/show/melting-pot/artists/royalsociety,,
1,811,0,printed ephemera,,,1960-09-18,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,Simon Lissim Papers,Bakhmeteff Archive of Russian and East European History and Culture,New York (N.Y.),,,,,,"Press release from the City College, New York","Press release from the City College, New York",,,,,,eng,,College of the City of New York (1926-1961). City College,,,,"September 18, 1960","Press release announcing the election of Simon Lissim, professor of art at City College at the time, to vice-president of the Royal Society of Arts of England in 1960.",,"Lissim, Simon, 1900-1981",Royal Society of Arts (Great Britain),,,,,,,still image,,,,original filename: 5_27_01.jpg,,,,,,,,,,,,,,"Donated by Simon Lissim, 1981 and Dorothea Waples Lissim, 1982",,,,Melting Pot: Russian Jewish New York,http://www.columbia.edu/cgi-bin/cul/resolve?clio8012143,still image,https://exhibitions.cul.columbia.edu/exhibits/show/melting-pot/artists/royalsociety,,
1,810,0,ephemera,,,1941,1981,inferred,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,Simon Lissim Papers,Bakhmeteff Archive of Russian and East European History and Culture,New York (N.Y.),,,,,,Flower drawing and teaching aid for Simon Lissim's design class,Flower drawing and teaching aid for Simon Lissim's design class,,,,,,eng,,"Lissim, Simon, 1900-1981",,,,between 1941 and 1981,,,,,,,,,,,still image,,,,original filename: 5_26_01.jpg,,,,,,,,,,,,,,"Donated by Simon Lissim, 1981 and Dorothea Waples Lissim, 1982",,,,Melting Pot: Russian Jewish New York,http://www.columbia.edu/cgi-bin/cul/resolve?clio8012143,still image,https://exhibitions.cul.columbia.edu/exhibits/show/melting-pot/artists/aids,,
1,809,0,illustrations,,,1946,,inferred,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,Simon Lissim Papers,,,,Date inferred from publication of book with above illustration.,,,,Runaway Soldier and the Other Tales of Old Russia. Smocking Animals illustration verso,Runaway Soldier and the Other Tales of Old Russia,Smocking Animals illustration verso,,,,,eng,,"Lissim, Simon, 1900-1981","Gottschalk, Fruma, 1900-1995",,,1946,"Verso of an illustration of smocking animals in a story from The Runaway Soldier and the Other Tales of Old Russia, retold by Fruma Gottschalk, illustrated by Simon Lissim.",,,,,,,,,,still image,,,,original filename: 5_25_05.jpg,,,,,,,,,,,,,,"Donated by Simon Lissim, 1981 and Dorothea Waples Lissim, 1982",,,,Melting Pot: Russian Jewish New York,http://www.columbia.edu/cgi-bin/cul/resolve?clio8012143,still image,,,
